State,City,Name,Language,Time,Type,Price,Capacity,Booked
Maharashtra,Mumbai,InoxRCityGhatkoparW,Hindi,09:45,RoyalRecliner,230₹,15,1
Maharashtra,Mumbai,InoxRCityGhatkoparW,Hindi,09:45,Club,140₹,80,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,Hindi,09:45,Royal,140₹,47,5
Maharashtra,Mumbai,InoxRCityGhatkoparW,Hindi,09:45,Executive,112₹,47,0
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,Hindi,09:45,RoyalRecliner,230₹,15,1
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,Hindi,09:45,Club,140₹,80,0
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,Hindi,09:45,Royal,140₹,47,5
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,Hindi,09:45,Executive,112₹,47,0
Rajasthan,Jaipur,InoxGtCentralMallMalviyaNagar,Hindi,10:00,Royale,260₹,42,1
Rajasthan,Jaipur,InoxGtCentralMallMalviyaNagar,Hindi,10:00,Executive,240₹,16,0
Haryana,Gurgaon,PvrMgfMallGurgaon,Hindi,10:20,Classic,149₹,104,0
Haryana,Gurgaon,PvrMgfMallGurgaon,Hindi,10:20,Prime,149₹,61,21
Maharashtra,Mumbai,MovietimeHubMallGoregaonE,Hindi,11:00,Gold,130₹,196,37
Maharashtra,Pune,InoxElproCitySquarePune,Hindi,11:10,Royale,150₹,45,15
Maharashtra,Pune,InoxElproCitySquarePune,Hindi,11:10,Club,130₹,78,9
Maharashtra,Pune,InoxElproCitySquarePune,Hindi,11:10,Executive,130₹,26,0
Goa,Goa,InoxOldGmcDbRoad,Hindi,11:45,Royal,220₹,95,4
Goa,Goa,InoxOldGmcDbRoad,Hindi,11:45,Club,200₹,90,0
Goa,Goa,InoxOldGmcDbRoad,Hindi,11:45,Executive,180₹,36,0
Goa,Goa,InoxOsiaGWingMargao,Hindi,11:45,Royale,140₹,57,2
Goa,Goa,InoxOsiaGWingMargao,Hindi,11:45,Club,130₹,131,0
Goa,Goa,InoxOsiaGWingMargao,Hindi,11:45,Executive,130₹,28,0
MadhyaPradesh,Indore,InoxC21MallSheetalNagar,Hindi,12:05,Normal,210₹,163,2
Maharashtra,Pune,InoxDorabjeesRoyaleHeritageMall,Hindi,12:25,RoyaleRecliners,280₹,11,2
Maharashtra,Pune,InoxDorabjeesRoyaleHeritageMall,Hindi,12:25,Royale,180₹,38,4
Maharashtra,Pune,InoxDorabjeesRoyaleHeritageMall,Hindi,12:25,Club,160₹,33,0
Maharashtra,Pune,InoxDorabjeesRoyaleHeritageMall,Hindi,12:25,Executive,160₹,21,0
MadhyaPradesh,Indore,PvrTreasureIslandMallSouthTukoganj,Hindi,12:35,Recliner,350₹,11,4
MadhyaPradesh,Indore,PvrTreasureIslandMallSouthTukoganj,Hindi,12:35,Prime,210₹,117,29
MadhyaPradesh,Indore,PvrTreasureIslandMallSouthTukoganj,Hindi,12:35,Classic,180₹,48,0
Maharashtra,Mumbai,InoxRaghuleelaMallVashi,Hindi,12:50,Premier,180₹,101,2
Maharashtra,Mumbai,InoxRaghuleelaMallVashi,Hindi,12:50,Silver,180₹,37,10
Maharashtra,Mumbai,InoxRaghuleelaMallVashi,Hindi,12:50,Executive,160₹,32,0
Maharashtra,Pune,InoxAmanoraMallHadapsar,Hindi,12:50,Royale,280₹,6,6
Maharashtra,Pune,InoxAmanoraMallHadapsar,Hindi,12:50,Club,180₹,231,14
Maharashtra,Pune,InoxAmanoraMallHadapsar,Hindi,12:50,Executive,180₹,32,0
WestBengal,Siliguri,InoxVegaCircleMallSevokeRoad,Hindi,13:10,Royal,280₹,148,2
WestBengal,Siliguri,InoxVegaCircleMallSevokeRoad,Hindi,13:10,Club,250₹,68,0
WestBengal,Siliguri,InoxVegaCircleMallSevokeRoad,Hindi,13:10,Executive,250₹,34,0
Karnataka,Bangalore,InoxMantriSquareMalleshwaram,Hindi,15:50,Royal,360₹,9,0
Karnataka,Bangalore,InoxMantriSquareMalleshwaram,Hindi,15:50,Club,267₹,296,2
WestBengal,Jiaganj,MahabirJainMunicipaltyCulturalJiaganj,Hindi,16:00,Boxa,150₹,14,0
WestBengal,Jiaganj,MahabirJainMunicipaltyCulturalJiaganj,Hindi,16:00,Boxb,150₹,14,0
WestBengal,Jiaganj,MahabirJainMunicipaltyCulturalJiaganj,Hindi,16:00,Balcony,120₹,90,38
WestBengal,Jiaganj,MahabirJainMunicipaltyCulturalJiaganj,Hindi,16:00,RearStall,80₹,176,0
WestBengal,Kolkata,InoxQuestMallBallygunge,Hindi,18:50,RoyalRecliner,520₹,8,0
