State,City,Name,Language,Time,Type,Price,Capacity,Booked
Karnataka,Bangalore,PvrVegaBannerghattaRoad,Kannada,09:25,Recliner,203₹,12,0
Karnataka,Bangalore,PvrVegaBannerghattaRoad,Kannada,09:25,Classic,106₹,135,0
Karnataka,Bangalore,PvrVegaGoldBannerghattaRoad,Kannada,09:25,GoldPrime,323₹,6,0
Karnataka,Bangalore,PvrVegaGoldBannerghattaRoad,Kannada,09:25,Gold,304₹,24,2
Karnataka,Bangalore,PvrForumMallKoramangala,Kannada,09:50,Classic,112₹,156,20
Karnataka,Bangalore,PvrForumMallKoramangala,Kannada,09:50,Recliner,112₹,12,0
Karnataka,Mangalore,PvrForumFizaMallPandeshwar,Kannada,09:55,Recliner,277₹,12,2
Karnataka,Mangalore,PvrForumFizaMallPandeshwar,Kannada,09:55,Classic,138₹,126,2
Karnataka,Mangalore,PvrForumFizaMallPandeshwar,Kannada,09:55,Prime,138₹,32,6
Karnataka,Bangalore,InoxGarudaYelahankaBangalore,Kannada,10:05,Club,138₹,111,4
Karnataka,Bangalore,InoxGarudaYelahankaBangalore,Kannada,10:05,Executive,138₹,60,0
Karnataka,Bangalore,CinepolisEtaNammaMall,Kannada,10:45,Normal,130₹,44,0
Karnataka,Bangalore,CinepolisEtaNammaMall,Kannada,10:45,Premium,130₹,44,2
Karnataka,Bangalore,CinepolisEtaNammaMall,Kannada,10:45,Executive,130₹,135,0
Karnataka,Bangalore,VinayakaMultiplexACDts71MysoreRoad,Kannada,10:45,Diamond,120₹,243,181
Karnataka,Bangalore,VinayakaMultiplexACDts71MysoreRoad,Kannada,10:45,Gold,100₹,270,210
Telangana,Yellandu,KalanjaliYellandu,Telugu,10:45,ABox,100₹,30,16
Telangana,Yellandu,KalanjaliYellandu,Telugu,10:45,BBox,100₹,30,30
Telangana,Yellandu,KalanjaliYellandu,Telugu,10:45,ReservedClass,80₹,270,178
Telangana,Yellandu,KalanjaliYellandu,Telugu,10:45,FirstClass,60₹,104,104
Telangana,Yellandu,KalanjaliYellandu,Telugu,10:45,SecondClass,40₹,75,75
Karnataka,Bangalore,CinepolisForumShantiniketan,Kannada,11:25,Vip,350₹,12,0
Karnataka,Bangalore,CinepolisForumShantiniketan,Kannada,11:25,Premium,180₹,38,0
Karnataka,Bangalore,CinepolisForumShantiniketan,Kannada,11:25,Executive,170₹,68,0
Karnataka,Bangalore,CinepolisForumShantiniketan,Kannada,11:25,Normal,150₹,30,0
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,11:30,RoyalRecliner,200₹,10,0
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,11:30,Club,130₹,63,2
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,11:30,Royal,130₹,16,7
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,11:30,Executive,100₹,22,0
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Kannada,12:00,Recliner,212₹,14,2
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Kannada,12:00,Prime,129₹,10,2
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Kannada,12:00,Classic,106₹,139,0
Karnataka,Hubli,PvrLaxmiMallCoenRoad,Kannada,12:05,Prime,249₹,9,0
Karnataka,Hubli,PvrLaxmiMallCoenRoad,Kannada,12:05,ClassicPlus,152₹,138,3
Karnataka,Hubli,PvrLaxmiMallCoenRoad,Kannada,12:05,Classic,152₹,68,0
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Kannada,12:15,Premium,175₹,36,9
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Kannada,12:15,Executive,155₹,88,0
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Kannada,12:15,Normal,130₹,32,0
Karnataka,Bangalore,PvrForumMallKoramangala,Kannada,12:25,Lounger,166₹,11,2
Karnataka,Bangalore,PvrForumMallKoramangala,Kannada,12:25,Classic,147₹,161,0
Karnataka,Bangalore,FunCinemaSigmaMall,Kannada,12:25,Normal,160₹,56,0
Karnataka,Bangalore,FunCinemaSigmaMall,Kannada,12:25,Executive,160₹,134,5
Karnataka,Manipal,InoxCentralCinemasLaxmindraNagar,Kannada,12:40,Royal,230₹,7,0
Karnataka,Manipal,InoxCentralCinemasLaxmindraNagar,Kannada,12:40,Club,120₹,43,3
Karnataka,Manipal,InoxCentralCinemasLaxmindraNagar,Kannada,12:40,Executive,120₹,40,0
Karnataka,Bangalore,CinepolisSjrSpectrum,Kannada,12:45,Vip,450₹,12,0
Karnataka,Bangalore,CinepolisSjrSpectrum,Kannada,12:45,Normal,150₹,42,0
Karnataka,Bangalore,CinepolisSjrSpectrum,Kannada,12:45,Premium,150₹,67,0
Karnataka,Bangalore,CinepolisSjrSpectrum,Kannada,12:45,Executive,150₹,79,0
Karnataka,Bangalore,PvrPxlOrionMallDrRajkumarRoad,Kannada,13:00,Recliner,230₹,40,18
Karnataka,Bangalore,PvrPxlOrionMallDrRajkumarRoad,Kannada,13:00,Prime,166₹,78,15
Karnataka,Bangalore,PvrPxlOrionMallDrRajkumarRoad,Kannada,13:00,Lounger,157₹,11,0
Karnataka,Bangalore,PvrPxlOrionMallDrRajkumarRoad,Kannada,13:00,Classic,147₹,209,6
Karnataka,Davanagere,MovietimeSsGardeniaMallDavanagere,Kannada,13:00,Gold,230₹,79,0
Karnataka,Davanagere,MovietimeSsGardeniaMallDavanagere,Kannada,13:00,Premier,212₹,180,0
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,13:05,ClassicPlus,140₹,81,44
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,13:05,Classic,110₹,36,0
Telangana,Hyderabad,PvrIrrumManzilKhairatabad,Telugu,13:35,Recliner,250₹,8,2
Telangana,Hyderabad,PvrIrrumManzilKhairatabad,Telugu,13:35,Classic,150₹,142,16
Karnataka,Bangalore,VinayakaMultiplexACDts71MysoreRoad,Kannada,13:45,Diamond,120₹,243,181
Karnataka,Bangalore,VinayakaMultiplexACDts71MysoreRoad,Kannada,13:45,Gold,100₹,270,210
Karnataka,Bangalore,CinepolisEtaNammaMall,Kannada,14:10,Vip,300₹,18,0
Karnataka,Bangalore,CinepolisEtaNammaMall,Kannada,14:10,Normal,130₹,44,0
Karnataka,Bangalore,CinepolisEtaNammaMall,Kannada,14:10,Premium,130₹,66,5
Karnataka,Bangalore,CinepolisEtaNammaMall,Kannada,14:10,Executive,130₹,160,3
Telangana,Yellandu,KalanjaliYellandu,Telugu,14:15,ABox,100₹,30,16
Telangana,Yellandu,KalanjaliYellandu,Telugu,14:15,BBox,100₹,30,30
Telangana,Yellandu,KalanjaliYellandu,Telugu,14:15,ReservedClass,80₹,270,178
Telangana,Yellandu,KalanjaliYellandu,Telugu,14:15,FirstClass,60₹,104,104
Telangana,Yellandu,KalanjaliYellandu,Telugu,14:15,SecondClass,40₹,75,75
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,14:45,Recliner,212₹,9,6
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,14:45,Prime,129₹,20,1
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,14:45,Classic,106₹,85,2
Karnataka,Mangalore,PvrForumFizaMallPandeshwar,Kannada,15:15,Recliner,277₹,13,0
Karnataka,Mangalore,PvrForumFizaMallPandeshwar,Kannada,15:15,Classic,138₹,133,0
Karnataka,Mangalore,PvrForumFizaMallPandeshwar,Kannada,15:15,Prime,138₹,77,0
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,15:20,Recliner,212₹,13,0
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,15:20,Prime,129₹,20,2
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,15:20,Classic,106₹,85,0
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Kannada,15:30,Premium,190₹,67,4
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Kannada,15:30,Executive,170₹,178,2
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Kannada,15:30,Normal,150₹,42,0
Karnataka,Bangalore,PvrVegaBannerghattaRoad,Kannada,15:45,Recliner,230₹,12,2
Karnataka,Bangalore,PvrVegaBannerghattaRoad,Kannada,15:45,Classic,138₹,135,12
Karnataka,Bangalore,InoxMantriSquareMalleshwaram,Kannada,15:50,Royal,240₹,9,8
Karnataka,Bangalore,InoxMantriSquareMalleshwaram,Kannada,15:50,Club,170₹,296,6
Karnataka,Bangalore,PvrMsrElementsMallTanisandhraMainRoad,Kannada,15:50,Recliner,230₹,17,1
Karnataka,Bangalore,PvrMsrElementsMallTanisandhraMainRoad,Kannada,15:50,Prime,157₹,72,2
Karnataka,Bangalore,PvrMsrElementsMallTanisandhraMainRoad,Kannada,15:50,Classic,138₹,135,0
Telangana,Hyderabad,PvrNextGalleriaMallPanjagutta,Telugu,16:00,Recliner,250₹,9,1
Telangana,Hyderabad,PvrNextGalleriaMallPanjagutta,Telugu,16:00,Classic,150₹,181,25
Karnataka,Mysore,InoxMallOfMysoreMgRoad,Kannada,16:10,Club,147₹,264,4
Karnataka,Manipal,InoxCentralCinemasLaxmindraNagar,Kannada,16:25,Royal,230₹,11,0
