State,City,Name,Language,Time,Type,Price,Capacity,Booked
WestBengal,Kolkata,InoxForumMallElginRoad,English,13:10,Royal,300₹,33,7
WestBengal,Kolkata,InoxForumMallElginRoad,English,13:10,DressCircle,260₹,100,0
WestBengal,Kolkata,InoxForumMallElginRoad,English,13:10,Galleria,230₹,28,0
WestBengal,Kolkata,InoxCityCentreSaltlake,English,13:15,Royale,240₹,38,2
WestBengal,Kolkata,InoxCityCentreSaltlake,English,13:15,DressCircle,230₹,190,6
WestBengal,Kolkata,InoxCityCentreSaltlake,English,13:15,Galleria,210₹,76,0
WestBengal,Durgapur,CarnivalCityCenterDreamplexBuilding,English,14:50,Executive,150₹,219,1
WestBengal,Durgapur,CarnivalCityCenterDreamplexBuilding,English,14:50,Economy,130₹,44,0
WestBengal,Durgapur,CarnivalCityCenterDreamplexBuilding,English,14:50,Regular,130₹,70,0
Gujarat,Ahmedabad,PvrArvedTranscube,English,16:00,Recliner,350₹,9,1
Gujarat,Ahmedabad,PvrArvedTranscube,English,16:00,Prime,175₹,188,21
Gujarat,Ahmedabad,PvrArvedTranscube,English,16:00,Classic,140₹,54,0
Karnataka,Bangalore,PvrVegaBannerghattaRoad,English,16:05,Recliner,400₹,9,0
Karnataka,Bangalore,PvrVegaBannerghattaRoad,English,16:05,Classic,220₹,73,2
Karnataka,Bangalore,PvrVegaBannerghattaRoad,English,16:05,Recliner,400₹,9,9
Karnataka,Bangalore,PvrVegaBannerghattaRoad,English,16:05,Classic,220₹,73,37
Maharashtra,Mumbai,InoxMegaplexInorbitMall,English,16:30,Insignia,650₹,41,4
Maharashtra,Mumbai,PvrCitiMallAndheriW,English,17:15,Recliner,440₹,24,5
Maharashtra,Mumbai,PvrCitiMallAndheriW,English,17:15,Prime,260₹,146,39
Maharashtra,Mumbai,PvrCitiMallAndheriW,English,17:15,Classic,220₹,46,0
WestBengal,Kolkata,CinepolisAcropolisMall,English,17:20,Premium,240₹,22,21
WestBengal,Kolkata,CinepolisAcropolisMall,English,17:20,Executive,220₹,64,25
WestBengal,Kolkata,CinepolisAcropolisMall,English,17:20,Normal,200₹,22,0
WestBengal,Kolkata,CarnivalSaltLake,English,17:40,Silver,150₹,166,18
MadhyaPradesh,Indore,PvrTreasureIslandMallSouthTukoganj,English,17:45,Prime,230₹,69,20
MadhyaPradesh,Indore,PvrTreasureIslandMallSouthTukoganj,English,17:45,Classic,200₹,28,0
WestBengal,Asansol,CarnivalSentrumMallAsansol,English,18:10,Silver,150₹,150,0
WestBengal,Asansol,CarnivalSentrumMallAsansol,English,18:10,Gold,150₹,43,0
WestBengal,Asansol,CarnivalSentrumMallAsansol,English,18:10,Premium,150₹,63,0
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,English,18:25,Recliner,450₹,7,7
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,English,18:25,Classic,240₹,63,44
WestBengal,Kolkata,PvrAvaniRiverSideMall,English,19:05,Prime,270₹,11,0
WestBengal,Kolkata,PvrAvaniRiverSideMall,English,19:05,Classic,240₹,200,5
Kerala,Kochi,PvrLuluKochi,English,19:10,Recliner,350₹,10,5
Kerala,Kochi,PvrLuluKochi,English,19:10,Prime,190₹,68,17
Kerala,Kochi,PvrLuluKochi,English,19:10,ClassicPlus,160₹,91,1
Kerala,Kochi,PvrLuluKochi,English,19:10,Classic,140₹,39,0
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,English,19:15,Recliner,490₹,8,0
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,English,19:15,Prime,240₹,94,6
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,English,19:15,Classic,210₹,48,0
WestBengal,Kolkata,InoxQuestMallBallygunge,English,19:20,RoyalRecliner,550₹,8,5
WestBengal,Kolkata,InoxQuestMallBallygunge,English,19:20,Royal,340₹,28,2
WestBengal,Kolkata,InoxQuestMallBallygunge,English,19:20,Club,330₹,112,0
WestBengal,Kolkata,InoxQuestMallBallygunge,English,19:20,Executive,310₹,24,0
Telangana,Hyderabad,PvrKukatpallyHyderabad,English,19:25,Recliner,250₹,9,9
Telangana,Hyderabad,PvrKukatpallyHyderabad,English,19:25,Classic,150₹,135,56
WestBengal,Kolkata,InoxSouthCityMall,English,19:30,Silver,330₹,157,51
WestBengal,Kolkata,InoxSouthCityMall,English,19:30,Premier,310₹,34,0
Rajasthan,Udaipur,PvrCelebrationMallUdaipur,English,19:35,Recliner,320₹,27,27
Rajasthan,Udaipur,PvrCelebrationMallUdaipur,English,19:35,PrimePlus,220₹,52,13
Rajasthan,Udaipur,PvrCelebrationMallUdaipur,English,19:35,Prime,170₹,156,4
Rajasthan,Udaipur,PvrCelebrationMallUdaipur,English,19:35,Classic,160₹,52,0
Jharkhand,Ranchi,PvrNuclessMallRanchi,English,19:40,PrimePlus,280₹,15,0
Jharkhand,Ranchi,PvrNuclessMallRanchi,English,19:40,Prime,230₹,57,0
Jharkhand,Ranchi,PvrNuclessMallRanchi,English,19:40,ClassicPlus,180₹,98,0
Jharkhand,Ranchi,PvrNuclessMallRanchi,English,19:40,Classic,170₹,28,0
Chhattisgarh,Raipur,PvrMagnetoTheMallRaipur,English,19:40,Recliner,400₹,22,0
Chhattisgarh,Raipur,PvrMagnetoTheMallRaipur,English,19:40,Prime,170₹,192,22
Chhattisgarh,Raipur,PvrMagnetoTheMallRaipur,English,19:40,Classic,150₹,38,0
Maharashtra,Nagpur,PvrEmpressCityMallNagpur,English,19:45,Prime,240₹,95,13
Maharashtra,Nagpur,PvrEmpressCityMallNagpur,English,19:45,Classic,200₹,26,0
Telangana,Hyderabad,PvrNextGalleriaMallPanjagutta,English,19:45,Classic,150₹,152,20
WestBengal,Kolkata,PvrDiamondPlazaJassore,English,19:55,Recliner,440₹,12,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,English,19:55,Prime,270₹,11,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,English,19:55,Classic,230₹,80,4
UttarPradesh,Noida,PvrLogixCityCentreNoida,English,19:55,Classic,320₹,84,0
UttarPradesh,Noida,PvrLogixCityCentreNoida,English,19:55,Classic,320₹,84,18
Karnataka,Doddaballapur,PvrAmpaSkywalkMallAminjikarai,English,21:45,Prime,211₹,116,9
Karnataka,Doddaballapur,PvrAmpaSkywalkMallAminjikarai,English,21:45,Classic,66₹,17,17
Maharashtra,Pune,PvrMarketCityVimanNagar,English,22:15,PrimePlus,300₹,10,0
Maharashtra,Pune,PvrMarketCityVimanNagar,English,22:15,Prime,200₹,119,12
Maharashtra,Pune,PvrMarketCityVimanNagar,English,22:15,Classic,150₹,52,2
