State,City,Name,Language,Time,Type,Price,Capacity,Booked
Karnataka,Mangalore,CinepolisCityCentreMall,Tulu,10:10,Premium,200₹,83,0
Karnataka,Mangalore,CinepolisCityCentreMall,Tulu,10:10,Executive,180₹,216,0
Karnataka,Mangalore,CinepolisCityCentreMall,Tulu,10:10,Normal,160₹,44,0
Karnataka,Mangalore,PvrForumFizaMallPandeshwar,Tulu,12:00,Recliner,350₹,14,0
Karnataka,Mangalore,PvrForumFizaMallPandeshwar,Tulu,12:00,Classic,180₹,140,0
Karnataka,Mangalore,PvrForumFizaMallPandeshwar,Tulu,12:00,Prime,180₹,100,0
Karnataka,Mangalore,CinepolisCityCentreMall,Tulu,15:55,Premium,200₹,83,15
Karnataka,Mangalore,CinepolisCityCentreMall,Tulu,15:55,Executive,180₹,216,11
Karnataka,Mangalore,CinepolisCityCentreMall,Tulu,15:55,Normal,160₹,44,0
Karnataka,Mangalore,PvrForumFizaMallPandeshwar,Tulu,18:00,Recliner,350₹,14,0
Karnataka,Mangalore,PvrForumFizaMallPandeshwar,Tulu,18:00,Classic,180₹,140,0
Karnataka,Mangalore,PvrForumFizaMallPandeshwar,Tulu,18:00,Prime,180₹,108,26
Karnataka,Manipal,InoxCentralCinemasLaxmindraNagar,Tulu,19:40,Royal,250₹,7,6
Karnataka,Manipal,InoxCentralCinemasLaxmindraNagar,Tulu,19:40,Club,160₹,43,10
Karnataka,Manipal,InoxCentralCinemasLaxmindraNagar,Tulu,19:40,Executive,140₹,40,0
Karnataka,Mangalore,CinepolisCityCentreMall,Tulu,21:50,Premium,200₹,83,18
Karnataka,Mangalore,CinepolisCityCentreMall,Tulu,21:50,Executive,180₹,216,9
Karnataka,Mangalore,CinepolisCityCentreMall,Tulu,21:50,Normal,160₹,44,2
