State,City,Name,Language,Time,Type,Price,Capacity,Booked
Karnataka,Bangalore,SandhyaDigital4KAtmosMadivala,Telugu,04:00,Gold,300₹,520,520
Karnataka,Bangalore,SandhyaDigital4KAtmosMadivala,Telugu,04:00,Silver,200₹,185,185
Karnataka,Bangalore,BhoomikaTheatre2KMajestic,Telugu,04:10,Balcony,250₹,318,318
Karnataka,Bangalore,BhoomikaTheatre2KMajestic,Telugu,04:10,Middle,200₹,576,573
AndhraPradesh,Markapuram,SaiBalajiTheatreDolby71SurroundMarkapuram,Telugu,04:30,Balcony,300₹,329,329
AndhraPradesh,Markapuram,SaiBalajiTheatreDolby71SurroundMarkapuram,Telugu,04:30,FristClass,300₹,156,102
Karnataka,Bellary,RrCinemasBellary,Telugu,04:30,Gold,400₹,86,7
Karnataka,Bellary,RrCinemasBellary,Telugu,04:30,Silver,300₹,242,23
TamilNadu,Chennai,CasinoCinemasRgbLaser4K3DACDolby71,Telugu,04:50,Balcony,190₹,226,193
TamilNadu,Chennai,CasinoCinemasRgbLaser4K3DACDolby71,Telugu,04:50,FirstClass,170₹,381,117
TamilNadu,Chennai,CasinoCinemasRgbLaser4K3DACDolby71,Telugu,04:50,SecondClass,60₹,47,47
AndhraPradesh,Amalapuram,SriVenkataramanaACDtsAmalapuram,Telugu,05:00,ReservedClass,200₹,378,378
AndhraPradesh,Amalapuram,SriVenkataramanaACDtsAmalapuram,Telugu,05:00,SecondClass,100₹,104,104
Karnataka,Bangalore,ManasaRgbLaserAtmosCinemasKonankunte,Telugu,05:00,Platinum,400₹,86,86
Karnataka,Bangalore,ManasaRgbLaserAtmosCinemasKonankunte,Telugu,05:00,Gold,300₹,282,282
Karnataka,Bangalore,ManasaRgbLaserAtmosCinemasKonankunte,Telugu,05:00,Silver,300₹,156,98
TamilNadu,Chennai,RakkiCinemasRgbLaser4KDolbyAtmosAmbattur,Telugu,05:00,Premium2,190₹,107,59
TamilNadu,Chennai,RakkiCinemasRgbLaser4KDolbyAtmosAmbattur,Telugu,05:00,Premium1,190₹,143,78
TamilNadu,Chennai,RakkiCinemasRgbLaser4KDolbyAtmosAmbattur,Telugu,05:00,Executive,190₹,413,46
TamilNadu,Chennai,MuruganCinemas4KDolbyAtmosAmbattur,Telugu,05:00,Diamond,190₹,276,84
TamilNadu,Chennai,MuruganCinemas4KDolbyAtmosAmbattur,Telugu,05:00,Gold,190₹,333,4
Telangana,Khammam,SvcThirumalaKhammam,Telugu,06:00,Balcony,210₹,434,434
Telangana,Khammam,SvcThirumalaKhammam,Telugu,06:00,SecondCalss,150₹,236,236
Telangana,Khammam,SvcThirumalaKhammam,Telugu,06:00,ThhirdClass,90₹,181,181
AndhraPradesh,Srikakulam,SvcRamalaxmanaSrikakulam,Telugu,06:00,PremiumCl,205₹,550,550
AndhraPradesh,Srikakulam,SvcRamalaxmanaSrikakulam,Telugu,06:00,NonPremiumCl,175₹,200,200
AndhraPradesh,Srikakulam,KinneraComplexSrikakulam,Telugu,06:00,Premium,205₹,321,321
AndhraPradesh,Srikakulam,KinneraComplexSrikakulam,Telugu,06:00,NonPremium,175₹,165,165
Karnataka,Bangalore,InnovativeMultiplexMarathahalli,Telugu,06:00,Gold,400₹,112,112
Karnataka,Bangalore,InnovativeMultiplexMarathahalli,Telugu,06:00,Silver,236₹,240,219
Karnataka,Bangalore,PrakashChitramandiraYelahanka,Telugu,06:00,Balcony,200₹,357,295
Karnataka,Bangalore,SriSrinivasaTheatre4KDolbyAtmosACPadmanabhanagar,Telugu,06:00,DiamondClass,250₹,98,98
