State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Odisha,Cuttack,InoxSgblSquareMallCuttack,Odiya,16:40,RoyalRecliner,310₹,6,2
Odisha,Cuttack,InoxSgblSquareMallCuttack,Odiya,16:40,Royal,210₹,70,7
Odisha,Cuttack,InoxSgblSquareMallCuttack,Odiya,16:40,Club,190₹,100,10
Odisha,Cuttack,InoxSgblSquareMallCuttack,Odiya,16:40,Executive,140₹,12,0
Odisha,Bhubaneswar,CinepolisEsplanade,Odiya,19:10,Vip,500₹,10,6
Odisha,Bhubaneswar,CinepolisEsplanade,Odiya,19:10,Premium,200₹,48,41
Odisha,Bhubaneswar,CinepolisEsplanade,Odiya,19:10,Executive,180₹,71,42
Odisha,Bhubaneswar,CinepolisEsplanade,Odiya,19:10,Normal,160₹,26,4
Odisha,Bhubaneswar,InoxBmcBhawaniMallShahidNagar,Odiya,19:55,Royale,250₹,36,13
Odisha,Bhubaneswar,InoxBmcBhawaniMallShahidNagar,Odiya,19:55,Club,220₹,126,61
Odisha,Bhubaneswar,InoxBmcBhawaniMallShahidNagar,Odiya,19:55,Executive,200₹,42,0
