State,City,Name,Language,Time,Type,Price,Capacity,Booked
Kerala,Kochi,PvrLuluKochi,Malayalam,11:00,Recliner,240₹,10,0
Kerala,Kochi,PvrLuluKochi,Malayalam,11:00,Prime,125₹,68,19
Kerala,Kochi,PvrLuluKochi,Malayalam,11:00,ClassicPlus,110₹,91,0
Kerala,Kochi,PvrLuluKochi,Malayalam,11:00,Classic,89₹,39,0
Kerala,Trivandrum,CarnivalGreenfieldCinemaKaryavattom,Malayalam,14:00,ExecutiveOffline,140₹,132,0
Kerala,Trivandrum,CarnivalArtechMallVanchyoor,Malayalam,14:30,GoldOffline,300₹,13,0
Kerala,Trivandrum,CarnivalArtechMallVanchyoor,Malayalam,14:30,SilverOffline,150₹,167,16
Kerala,Trivandrum,CarnivalArtechMallVanchyoor,Malayalam,14:30,ExecutiveOffline,100₹,13,0
Kerala,Thalayolaparambu,CarnivalThalayolaparambu,Malayalam,15:15,Gold,110₹,144,6
Kerala,Kollam,CarnivalRpMallKollam,Malayalam,16:00,PremiumOffline,150₹,96,16
Kerala,Angamaly,CarnivalKsrtComplexSalemErnakulamHighway,Malayalam,18:00,GoldOffline,130₹,203,27
