State,City,Name,Language,Time,Type,Price,Capacity,Booked
Kerala,Kollam,CarnivalRpMallKollam,Malayalam,10:00,PremiumOffline,100₹,108,23
Kerala,Trivandrum,CarnivalArtechMallVanchyoor,Malayalam,11:00,SilverOffline,150₹,147,22
Kerala,Trivandrum,CarnivalArtechMallVanchyoor,Malayalam,11:00,ExecutiveOffline,100₹,26,0
Kerala,Thalassery,LibertyParadiseComplexThalassery,Malayalam,11:30,Mini,125₹,250,152
Kerala,Kochi,PvrLuluKochi,Malayalam,12:50,Recliner,350₹,9,0
Kerala,Kochi,PvrLuluKochi,Malayalam,12:50,Prime,200₹,64,0
Kerala,Kochi,PvrLuluKochi,Malayalam,12:50,ClassicPlus,180₹,91,3
Kerala,Kochi,PvrLuluKochi,Malayalam,12:50,Classic,140₹,39,0
Kerala,Vadanapally,AsokaKingCinemasVadanapally,Malayalam,15:00,GoldCircle,130₹,163,0
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,15:00,Silver,190₹,103,7
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,15:00,ExecutiveOffline,160₹,72,0
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,15:00,NormalOffline,100₹,18,0
Kerala,Angamaly,CarnivalKsrtComplexSalemErnakulamHighway,Malayalam,15:00,GoldOffline,130₹,202,32
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,16:15,RoyalRecliner,290₹,10,3
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,16:15,Club,170₹,66,4
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,16:15,Royal,170₹,13,1
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,16:15,Executive,130₹,22,0
Kerala,Trivandrum,CarnivalArtechMallVanchyoor,Malayalam,18:00,SilverOffline,150₹,147,18
Kerala,Trivandrum,CarnivalArtechMallVanchyoor,Malayalam,18:00,ExecutiveOffline,100₹,26,0
Kerala,Vadanapally,AsokaKingCinemasVadanapally,Malayalam,18:15,GoldCircle,130₹,163,0
Kerala,Thalassery,CarnivalDowntownThalassery,Malayalam,18:20,ExecutiveOffline,140₹,131,13
Kerala,Karunagappally,CarnivalHJComplexLalajiJunction,Malayalam,18:30,ClassicOffline,110₹,118,21
Kerala,Thalassery,LibertyParadiseComplexThalassery,Malayalam,21:15,Mini,125₹,250,152
Kerala,Vadanapally,AsokaKingCinemasVadanapally,Malayalam,21:30,GoldCircle,130₹,163,0
Kerala,Trivandrum,CarnivalArtechMallVanchyoor,Malayalam,21:30,SilverOffline,150₹,147,16
Kerala,Trivandrum,CarnivalArtechMallVanchyoor,Malayalam,21:30,ExecutiveOffline,100₹,26,0
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,21:45,Silver,190₹,103,14
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,21:45,ExecutiveOffline,160₹,72,3
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,21:45,NormalOffline,100₹,18,0
Kerala,Trivandrum,CarnivalGreenfieldCinemaKaryavattom,Malayalam,22:10,ExecutiveOffline,160₹,119,25
