State,City,Name,Language,Time,Type,Price,Capacity,Booked
WestBengal,Kolkata,CinepolisLakeMall,Bengali,09:45,Premium,180₹,22,0
WestBengal,Kolkata,CinepolisLakeMall,Bengali,09:45,Executive,160₹,54,4
WestBengal,Kolkata,CinepolisLakeMall,Bengali,09:45,Normal,140₹,22,0
WestBengal,Kolkata,InoxSouthCityMall,Bengali,10:05,Premier,140₹,34,0
WestBengal,Kolkata,InoxSouthCityMall,Bengali,10:05,Silver,140₹,156,16
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,11:00,DressCircle,140₹,140,5
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,11:00,Galleria,140₹,49,0
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,11:00,Royale,140₹,30,9
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,11:00,Royal,300₹,14,2
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,11:00,Premier,112₹,36,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,11:00,Silver,112₹,146,38
WestBengal,Howrah,InoxRDMallLiluah,Bengali,11:30,Club,112₹,182,2
WestBengal,Howrah,InoxRDMallLiluah,Bengali,11:30,Executive,112₹,84,2
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,12:00,Club,130₹,229,5
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,12:00,Executive,130₹,42,0
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,12:15,Normal,140₹,22,0
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,12:15,Premium,140₹,20,18
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,12:15,Executive,140₹,64,28
WestBengal,Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,12:20,Club,140₹,72,9
WestBengal,Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,12:20,Executive,140₹,36,0
WestBengal,Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,12:20,Royal,140₹,40,17
WestBengal,Kolkata,CarnivalSaltLake,Bengali,12:30,Silver,99₹,190,12
WestBengal,Kolkata,PvrAvaniRiverSideMall,Bengali,12:50,Prime,290₹,6,0
WestBengal,Kolkata,PvrAvaniRiverSideMall,Bengali,12:50,Classic,190₹,183,31
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,13:05,Recliner,420₹,12,4
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,13:05,Prime,220₹,11,8
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,13:05,Classic,160₹,80,11
WestBengal,Kolkata,CarnivalSaltLake,Bengali,13:20,Silver,99₹,166,4
WestBengal,Kolkata,InoxQuestMallBallygunge,Bengali,13:35,RoyalRecliner,390₹,10,8
WestBengal,Kolkata,InoxQuestMallBallygunge,Bengali,13:35,Royal,230₹,48,6
WestBengal,Kolkata,InoxQuestMallBallygunge,Bengali,13:35,Club,220₹,162,3
WestBengal,Kolkata,InoxQuestMallBallygunge,Bengali,13:35,Executive,180₹,30,0
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,13:35,Royal,160₹,63,11
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,13:35,Club,150₹,92,9
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,13:35,Executive,140₹,32,0
Haryana,Gurgaon,PvrAmbienceGurgaon,Bengali,13:45,ClassicNormal,150₹,84,0
Haryana,Gurgaon,PvrAmbienceGurgaon,Bengali,13:45,Prime,150₹,68,8
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,13:50,DressCircle,160₹,140,13
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,13:50,Galleria,160₹,49,0
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,13:50,Royale,160₹,30,16
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,13:50,Royal,300₹,14,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,13:50,Premier,140₹,36,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,13:50,Silver,140₹,146,23
WestBengal,Kolkata,InoxSouthCityMall,Bengali,14:00,Silver,200₹,157,57
WestBengal,Kolkata,InoxSouthCityMall,Bengali,14:00,Premier,180₹,34,0
WestBengal,Howrah,InoxForumRangoliMallBelur,Bengali,14:20,Club,160₹,159,143
WestBengal,Howrah,InoxForumRangoliMallBelur,Bengali,14:20,Executive,160₹,69,5
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,14:35,Recliner,420₹,12,7
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,14:35,Prime,220₹,11,11
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,14:35,Classic,160₹,189,110
WestBengal,Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,15:10,Royal,170₹,40,26
WestBengal,Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,15:10,Club,150₹,72,40
WestBengal,Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,15:10,Executive,140₹,36,0
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,15:15,Premium,180₹,38,37
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,15:15,Executive,160₹,64,62
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,15:15,Normal,140₹,22,11
WestBengal,Durgapur,CarnivalCityCenterDreamplexBuilding,Bengali,15:25,Executive,130₹,219,35
WestBengal,Durgapur,CarnivalCityCenterDreamplexBuilding,Bengali,15:25,Regular,130₹,70,4
WestBengal,Durgapur,CarnivalCityCenterDreamplexBuilding,Bengali,15:25,Economy,110₹,44,0
WestBengal,Kolkata,CinepolisLakeMall,Bengali,15:40,Premium,180₹,22,22
WestBengal,Kolkata,CinepolisLakeMall,Bengali,15:40,Executive,160₹,54,54
WestBengal,Kolkata,CinepolisLakeMall,Bengali,15:40,Normal,140₹,22,15
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,15:40,Club,140₹,229,76
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,15:40,Executive,140₹,42,0
WestBengal,Kolkata,PvrAvaniRiverSideMall,Bengali,15:50,Prime,310₹,11,6
WestBengal,Kolkata,PvrAvaniRiverSideMall,Bengali,15:50,Classic,190₹,200,69
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Bengali,16:05,Recliner,250₹,12,2
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Bengali,16:05,Classic,170₹,119,9
Maharashtra,Mumbai,PvrDynamicJuhu,Bengali,16:10,Lounger,200₹,12,0
Maharashtra,Mumbai,PvrDynamicJuhu,Bengali,16:10,Prime,180₹,264,37
WestBengal,Kolkata,InoxSouthCityMall,Bengali,16:20,Silver,230₹,156,151
WestBengal,Kolkata,InoxSouthCityMall,Bengali,16:20,Premier,210₹,34,6
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,16:25,Royal,170₹,63,58
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,16:25,Club,160₹,92,65
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,16:25,Executive,150₹,32,0
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Bengali,16:25,Recliner,470₹,21,3
