State,City,Name,Language,Time,Type,Price,Capacity,Booked
Haryana,Sonipat,MaxxCinemaSonipat,Hindi,18:00,Gold,350₹,12,7
Haryana,Sonipat,MaxxCinemaSonipat,Hindi,18:00,Premur,200₹,172,53
Maharashtra,Jalgaon,InoxKhandeshCentralMallPratapNagar,Hindi,18:00,Club,250₹,160,16
Maharashtra,Jalgaon,InoxKhandeshCentralMallPratapNagar,Hindi,18:00,Executive,250₹,80,0
Maharashtra,Jalgaon,InoxKhandeshCentralMallPratapNagar,Hindi,18:00,Royal,250₹,71,0
Gujarat,Ahmedabad,MirajCityPulseManiNagar,Hindi,18:00,Gold,250₹,178,90
Gujarat,Ahmedabad,MirajCityPulseManiNagar,Hindi,18:00,Silver,250₹,126,5
Rajasthan,Jaipur,EntertainmentParadiseMirajCinemasJaipur,Hindi,18:00,PlatinumRecliner,500₹,16,5
Rajasthan,Jaipur,EntertainmentParadiseMirajCinemasJaipur,Hindi,18:00,Club,400₹,57,19
Rajasthan,Jaipur,EntertainmentParadiseMirajCinemasJaipur,Hindi,18:00,Gold,350₹,351,0
Rajasthan,Jaipur,EntertainmentParadiseMirajCinemasJaipur,Hindi,18:00,Silver,350₹,54,0
Rajasthan,Nathdwara,MirajMeridianMallNathdwara,Hindi,18:00,Gold,220₹,95,64
Rajasthan,Nathdwara,MirajMeridianMallNathdwara,Hindi,18:00,Silver,220₹,55,20
Haryana,Sonipat,MirajCinemaSonipat,Hindi,18:00,Executive,250₹,197,70
Haryana,Sonipat,MirajCinemaSonipat,Hindi,18:00,Prime,250₹,16,15
WestBengal,Kolkata,MirajCinemasNewtownKolkata,Hindi,18:00,Recliner,400₹,33,9
WestBengal,Kolkata,MirajCinemasNewtownKolkata,Hindi,18:00,Gold,200₹,80,60
WestBengal,Kolkata,MirajCinemasNewtownKolkata,Hindi,18:00,Executive,200₹,85,26
WestBengal,Kolkata,MirajCinemasNewtownKolkata,Hindi,18:00,Special,200₹,84,2
Rajasthan,Jodhpur,MirajCinemasAshapurnaMallAndMultiplexS,Hindi,18:00,Platinum,400₹,17,16
Rajasthan,Jodhpur,MirajCinemasAshapurnaMallAndMultiplexS,Hindi,18:00,Silver,250₹,76,56
Rajasthan,Jodhpur,MirajCinemasAshapurnaMallAndMultiplexS,Hindi,18:00,Gold,250₹,128,127
Gujarat,Gandhinagar,InoxR16Gandhinagar,Hindi,18:00,Platinum,350₹,6,6
Gujarat,Gandhinagar,InoxR16Gandhinagar,Hindi,18:00,Gold,250₹,115,25
Gujarat,Gandhinagar,InoxR16Gandhinagar,Hindi,18:00,Silver,250₹,23,0
Rajasthan,Jaipur,EntertainmentParadiseMirajCinemasJaipur,Hindi,18:00,Club,400₹,57,51
Rajasthan,Jaipur,EntertainmentParadiseMirajCinemasJaipur,Hindi,18:00,Gold,350₹,351,54
Rajasthan,Jaipur,EntertainmentParadiseMirajCinemasJaipur,Hindi,18:00,Silver,350₹,54,0
Maharashtra,Chandrapur,MirajCinemaChandrapur,Hindi,18:30,Gold,250₹,30,30
Maharashtra,Chandrapur,MirajCinemaChandrapur,Hindi,18:30,Special,250₹,70,42
Maharashtra,Chandrapur,MirajCinemaChandrapur,Hindi,18:30,Executive,250₹,105,105
Gujarat,Surat,InoxDrWorldParvatPatiya,Hindi,18:30,Club,300₹,96,0
Gujarat,Surat,InoxDrWorldParvatPatiya,Hindi,18:30,Executive,300₹,31,0
Gujarat,Surat,InoxDrWorldParvatPatiya,Hindi,18:30,Royal,300₹,53,0
Punjab,Hoshiarpur,MirajCinemasJsEminentMallHoshiarpur,Hindi,18:30,Special,200₹,34,0
Punjab,Hoshiarpur,MirajCinemasJsEminentMallHoshiarpur,Hindi,18:30,Executive,200₹,101,2
Chhattisgarh,Bhilai,MirajCinemasBhilai,Hindi,18:30,Gold,250₹,46,34
Chhattisgarh,Bhilai,MirajCinemasBhilai,Hindi,18:30,Special,200₹,71,0
Chhattisgarh,Bhilai,MirajCinemasBhilai,Hindi,18:30,Executive,200₹,73,0
Chhattisgarh,Bhilai,MirajCinemasBhilai,Hindi,18:30,Club,200₹,222,14
Maharashtra,Ulhasnagar,AshokAnilMultiplexMirajCinemasUlhasnaga,Hindi,18:30,Luxury,400₹,30,0
Maharashtra,Ulhasnagar,AshokAnilMultiplexMirajCinemasUlhasnaga,Hindi,18:30,Executive,250₹,262,0
Maharashtra,Ulhasnagar,AshokAnilMultiplexMirajCinemasUlhasnaga,Hindi,18:30,Gold,250₹,233,0
Maharashtra,Ulhasnagar,AshokAnilMultiplexMirajCinemasUlhasnaga,Hindi,18:30,Silver,250₹,43,0
Maharashtra,Akola,MirajRadhaKrishnaAkola,Hindi,18:30,Gold,220₹,103,100
Maharashtra,Akola,MirajRadhaKrishnaAkola,Hindi,18:30,Silver,200₹,75,43
Maharashtra,Mumbai,InoxLaserplexCr2NarimanPoint,Hindi,18:30,Club,500₹,160,0
Maharashtra,Mumbai,InoxLaserplexCr2NarimanPoint,Hindi,18:30,Royale,500₹,82,29
Maharashtra,Mumbai,InoxMegaplexInorbitMall,Hindi,18:30,Executive,400₹,32,0
Maharashtra,Mumbai,InoxMegaplexInorbitMall,Hindi,18:30,Premiere,400₹,125,10
Maharashtra,Mumbai,InoxMegaplexInorbitMall,Hindi,18:30,Silver,400₹,76,41
Maharashtra,Mumbai,InoxRCityGhatkoparW,Hindi,18:30,RoyalRecliner,700₹,16,8
Maharashtra,Mumbai,InoxRCityGhatkoparW,Hindi,18:30,Club,400₹,171,46
Maharashtra,Mumbai,InoxRCityGhatkoparW,Hindi,18:30,Executive,400₹,53,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,Hindi,18:30,Royal,400₹,53,48
Maharashtra,Mumbai,InoxRaghuleelaMallVashi,Hindi,18:30,Executive,350₹,22,0
Maharashtra,Mumbai,InoxRaghuleelaMallVashi,Hindi,18:30,Premier,350₹,85,4
Maharashtra,Mumbai,InoxRaghuleelaMallVashi,Hindi,18:30,Silver,350₹,26,5
Maharashtra,Mumbai,InoxRaghuleelaMegaMallKandivaliW,Hindi,18:30,Gold,360₹,140,24
Maharashtra,Mumbai,InoxRaghuleelaMegaMallKandivaliW,Hindi,18:30,Premiere,360₹,79,0
Maharashtra,Mumbai,MetroInoxCinemaMGRoad,Hindi,18:30,Club,400₹,108,14
Maharashtra,Mumbai,MetroInoxCinemaMGRoad,Hindi,18:30,Executive,400₹,36,0
Maharashtra,Mumbai,MetroInoxCinemaMGRoad,Hindi,18:30,Royale,400₹,48,31
Maharashtra,Mumbai,MirajAnupamCinemasGoregaon,Hindi,18:30,Gold,220₹,217,206
Maharashtra,Mumbai,MirajAnupamCinemasGoregaon,Hindi,18:30,Executive,220₹,28,10
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,Hindi,18:30,RoyalRecliner,700₹,16,8
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,Hindi,18:30,Club,400₹,171,50
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,Hindi,18:30,Executive,400₹,53,0
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,Hindi,18:30,Royal,400₹,53,48
Gujarat,Vadodara,InoxRaceCourseCircleElloraPark,Hindi,18:30,Gold,300₹,128,7
Gujarat,Vadodara,InoxRaceCourseCircleElloraPark,Hindi,18:30,Platinum,300₹,55,16
Gujarat,Vadodara,InoxRaceCourseCircleElloraPark,Hindi,18:30,Silver,300₹,90,0
Maharashtra,Aurangabad,InoxProzoneMallChilkalthana,Hindi,18:30,RoyaleRecliners,500₹,10,5
Maharashtra,Aurangabad,InoxProzoneMallChilkalthana,Hindi,18:30,Club,300₹,112,9
Maharashtra,Aurangabad,InoxProzoneMallChilkalthana,Hindi,18:30,Executive,300₹,36,0
Maharashtra,Aurangabad,InoxProzoneMallChilkalthana,Hindi,18:30,Royale,300₹,82,28
Maharashtra,Aurangabad,InoxTapadiaMallTownCenter,Hindi,18:30,Premiere,250₹,37,0
Maharashtra,Aurangabad,InoxTapadiaMallTownCenter,Hindi,18:30,Silver,250₹,174,75
Haryana,Hisar,MirajCinemasHisar,Hindi,18:30,Executive,250₹,44,44
Haryana,Hisar,MirajCinemasHisar,Hindi,18:30,Special,250₹,135,104
Karnataka,Bangalore,CinepolisEtaNammaMall,Hindi,18:30,Normal,350₹,9,0
Karnataka,Bangalore,CinepolisEtaNammaMall,Hindi,18:30,Premium,350₹,33,32
Karnataka,Bangalore,CinepolisEtaNammaMall,Hindi,18:30,Executive,350₹,81,48
Karnataka,Bangalore,InoxGarudaMallMagrathRoad,Hindi,18:30,RoyaleRecliners,750₹,9,9
Karnataka,Bangalore,InoxGarudaMallMagrathRoad,Hindi,18:30,Club,350₹,60,60
Karnataka,Bangalore,InoxGarudaMallMagrathRoad,Hindi,18:30,Executive,350₹,90,52
Karnataka,Bangalore,InoxMantriSquareMalleshwaram,Hindi,18:30,Club,350₹,225,207
Karnataka,Bangalore,InoxRmzGalleriaMallYelahanka,Hindi,18:30,Royale,700₹,9,9
Karnataka,Bangalore,InoxRmzGalleriaMallYelahanka,Hindi,18:30,Club,350₹,70,70
Karnataka,Bangalore,InoxRmzGalleriaMallYelahanka,Hindi,18:30,Executive,350₹,128,49
Maharashtra,Nagpur,InoxJaswantTuliMallKampteeRoad,Hindi,18:30,Royale,250₹,64,46
Maharashtra,Nagpur,InoxJaswantTuliMallKampteeRoad,Hindi,18:30,Club,200₹,171,63
Maharashtra,Nagpur,InoxJaswantTuliMallKampteeRoad,Hindi,18:30,Executive,200₹,70,0
Punjab,Amritsar,InoxTriliumMallCircularRoad,Hindi,18:30,Normal,300₹,253,12
Gujarat,Surat,InoxDrWorldParvatPatiya,Hindi,18:30,Club,300₹,96,62
Gujarat,Surat,InoxDrWorldParvatPatiya,Hindi,18:30,Executive,300₹,31,0
Gujarat,Surat,InoxDrWorldParvatPatiya,Hindi,18:30,Royal,300₹,53,51
Gujarat,Surat,InoxRelianceMegaMallUdhna,Hindi,18:30,RoyalRecliner,500₹,8,7
Gujarat,Surat,InoxRelianceMegaMallUdhna,Hindi,18:30,Club,300₹,55,22
Gujarat,Surat,InoxRelianceMegaMallUdhna,Hindi,18:30,Executive,300₹,16,0
Gujarat,Surat,InoxRelianceMegaMallUdhna,Hindi,18:30,Royal,300₹,38,38
Gujarat,Surat,InoxVrSuratDumasRoad,Hindi,18:30,RoyalRecliner,550₹,10,10
Gujarat,Surat,InoxVrSuratDumasRoad,Hindi,18:30,Club,350₹,102,55
Gujarat,Surat,InoxVrSuratDumasRoad,Hindi,18:30,Executive,350₹,34,0
Gujarat,Surat,InoxVrSuratDumasRoad,Hindi,18:30,Royal,350₹,54,51
Maharashtra,Kolhapur,InoxRelianceMegaMallLaxmipuri,Hindi,18:30,Club,250₹,98,30
Maharashtra,Kolhapur,InoxRelianceMegaMallLaxmipuri,Hindi,18:30,Executive,250₹,24,0
Maharashtra,Kolhapur,InoxRelianceMegaMallLaxmipuri,Hindi,18:30,Royale,250₹,37,31
Punjab,Hoshiarpur,MirajCinemasJsEminentMallHoshiarpur,Hindi,18:30,Special,200₹,76,0
Punjab,Hoshiarpur,MirajCinemasJsEminentMallHoshiarpur,Hindi,18:30,Executive,200₹,152,11
Maharashtra,Mumbai,InoxNeelyogSquareMallGhatkoparE,Hindi,18:30,Executive,350₹,40,0
Maharashtra,Mumbai,InoxNeelyogSquareMallGhatkoparE,Hindi,18:30,Premier,350₹,160,16
Maharashtra,Mumbai,InoxNeelyogSquareMallGhatkoparE,Hindi,18:30,Silver,350₹,81,40
MadhyaPradesh,Gwalior,InoxDbMallRaceCourseRoad,Hindi,18:30,Club,350₹,55,37
MadhyaPradesh,Gwalior,InoxDbMallRaceCourseRoad,Hindi,18:30,Executive,350₹,22,0
MadhyaPradesh,Gwalior,InoxDbMallRaceCourseRoad,Hindi,18:30,Royale,350₹,55,50
Gujarat,Bharuch,InoxBlueChipMallBharuch,Hindi,18:30,Gold,350₹,8,7
Gujarat,Bharuch,InoxBlueChipMallBharuch,Hindi,18:30,Executive,250₹,66,0
Gujarat,Bharuch,InoxBlueChipMallBharuch,Hindi,18:30,Silver,250₹,174,50
Gujarat,Bharuch,InoxShreeRangPalaceZadeshwarRoad,Hindi,18:30,Club,250₹,21,10
Gujarat,Bharuch,InoxShreeRangPalaceZadeshwarRoad,Hindi,18:30,Gold,250₹,151,20
Gujarat,Bharuch,InoxShreeRangPalaceZadeshwarRoad,Hindi,18:30,Silver,250₹,57,0
Gujarat,Vadodara,InoxSevenSeasMallFatehgunj,Hindi,18:30,Executive,300₹,36,0
Gujarat,Vadodara,InoxSevenSeasMallFatehgunj,Hindi,18:30,Premiere,300₹,126,6
Gujarat,Vadodara,InoxSevenSeasMallFatehgunj,Hindi,18:30,Silver,300₹,98,44
MadhyaPradesh,Indore,InoxTreasureIslandNextMallRegalSquare,Hindi,18:30,Club,350₹,184,34
MadhyaPradesh,Indore,InoxTreasureIslandNextMallRegalSquare,Hindi,18:30,Executive,350₹,42,0
MadhyaPradesh,Indore,MirajVelocityIiiIndore,Hindi,18:30,Platinum,250₹,30,0
MadhyaPradesh,Indore,MirajVelocityIiiIndore,Hindi,18:30,SuperPlatinum,250₹,130,74
Goa,Goa,InoxOldGmcDbRoad,Hindi,18:30,Club,300₹,90,3
Goa,Goa,InoxOldGmcDbRoad,Hindi,18:30,Executive,300₹,36,0
Goa,Goa,InoxOldGmcDbRoad,Hindi,18:30,Royal,300₹,95,44
Goa,Goa,InoxOsiaGWingMargao,Hindi,18:30,Club,300₹,131,7
Goa,Goa,InoxOsiaGWingMargao,Hindi,18:30,Executive,300₹,28,0
Goa,Goa,InoxOsiaGWingMargao,Hindi,18:30,Royale,300₹,57,17
Goa,Goa,InoxPorvorimBardez,Hindi,18:30,RoyalRecliner,500₹,15,9
Goa,Goa,InoxPorvorimBardez,Hindi,18:30,Club,300₹,116,0
Goa,Goa,InoxPorvorimBardez,Hindi,18:30,Executive,300₹,36,0
Goa,Goa,InoxPorvorimBardez,Hindi,18:30,Royal,300₹,59,5
Maharashtra,Ulhasnagar,AshokAnilMultiplexMirajCinemasUlhasnaga,Hindi,18:30,Luxury,400₹,30,15
Maharashtra,Ulhasnagar,AshokAnilMultiplexMirajCinemasUlhasnaga,Hindi,18:30,Executive,250₹,262,166
Maharashtra,Ulhasnagar,AshokAnilMultiplexMirajCinemasUlhasnaga,Hindi,18:30,Gold,250₹,233,51
Maharashtra,Ulhasnagar,AshokAnilMultiplexMirajCinemasUlhasnaga,Hindi,18:30,Silver,250₹,43,0
Gujarat,Rajkot,InoxRelianceMegaMallRajkot,Hindi,18:30,Club,350₹,72,72
Gujarat,Rajkot,InoxRelianceMegaMallRajkot,Hindi,18:30,Executive,350₹,24,15
Gujarat,Rajkot,InoxRelianceMegaMallRajkot,Hindi,18:30,Royal,350₹,46,46
Haryana,Gurgaon,InoxGurgaonArdeeMallGurgaon,Hindi,18:30,Insignia,900₹,25,6
Haryana,Gurgaon,InoxGurgaonSapphire83Gurgaon,Hindi,18:30,RoyalRecliner,550₹,9,4
Haryana,Gurgaon,InoxGurgaonSapphire83Gurgaon,Hindi,18:30,Club,350₹,40,0
Haryana,Gurgaon,InoxGurgaonSapphire83Gurgaon,Hindi,18:30,Royal,350₹,152,26
Gujarat,Gandhinagar,InoxR21Gandhinagar,Hindi,18:30,Gold,250₹,92,9
Gujarat,Gandhinagar,InoxR21Gandhinagar,Hindi,18:30,Platinum,250₹,14,13
Gujarat,Gandhinagar,InoxR21Gandhinagar,Hindi,18:30,Silver,250₹,32,0
Rajasthan,Jaipur,InoxCityPlazaMallBaniPark,Hindi,18:30,Comfort,250₹,30,2
Rajasthan,Jaipur,InoxCityPlazaMallBaniPark,Hindi,18:30,Luxury,250₹,120,31
Rajasthan,Jaipur,InoxCityPlazaMallBaniPark,Hindi,18:30,PassPass,250₹,45,30
Rajasthan,Jaipur,InoxGtCentralMallMalviyaNagar,Hindi,18:30,Club,450₹,160,3
Rajasthan,Jaipur,InoxGtCentralMallMalviyaNagar,Hindi,18:30,Executive,450₹,23,0
Rajasthan,Jaipur,InoxGtCentralMallMalviyaNagar,Hindi,18:30,Royale,450₹,30,16
Maharashtra,Pune,InoxAmanoraMallHadapsar,Hindi,18:30,Royale,500₹,6,5
Maharashtra,Pune,InoxAmanoraMallHadapsar,Hindi,18:30,Club,300₹,157,54
Maharashtra,Pune,InoxAmanoraMallHadapsar,Hindi,18:30,Executive,300₹,42,2
Maharashtra,Pune,InoxBundGarden,Hindi,18:30,DressCircle,300₹,167,26
Maharashtra,Pune,InoxBundGarden,Hindi,18:30,Galleria,300₹,60,0
Maharashtra,Pune,InoxDorabjeesRoyaleHeritageMall,Hindi,18:30,RoyaleRecliners,500₹,17,0
Maharashtra,Pune,InoxDorabjeesRoyaleHeritageMall,Hindi,18:30,Club,300₹,164,0
Maharashtra,Pune,InoxDorabjeesRoyaleHeritageMall,Hindi,18:30,Executive,300₹,39,0
Maharashtra,Pune,InoxDorabjeesRoyaleHeritageMall,Hindi,18:30,Royale,300₹,42,8
Maharashtra,Pune,InoxElproCitySquarePune,Hindi,18:30,RoyaleRecliners,550₹,31,19
Maharashtra,Pune,InoxElproCitySquarePune,Hindi,18:30,Club,350₹,108,0
Maharashtra,Pune,InoxElproCitySquarePune,Hindi,18:30,Executive,350₹,36,0
Maharashtra,Pune,InoxElproCitySquarePune,Hindi,18:30,Royale,350₹,98,57
Maharashtra,Thane,InoxKorumMallThaneW,Hindi,18:30,Royal,550₹,24,16
Maharashtra,Thane,InoxKorumMallThaneW,Hindi,18:30,Club,350₹,150,24
Maharashtra,Thane,InoxKorumMallThaneW,Hindi,18:30,Executive,350₹,75,0
Maharashtra,Nashik,InoxOldVijayMamtaNasik,Hindi,18:30,Executive,250₹,46,0
Maharashtra,Nashik,InoxOldVijayMamtaNasik,Hindi,18:30,Platinum,250₹,88,17
Maharashtra,Nashik,InoxOldVijayMamtaNasik,Hindi,18:30,Silver,250₹,189,57
Jharkhand,Dhanbad,InoxOzoneGalleriaMallDhanbad,Hindi,18:30,Executive,300₹,143,38
