State,City,Name,Language,Time,Type,Price,Capacity,Booked
Karnataka,Shivamogga,HpcChitramandirBalarajUrsRoad,Kannada,11:00,Balcony,150₹,150,64
Karnataka,Shivamogga,HpcChitramandirBalarajUrsRoad,Kannada,11:00,First,100₹,460,132
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,12:20,Recliner,320₹,13,10
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,12:20,Prime,200₹,37,20
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,12:20,Classic,180₹,85,36
Karnataka,Bangalore,PrasannaDigital4KCinemaMagadiRoad,Kannada,13:30,Gold,110₹,355,248
Karnataka,Bangalore,PrasannaDigital4KCinemaMagadiRoad,Kannada,13:30,Silver,100₹,748,670
Karnataka,Shivamogga,HpcChitramandirBalarajUrsRoad,Kannada,14:15,Balcony,150₹,150,64
Karnataka,Shivamogga,HpcChitramandirBalarajUrsRoad,Kannada,14:15,First,100₹,460,132
Karnataka,Bangalore,PrasannaDigital4KCinemaMagadiRoad,Kannada,16:15,Gold,110₹,355,248
Karnataka,Bangalore,PrasannaDigital4KCinemaMagadiRoad,Kannada,16:15,Silver,100₹,748,670
Karnataka,Shivamogga,HpcChitramandirBalarajUrsRoad,Kannada,18:00,Balcony,150₹,150,64
Karnataka,Shivamogga,HpcChitramandirBalarajUrsRoad,Kannada,18:00,First,100₹,460,132
Karnataka,Bangalore,InoxMantriSquareMalleshwaram,Kannada,18:15,Insignia,650₹,48,4
Karnataka,Bangalore,CinepolisEtaNammaMall,Kannada,18:35,Normal,200₹,30,0
Karnataka,Bangalore,CinepolisEtaNammaMall,Kannada,18:35,Premium,200₹,29,23
Karnataka,Bangalore,CinepolisEtaNammaMall,Kannada,18:35,Executive,200₹,82,18
Karnataka,Bangalore,PrasannaDigital4KCinemaMagadiRoad,Kannada,19:15,Gold,110₹,355,249
Karnataka,Bangalore,PrasannaDigital4KCinemaMagadiRoad,Kannada,19:15,Silver,100₹,748,670
Karnataka,Mysore,InoxMallOfMysoreMgRoad,Kannada,19:15,Club,160₹,223,18
Karnataka,Shivamogga,HpcChitramandirBalarajUrsRoad,Kannada,21:00,Balcony,150₹,150,64
Karnataka,Shivamogga,HpcChitramandirBalarajUrsRoad,Kannada,21:00,First,100₹,460,132
Karnataka,Bangalore,CinepolisSjrSpectrum,Kannada,21:30,Vip,400₹,12,4
Karnataka,Bangalore,CinepolisSjrSpectrum,Kannada,21:30,Normal,200₹,30,0
Karnataka,Bangalore,CinepolisSjrSpectrum,Kannada,21:30,Premium,200₹,44,29
Karnataka,Bangalore,CinepolisSjrSpectrum,Kannada,21:30,Executive,200₹,63,0
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,21:50,Recliner,470₹,17,3
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,21:50,Prime,260₹,80,13
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,21:50,Classic,240₹,128,9
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,22:00,Recliner,370₹,14,10
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,22:00,Prime,230₹,40,10
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,22:00,Classic,210₹,105,4
