State,City,Name,Language,Time,Type,Price,Capacity,Booked
Punjab,Moga,NeelamNovaCinemazMoga,Punjabi,09:20,Gold,160₹,122,0
Haryana,Kurukshetra,CarnivalKessalMallSector17,Punjabi,10:00,Platinum,180₹,91,18
Haryana,Kurukshetra,CarnivalKessalMallSector17,Punjabi,10:00,Gold,130₹,39,0
Haryana,Kurukshetra,CarnivalKessalMallSector17,Punjabi,10:00,Silver,100₹,32,0
Punjab,TalwandiBhai,FunCineplexTalwandiBhai,Punjabi,10:10,Royal,90₹,91,78
Punjab,Zirakpur,CarnivalParasMallKalkaRoad,Punjabi,10:45,SilverOffline,100₹,36,0
Punjab,Zirakpur,CarnivalParasMallKalkaRoad,Punjabi,10:45,GoldOffline,100₹,153,0
Punjab,Zirakpur,CarnivalParasMallKalkaRoad,Punjabi,10:45,PremierOffline,100₹,36,0
Punjab,TalwandiBhai,FunCineplexTalwandiBhai,Punjabi,12:45,Royal,130₹,91,78
Haryana,Hisar,MirajCinemasHisar,Punjabi,12:50,Executive,170₹,82,8
Haryana,Sonipat,MirajCinemaSonipat,Punjabi,13:20,Prime,150₹,20,0
Haryana,Sonipat,MirajCinemaSonipat,Punjabi,13:20,Executive,130₹,235,0
Punjab,Zirakpur,CarnivalParasMallKalkaRoad,Punjabi,14:00,SilverOffline,100₹,36,3
Punjab,Zirakpur,CarnivalParasMallKalkaRoad,Punjabi,14:00,GoldOffline,100₹,153,0
Punjab,Zirakpur,CarnivalParasMallKalkaRoad,Punjabi,14:00,PremierOffline,100₹,36,0
Punjab,Hoshiarpur,MirajCinemasJsEminentMallHoshiarpur,Punjabi,14:55,Executive,130₹,101,0
Punjab,Hoshiarpur,MirajCinemasJsEminentMallHoshiarpur,Punjabi,14:55,Special,100₹,34,0
Haryana,Kurukshetra,CarnivalKessalMallSector17,Punjabi,15:45,Platinum,180₹,91,18
Haryana,Kurukshetra,CarnivalKessalMallSector17,Punjabi,15:45,Gold,130₹,39,0
Haryana,Kurukshetra,CarnivalKessalMallSector17,Punjabi,15:45,Silver,100₹,32,0
Punjab,Zirakpur,CarnivalParasMallKalkaRoad,Punjabi,17:15,SilverOffline,100₹,36,0
Punjab,Zirakpur,CarnivalParasMallKalkaRoad,Punjabi,17:15,GoldOffline,100₹,153,9
Punjab,Zirakpur,CarnivalParasMallKalkaRoad,Punjabi,17:15,PremierOffline,100₹,36,0
Haryana,Kurukshetra,CarnivalKessalMallSector17,Punjabi,17:55,Platinum,180₹,91,19
Haryana,Kurukshetra,CarnivalKessalMallSector17,Punjabi,17:55,Gold,130₹,39,0
Haryana,Kurukshetra,CarnivalKessalMallSector17,Punjabi,17:55,Silver,100₹,32,0
Punjab,TalwandiBhai,FunCineplexTalwandiBhai,Punjabi,18:00,Royal,130₹,91,78
Punjab,Zirakpur,CarnivalParasMallKalkaRoad,Punjabi,20:00,SilverOffline,100₹,36,0
Punjab,Zirakpur,CarnivalParasMallKalkaRoad,Punjabi,20:00,GoldOffline,100₹,153,0
Punjab,Zirakpur,CarnivalParasMallKalkaRoad,Punjabi,20:00,PremierOffline,100₹,36,0
Punjab,TalwandiBhai,FunCineplexTalwandiBhai,Punjabi,20:30,Royal,130₹,91,78
Haryana,Kurukshetra,CarnivalKessalMallSector17,Punjabi,20:40,Platinum,180₹,98,18
Haryana,Kurukshetra,CarnivalKessalMallSector17,Punjabi,20:40,Gold,130₹,39,0
Haryana,Kurukshetra,CarnivalKessalMallSector17,Punjabi,20:40,Silver,100₹,32,0
Punjab,Bathinda,FunPlazaKotkapura,Punjabi,21:00,Royal,170₹,94,83
