State,City,Name,Language,Time,Type,Price,Capacity,Booked
UttarPradesh,Noida,PvrLogixCityCentreNoida,Punjabi,11:30,Classic,99₹,94,3
Punjab,Amritsar,InoxTriliumMallCircularRoad,Punjabi,12:20,Normal,150₹,163,0
Delhi,DelhiNcr,PvrPacificSubhashNagar,Punjabi,12:35,Recliner,349₹,20,0
Delhi,DelhiNcr,PvrPacificSubhashNagar,Punjabi,12:35,Prime,199₹,111,2
Delhi,DelhiNcr,PvrPacificSubhashNagar,Punjabi,12:35,PrimePlus,199₹,42,3
Delhi,DelhiNcr,PvrPacificSubhashNagar,Punjabi,12:35,Classic,149₹,36,0
Punjab,Amritsar,PvrSctAmritsar,Punjabi,15:40,Recliner,149₹,12,0
Punjab,Amritsar,PvrSctAmritsar,Punjabi,15:40,Classic,99₹,105,0
Punjab,Amritsar,PvrSctAmritsar,Punjabi,15:40,Prime,99₹,45,2
Punjab,Ludhiana,PvrPavilionMallLudhiana,Punjabi,15:50,Classic,99₹,64,17
Punjab,Ludhiana,PvrSilverArcMallGurdevNagar,Punjabi,17:35,Prime,99₹,15,3
Punjab,Ludhiana,PvrSilverArcMallGurdevNagar,Punjabi,17:35,Classic,99₹,106,0
Delhi,DelhiNcr,PvrPacificSubhashNagar,Punjabi,19:55,Prime,199₹,68,0
Delhi,DelhiNcr,PvrPacificSubhashNagar,Punjabi,19:55,Classic,149₹,52,0
Punjab,Amritsar,PvrSctAmritsar,Punjabi,21:00,Recliner,149₹,12,0
Punjab,Amritsar,PvrSctAmritsar,Punjabi,21:00,Classic,99₹,105,0
Punjab,Amritsar,PvrSctAmritsar,Punjabi,21:00,Prime,99₹,45,3
Chandigarh,Chandigarh,PvrElanteMallChandigarh,Punjabi,21:35,Recliner,550₹,26,0
Chandigarh,Chandigarh,PvrElanteMallChandigarh,Punjabi,21:35,Classic,180₹,140,0
Punjab,Ludhiana,PvrSilverArcMallGurdevNagar,Punjabi,22:30,Prime,99₹,15,10
Punjab,Ludhiana,PvrSilverArcMallGurdevNagar,Punjabi,22:30,Classic,99₹,106,0
