State,City,Name,Language,Time,Type,Price,Capacity,Booked
TamilNadu,Karaikudi,NatarajaTheatre,Tamil,10:45,Balcony,130₹,72,16
TamilNadu,Karaikudi,NatarajaTheatre,Tamil,10:45,FirstClass,120₹,65,26
TamilNadu,Karaikudi,NatarajaTheatre,Tamil,10:45,SecondClass,120₹,242,110
TamilNadu,Jalakandapuram,SreeAbiramiTheatreJalakandapuram,Tamil,10:45,Balcony,80₹,40,0
TamilNadu,Gobichettipalayam,ZeonCinemasGobichettipalayam,Tamil,10:45,Platinum,150₹,12,0
TamilNadu,Gobichettipalayam,ZeonCinemasGobichettipalayam,Tamil,10:45,Gold,110₹,106,0
TamilNadu,Gobichettipalayam,ZeonCinemasGobichettipalayam,Tamil,10:45,Silver,80₹,14,1
Karnataka,Doddaballapur,PvrGrandGaladaPallavaram,Tamil,13:00,Prime,165₹,118,0
Karnataka,Doddaballapur,PvrGrandGaladaPallavaram,Tamil,13:00,Classic,60₹,28,28
Karnataka,Doddaballapur,PvrAmpaSkywalkMallAminjikarai,Tamil,13:15,Prime,179₹,159,0
Karnataka,Doddaballapur,PvrAmpaSkywalkMallAminjikarai,Tamil,13:15,Classic,60₹,32,32
Karnataka,Doddaballapur,PvrHeritageRslEcrChennai,Tamil,13:50,Prime,165₹,99,14
Karnataka,Doddaballapur,PvrHeritageRslEcrChennai,Tamil,13:50,Classic,60₹,11,11
TamilNadu,Karaikudi,NatarajaTheatre,Tamil,14:15,Balcony,130₹,72,16
TamilNadu,Karaikudi,NatarajaTheatre,Tamil,14:15,FirstClass,120₹,65,26
TamilNadu,Karaikudi,NatarajaTheatre,Tamil,14:15,SecondClass,120₹,242,110
TamilNadu,Jalakandapuram,SreeAbiramiTheatreJalakandapuram,Tamil,14:30,Balcony,80₹,40,0
Karnataka,Doddaballapur,PvrGrandMallVelachery,Tamil,14:45,Prime,165₹,167,2
Karnataka,Doddaballapur,PvrGrandMallVelachery,Tamil,14:45,Classic,60₹,40,40
Karnataka,Doddaballapur,AlbertComplex,Tamil,15:00,FirstClass,99₹,158,46
Karnataka,Doddaballapur,AlbertComplex,Tamil,15:00,SecondClass,79₹,84,6
Karnataka,Doddaballapur,AlbertComplex,Tamil,15:00,ThirdClass,50₹,28,0
TamilNadu,Karaikudi,NatarajaTheatre,Tamil,18:15,Balcony,130₹,72,16
TamilNadu,Karaikudi,NatarajaTheatre,Tamil,18:15,FirstClass,120₹,65,26
TamilNadu,Karaikudi,NatarajaTheatre,Tamil,18:15,SecondClass,120₹,242,110
TamilNadu,Thiruvannamalai,SriBalasubramaniarCinemasAC4KDolbyAtmos,Tamil,18:15,Balcony,109₹,115,0
TamilNadu,Jalakandapuram,SreeAbiramiTheatreJalakandapuram,Tamil,18:30,Balcony,80₹,40,0
Karnataka,Doddaballapur,UdhayamComplex,Tamil,18:45,FirstClass,112₹,70,0
Karnataka,Doddaballapur,UdhayamComplex,Tamil,18:45,SecondClass,105₹,394,0
Karnataka,Doddaballapur,UdhayamComplex,Tamil,18:45,ThirdClass,50₹,51,0
Karnataka,Doddaballapur,PvrHeritageRslEcrChennai,Tamil,19:20,Prime,179₹,99,13
Karnataka,Doddaballapur,PvrHeritageRslEcrChennai,Tamil,19:20,Classic,60₹,11,11
TamilNadu,Thiruvannamalai,SriBalasubramaniarCinemasAC4KDolbyAtmos,Tamil,21:45,Balcony,109₹,115,0
TamilNadu,Jalakandapuram,SreeAbiramiTheatreJalakandapuram,Tamil,22:00,Balcony,80₹,40,0
TamilNadu,PunjaiPuliampatti,SriDeviCinemasPunjaiPuliampatti,Tamil,22:00,FirstClass,100₹,156,9
TamilNadu,PunjaiPuliampatti,SriDeviCinemasPunjaiPuliampatti,Tamil,22:00,SecondClass,100₹,15,0
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,22:10,Club,152₹,142,0
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,22:10,Executive,60₹,19,0
Karnataka,Doddaballapur,UdhayamComplex,Tamil,22:15,FirstClass,112₹,70,0
Karnataka,Doddaballapur,UdhayamComplex,Tamil,22:15,SecondClass,105₹,394,0
Karnataka,Doddaballapur,UdhayamComplex,Tamil,22:15,ThirdClass,50₹,51,0
TamilNadu,Karaikudi,NatarajaTheatre,Tamil,22:15,Balcony,130₹,72,16
TamilNadu,Karaikudi,NatarajaTheatre,Tamil,22:15,FirstClass,120₹,65,26
TamilNadu,Karaikudi,NatarajaTheatre,Tamil,22:15,SecondClass,120₹,242,110
Karnataka,Doddaballapur,Devicineplex,Tamil,22:30,Quartz,152₹,242,0
Karnataka,Doddaballapur,Devicineplex,Tamil,22:30,Zircon,60₹,27,27
