State,City,Name,Language,Time,Type,Price,Capacity,Booked
Maharashtra,Sangli,AurumMultiplexSangli,Marathi,13:00,Gl,150₹,108,0
Maharashtra,Sangli,AurumMultiplexSangli,Marathi,13:00,Sl,120₹,24,0
Maharashtra,Latur,PvrLatur,Marathi,13:20,ClassicPlus,110₹,219,0
Maharashtra,Latur,PvrLatur,Marathi,13:20,Classic,110₹,44,0
Maharashtra,Latur,PvrLatur,Marathi,13:20,Prime,110₹,98,0
Maharashtra,Nanded,PvrTreasureBazaarMallNanded,Marathi,14:25,PrimePlus,160₹,63,23
Maharashtra,Nanded,PvrTreasureBazaarMallNanded,Marathi,14:25,Prime,140₹,100,16
Maharashtra,Nanded,PvrTreasureBazaarMallNanded,Marathi,14:25,Classic,120₹,70,0
Maharashtra,Nashik,CinemaxCityCenterNasik,Marathi,14:30,Recliner,260₹,33,19
Maharashtra,Nashik,CinemaxCityCenterNasik,Marathi,14:30,Prime,110₹,135,22
Maharashtra,Nashik,CinemaxCityCenterNasik,Marathi,14:30,Classic,100₹,34,0
Maharashtra,Aurangabad,InoxTapadiaMallTownCenter,Marathi,14:30,Royal,220₹,18,0
Maharashtra,Aurangabad,InoxTapadiaMallTownCenter,Marathi,14:30,Premiere,130₹,41,0
Maharashtra,Aurangabad,InoxTapadiaMallTownCenter,Marathi,14:30,Silver,130₹,262,0
Maharashtra,Pune,InoxElproCitySquarePune,Marathi,16:30,RoyaleRecliners,320₹,16,0
Maharashtra,Pune,InoxElproCitySquarePune,Marathi,16:30,Royale,220₹,121,2
Maharashtra,Pune,InoxElproCitySquarePune,Marathi,16:30,Club,190₹,90,0
Maharashtra,Pune,InoxElproCitySquarePune,Marathi,16:30,Executive,170₹,30,0
Maharashtra,Nashik,InoxOldVijayMamtaNasik,Marathi,16:45,Royal,140₹,18,0
Maharashtra,Nashik,InoxOldVijayMamtaNasik,Marathi,16:45,Platinum,112₹,127,0
Maharashtra,Nashik,InoxOldVijayMamtaNasik,Marathi,16:45,Silver,112₹,185,0
Maharashtra,Nashik,InoxOldVijayMamtaNasik,Marathi,16:45,Executive,90₹,57,0
Maharashtra,Kolhapur,InoxRelianceMegaMallLaxmipuri,Marathi,16:45,Club,190₹,98,0
Maharashtra,Kolhapur,InoxRelianceMegaMallLaxmipuri,Marathi,16:45,Executive,190₹,24,0
Maharashtra,Kolhapur,InoxRelianceMegaMallLaxmipuri,Marathi,16:45,Royale,190₹,37,0
Maharashtra,Mumbai,MovietimeHubMallGoregaonE,Marathi,16:45,Mhraja,150₹,44,8
Maharashtra,Mumbai,MovietimeChembur,Marathi,17:00,Silver,150₹,84,9
Maharashtra,Pune,PvrMarketCityVimanNagar,Marathi,17:30,Recliner,360₹,16,0
Maharashtra,Pune,PvrMarketCityVimanNagar,Marathi,17:30,PrimePlus,300₹,28,8
Maharashtra,Pune,PvrMarketCityVimanNagar,Marathi,17:30,Classic,240₹,79,0
Maharashtra,Pune,PvrMarketCityVimanNagar,Marathi,17:30,Prime,240₹,193,25
Maharashtra,Mumbai,PvrOrionPanvel,Marathi,17:30,PrimePlus,230₹,32,0
Maharashtra,Mumbai,PvrOrionPanvel,Marathi,17:30,Prime,190₹,125,18
Maharashtra,Mumbai,PvrOrionPanvel,Marathi,17:30,Classic,180₹,26,0
Maharashtra,Mumbai,PvrXperiaPalavaDombivaliE,Marathi,17:30,Recliner,320₹,12,0
Maharashtra,Mumbai,PvrXperiaPalavaDombivaliE,Marathi,17:30,Prime,210₹,184,0
Maharashtra,Mumbai,PvrXperiaPalavaDombivaliE,Marathi,17:30,Classic,190₹,36,0
Maharashtra,Pune,CarnivalPremierPlazaChinchwad,Marathi,17:40,PlatinumOffline,190₹,36,0
Maharashtra,Pune,CarnivalPremierPlazaChinchwad,Marathi,17:40,GoldOffline,170₹,18,0
Maharashtra,Pune,CarnivalPremierPlazaChinchwad,Marathi,17:40,SilverOffline,150₹,9,1
Maharashtra,Thane,InoxKorumMallThaneW,Marathi,17:45,Royal,330₹,18,0
Maharashtra,Thane,InoxKorumMallThaneW,Marathi,17:45,Club,230₹,119,0
Maharashtra,Thane,InoxKorumMallThaneW,Marathi,17:45,Executive,200₹,51,0
Maharashtra,Mumbai,MaxusCinemasBorivaliW,Marathi,18:00,Couple,249₹,100,0
Maharashtra,Mumbai,MaxusCinemasBorivaliW,Marathi,18:00,Recliner,249₹,100,0
