State,City,Name,Language,Time,Type,Price,Capacity,Booked
Telangana,Hyderabad,PlatinumCinemasGachibowli,Telugu,08:45,PlatinumPremiumRecliner,350₹,18,17
Telangana,Hyderabad,PlatinumCinemasGachibowli,Telugu,08:45,PlatinumRecliners,350₹,16,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,Telugu,09:00,Vip,350₹,14,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,Telugu,09:00,Premium,220₹,80,20
Maharashtra,Mumbai,CinepolisSeawoodsLT,Telugu,09:00,Executive,200₹,94,9
Telangana,Hyderabad,PvrKukatpallyHyderabad,Telugu,09:50,Recliner,300₹,12,12
Telangana,Hyderabad,PvrKukatpallyHyderabad,Telugu,09:50,Classic,200₹,232,139
Telangana,Hyderabad,CinepolisDslVirtueMall,Telugu,10:00,Vip,300₹,8,8
Telangana,Hyderabad,CinepolisDslVirtueMall,Telugu,10:00,Normal,200₹,23,0
Telangana,Hyderabad,CinepolisDslVirtueMall,Telugu,10:00,Executive,200₹,128,34
Telangana,Hyderabad,CinepolisMantraMall,Telugu,10:00,Vip,300₹,10,8
Telangana,Hyderabad,CinepolisMantraMall,Telugu,10:00,Normal,200₹,141,5
AndhraPradesh,Visakhapatnam,InoxCmrCentralMaddilapalem,Telugu,10:00,Executive,177₹,151,40
Telangana,Hyderabad,PvrIrrumManzilKhairatabad,Telugu,10:05,Recliner,300₹,8,0
Telangana,Hyderabad,PvrIrrumManzilKhairatabad,Telugu,10:05,Classic,200₹,142,20
Telangana,Hyderabad,PvrInorbitCyberabad,Telugu,10:05,Classic,200₹,147,82
Telangana,Hyderabad,PvrMusarambaghNewMalakpet,Telugu,10:05,Classic,200₹,117,53
AndhraPradesh,Vijayawada,CinepolisPvpSquare,Telugu,10:10,Normal,177₹,203,29
AndhraPradesh,Kakinada,InoxSrmtMallRamanayyapeta,Telugu,10:10,Executive,112₹,131,125
Telangana,Hyderabad,PvrNextGalleriaMallPanjagutta,Telugu,10:10,Classic,200₹,145,36
AndhraPradesh,Vijayawada,CinepolisPvpSquare,Telugu,10:10,Normal,177₹,203,101
Telangana,Hyderabad,PvrNextGalleriaMallPanjagutta,Telugu,10:10,Classic,200₹,145,38
Telangana,Hyderabad,PvrNextGalleriaMallPanjagutta,Telugu,10:10,Classic,200₹,145,64
AndhraPradesh,Guntur,JleCinemasGuntur,Telugu,10:15,Elite,295₹,17,0
AndhraPradesh,Guntur,JleCinemasGuntur,Telugu,10:15,Gold,177₹,123,7
Telangana,Hyderabad,InoxGsmMallHyderabad,Telugu,10:25,Royal,300₹,8,8
Telangana,Hyderabad,InoxGsmMallHyderabad,Telugu,10:25,Executive,200₹,171,127
Telangana,Hyderabad,PvrRkCineplexHyderabad,Telugu,10:25,Recliner,300₹,22,22
Telangana,Hyderabad,PvrRkCineplexHyderabad,Telugu,10:25,Classic,200₹,228,25
