State,City,Name,Language,Time,Type,Price,Capacity,Booked
WestBengal,CoochBehar,NewCinemaCoochBehar,Bengali,10:15,Balcony,80₹,101,59
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,13:45,Recliner,460₹,12,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,13:45,Prime,280₹,11,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,13:45,Classic,230₹,189,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,13:45,Recliner,420₹,12,2
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,13:45,Prime,250₹,11,4
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,13:45,Classic,200₹,189,4
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,14:05,Royal,400₹,20,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,14:05,Silver,220₹,198,5
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,14:05,Premier,200₹,55,2
WestBengal,Kolkata,CinepolisLakeMall,Bengali,15:20,Premium,260₹,21,0
WestBengal,Kolkata,CinepolisLakeMall,Bengali,15:20,Executive,240₹,51,0
WestBengal,Kolkata,CinepolisLakeMall,Bengali,15:20,Normal,220₹,21,0
WestBengal,Kolkata,PvrAvaniRiverSideMall,Bengali,15:30,Prime,290₹,11,4
WestBengal,Kolkata,PvrAvaniRiverSideMall,Bengali,15:30,Classic,240₹,200,26
WestBengal,Kolkata,CinepolisLakeMall,Bengali,15:45,Premium,260₹,22,7
WestBengal,Kolkata,CinepolisLakeMall,Bengali,15:45,Executive,240₹,55,12
WestBengal,Kolkata,CinepolisLakeMall,Bengali,15:45,Normal,220₹,22,0
WestBengal,Kolkata,InoxSouthCityMall,Bengali,16:00,Silver,250₹,156,13
WestBengal,Kolkata,InoxSouthCityMall,Bengali,16:00,Premier,230₹,34,0
WestBengal,Malda,RupkothaCinemaHallMalda,Bengali,16:30,SpecialAc,150₹,82,35
WestBengal,Malda,RupkothaCinemaHallMalda,Bengali,16:30,DressCircle,80₹,99,59
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Bengali,16:30,Recliner,570₹,8,0
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Bengali,16:30,Prime,290₹,94,0
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Bengali,16:30,Classic,250₹,48,0
WestBengal,Howrah,InoxForumRangoliMallBelur,Bengali,16:30,Club,230₹,159,23
WestBengal,Howrah,InoxForumRangoliMallBelur,Bengali,16:30,Executive,210₹,69,0
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Bengali,16:30,Recliner,470₹,8,3
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Bengali,16:30,Prime,230₹,94,9
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Bengali,16:30,Classic,200₹,48,0
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,16:50,Royale,240₹,31,11
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,16:50,DressCircle,230₹,158,53
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,16:50,Galleria,210₹,36,0
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,17:00,Royale,400₹,9,2
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,17:00,Club,220₹,232,62
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,17:00,Executive,200₹,51,20
WestBengal,Kolkata,InoxQuestMallBallygunge,Bengali,17:00,RoyalRecliner,450₹,10,0
WestBengal,Kolkata,InoxQuestMallBallygunge,Bengali,17:00,Club,250₹,162,4
WestBengal,Kolkata,InoxQuestMallBallygunge,Bengali,17:00,Royal,250₹,48,6
WestBengal,Kolkata,InoxQuestMallBallygunge,Bengali,17:00,Executive,230₹,30,0
WestBengal,Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,17:15,Royal,170₹,40,6
WestBengal,Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,17:15,Club,150₹,72,7
WestBengal,Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,17:15,Executive,140₹,36,0
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,18:10,Premium,260₹,20,14
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,18:10,Executive,240₹,64,23
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,18:10,Normal,220₹,22,0
WestBengal,Kolkata,AjantaCinema,Bengali,18:45,Balcony,150₹,106,89
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,18:45,Royal,200₹,63,6
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,18:45,Club,180₹,92,6
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,18:45,Executive,160₹,32,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,18:50,Royal,400₹,18,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,18:50,Silver,220₹,147,13
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,18:50,Premier,200₹,29,0
WestBengal,Kolkata,InoxSouthCityMall,Bengali,19:15,Silver,250₹,156,31
WestBengal,Kolkata,InoxSouthCityMall,Bengali,19:15,Premier,230₹,34,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,19:30,Recliner,430₹,14,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,19:30,Prime,260₹,12,3
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,19:30,Classic,220₹,154,16
