State,City,Name,Language,Time,Type,Price,Capacity,Booked
UttarPradesh,Noida,PvrLogixCityCentre4DxNoida,English,09:20,Classic,330₹,80,5
Maharashtra,Pune,CinepolisSeasonsMall,English,09:20,Normal,200₹,80,3
Karnataka,Bangalore,CinepolisForumShantiniketan,English,10:00,Vip,400₹,9,0
Karnataka,Bangalore,CinepolisForumShantiniketan,English,10:00,Premium,200₹,30,0
Karnataka,Bangalore,CinepolisForumShantiniketan,English,10:00,Executive,180₹,59,0
Karnataka,Bangalore,CinepolisForumShantiniketan,English,10:00,Normal,160₹,26,0
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,English,10:00,Premium,170₹,29,0
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,English,10:00,Executive,150₹,69,0
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,English,10:00,Normal,130₹,26,0
Karnataka,Bangalore,PvrMsrElementsMallTanisandhraMainRoad,English,10:00,Recliner,220₹,15,0
Karnataka,Bangalore,PvrMsrElementsMallTanisandhraMainRoad,English,10:00,Prime,150₹,21,0
Karnataka,Bangalore,PvrMsrElementsMallTanisandhraMainRoad,English,10:00,Classic,112₹,146,2
Karnataka,Bangalore,PvrVegaBannerghattaRoad,English,10:00,Recliner,220₹,9,2
Karnataka,Bangalore,PvrVegaBannerghattaRoad,English,10:00,Classic,112₹,73,9
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,English,10:00,Recliner,190₹,34,2
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,English,10:00,Prime,110₹,156,19
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,English,10:00,Classic,100₹,47,0
Gujarat,Ahmedabad,TimeCinemaAhmedabadCgSquareMall,English,10:00,Sofa220,220₹,84,0
Chhattisgarh,Raipur,PvrMagnetoTheMallRaipur,Hindi,10:05,Recliner,290₹,17,0
Chhattisgarh,Raipur,PvrMagnetoTheMallRaipur,Hindi,10:05,Prime,112₹,258,25
Chhattisgarh,Raipur,PvrMagnetoTheMallRaipur,Hindi,10:05,Classic,100₹,34,0
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,English,10:10,Recliner,220₹,7,6
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,English,10:10,Classic,112₹,72,3
Odisha,Bhubaneswar,CinepolisEsplanade,English,10:15,Vip,400₹,11,0
Odisha,Bhubaneswar,CinepolisEsplanade,English,10:15,Premium,150₹,45,4
Odisha,Bhubaneswar,CinepolisEsplanade,English,10:15,Executive,140₹,51,0
Odisha,Bhubaneswar,CinepolisEsplanade,English,10:15,Normal,130₹,24,0
Odisha,Bhubaneswar,CinepolisEsplanade,English,10:15,Vip,400₹,11,0
Odisha,Bhubaneswar,CinepolisEsplanade,English,10:15,Premium,150₹,45,7
Odisha,Bhubaneswar,CinepolisEsplanade,English,10:15,Executive,140₹,51,0
Odisha,Bhubaneswar,CinepolisEsplanade,English,10:15,Normal,130₹,24,0
Maharashtra,Nagpur,PvrEmpressCityMallNagpur,Hindi,10:45,Prime,100₹,166,19
Maharashtra,Nagpur,PvrEmpressCityMallNagpur,Hindi,10:45,Classic,70₹,56,3
Maharashtra,Pune,CinepolisVipSeasonsMall,English,11:00,Vip,300₹,74,10
Gujarat,Vadodara,CinepolisInorbitMall,English,11:00,Normal,140₹,24,0
Gujarat,Vadodara,CinepolisInorbitMall,English,11:00,Premium,140₹,29,0
Gujarat,Vadodara,CinepolisInorbitMall,English,11:00,Executive,140₹,81,0
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,English,11:00,PremiumOffline,250₹,50,10
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,English,11:00,ExecutiveOffline,160₹,102,0
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,English,11:00,NormalOffline,100₹,17,0
Maharashtra,Mumbai,PvrDynamicJuhu,English,11:10,Prime,160₹,72,14
Maharashtra,Mumbai,PvrDynamicJuhu,English,11:10,Classic,140₹,40,0
Telangana,Hyderabad,Pvr4DxKukatpallyHyderabad,English,11:30,4DxClassic,350₹,108,37
Gujarat,Surat,PvrRahulRaj4DxDumasRoad,English,11:55,4DxClassic,210₹,24,0
Gujarat,Surat,PvrRahulRaj4DxDumasRoad,English,11:55,4DxPrime,210₹,60,8
TamilNadu,Vellichanthai,CinepolisBsrMall,English,12:00,Executive,168₹,118,1
TamilNadu,Vellichanthai,CinepolisBsrMall,English,12:00,Normal,66₹,16,0
Maharashtra,Mumbai,MetroInoxCinemaMGRoad,English,12:05,Insignia,420₹,42,0
Maharashtra,Mumbai,InoxAtriaMallWorli,English,12:20,Insignia,470₹,27,6
Delhi,DelhiNcr,PvrDirectorsCutAmbienceVasantKunj,English,12:20,Platinum,500₹,19,2
Delhi,DelhiNcr,PvrDirectorsCutAmbienceVasantKunj,English,12:20,PlatinumSuperior,500₹,6,2
Maharashtra,Mumbai,InoxRaghuleelaMallVashi,English,12:20,Gold,230₹,46,4
Maharashtra,Mumbai,InoxRCityGhatkoparW,English,12:20,Insignia,330₹,41,0
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,English,12:20,Insignia,330₹,41,0
Maharashtra,Pune,CinepolisWestendMall,English,12:35,Normal,220₹,21,0
Maharashtra,Pune,CinepolisWestendMall,English,12:35,Premium,220₹,35,2
Maharashtra,Pune,CinepolisWestendMall,English,12:35,Executive,220₹,62,0
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,English,12:40,Club,211₹,142,1
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,English,12:40,Executive,66₹,19,1
Kerala,Kochi,PvrOberonMallErnakulam,English,12:45,ClassicPlus,140₹,81,23
Kerala,Kochi,PvrOberonMallErnakulam,English,12:45,Classic,110₹,36,0
Delhi,DelhiNcr,PvrSelectCityWalkGoldSaket,English,13:00,DboxPlatinum,800₹,16,3
Delhi,DelhiNcr,PvrSelectCityWalkGoldSaket,English,13:00,Platinum,500₹,16,2
Karnataka,Bangalore,InoxGarudaMallMagrathRoad,English,13:15,RoyaleRecliners,250₹,12,4
Karnataka,Bangalore,InoxGarudaMallMagrathRoad,English,13:15,Club,160₹,73,0
Karnataka,Bangalore,InoxGarudaMallMagrathRoad,English,13:15,Executive,150₹,110,0
Gujarat,Surat,CinepolisImperialSquareMall,Hindi,13:15,Premium,150₹,33,0
Gujarat,Surat,CinepolisImperialSquareMall,Hindi,13:15,Normal,130₹,22,0
Gujarat,Surat,CinepolisImperialSquareMall,Hindi,13:15,Executive,130₹,79,0
TamilNadu,Vellichanthai,InoxTheMarinaMallOmr,English,13:20,Club,211₹,126,2
TamilNadu,Vellichanthai,InoxTheMarinaMallOmr,English,13:20,Executive,66₹,16,10
Karnataka,Bangalore,CinepolisForumShantiniketan,English,14:00,Normal,250₹,80,3
Gujarat,Ahmedabad,TimeCinemaAhmedabadCgSquareMall,English,14:15,Standard160,160₹,108,8
Maharashtra,Mumbai,PvrMarketCity4DxKurlaW,English,14:40,4DxPrime,350₹,84,23
Maharashtra,Mumbai,PvrMarketCity4DxKurlaW,English,14:40,4DxClassic,300₹,60,0
Rajasthan,Jaipur,InoxGtCentralMallMalviyaNagar,English,14:45,Royale,310₹,42,3
Rajasthan,Jaipur,InoxGtCentralMallMalviyaNagar,English,14:45,Executive,290₹,16,0
MadhyaPradesh,Indore,InoxC21MallSheetalNagar,EnglishMX4D,14:55,Cl,250₹,33,0
MadhyaPradesh,Indore,InoxC21MallSheetalNagar,EnglishMX4D,14:55,Ry,250₹,63,4
UttarPradesh,Noida,PvrLogixCityCentre4DxNoida,English,15:00,Classic,425₹,80,15
Gujarat,Ahmedabad,PvrAcropolisMall4DxThaltej,English,15:00,4DxClassic,199₹,36,0
Gujarat,Ahmedabad,PvrAcropolisMall4DxThaltej,English,15:00,4DxPrime,199₹,84,19
Goa,Goa,InoxOldGmcDbRoad,English,15:30,Royal,210₹,75,4
Goa,Goa,InoxOldGmcDbRoad,English,15:30,Club,190₹,90,1
Goa,Goa,InoxOldGmcDbRoad,English,15:30,Executive,170₹,36,0
Maharashtra,Mumbai,PvrCitiMallAndheriW,English,15:30,Recliner,249₹,24,5
Maharashtra,Mumbai,PvrCitiMallAndheriW,English,15:30,Classic,149₹,46,0
Maharashtra,Mumbai,PvrCitiMallAndheriW,English,15:30,Prime,149₹,146,14
Delhi,DelhiNcr,PvrPromenadeVasantKunj,English,15:40,Prime,199₹,21,7
Delhi,DelhiNcr,PvrPromenadeVasantKunj,English,15:40,Classic,149₹,84,3
UttarPradesh,Lucknow,CinepolisOneAwadhCenterMall,English,15:50,Vip,450₹,8,2
UttarPradesh,Lucknow,CinepolisOneAwadhCenterMall,English,15:50,Normal,150₹,25,0
UttarPradesh,Lucknow,CinepolisOneAwadhCenterMall,English,15:50,Premium,150₹,35,4
UttarPradesh,Lucknow,CinepolisOneAwadhCenterMall,English,15:50,Executive,150₹,68,0
Delhi,DelhiNcr,CinepolisDlfAvenue,English,15:55,Normal,175₹,96,18
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,English,16:00,Recliner,290₹,34,2
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,English,16:00,Prime,180₹,156,24
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,English,16:00,Classic,160₹,47,0
Delhi,DelhiNcr,CinepolisSmartBharatMall,English,16:00,Premium,200₹,30,4
Delhi,DelhiNcr,CinepolisSmartBharatMall,English,16:00,Classic,190₹,65,0
Karnataka,Bangalore,CinepolisEtaNammaMall,English,16:00,Normal,110₹,10,0
Karnataka,Bangalore,CinepolisEtaNammaMall,English,16:00,Premium,110₹,26,0
Karnataka,Bangalore,CinepolisEtaNammaMall,English,16:00,Executive,110₹,82,0
Karnataka,Bangalore,CinepolisEtaNammaMall,English,16:00,Normal,110₹,10,0
Karnataka,Bangalore,CinepolisEtaNammaMall,English,16:00,Premium,110₹,26,10
Karnataka,Bangalore,CinepolisEtaNammaMall,English,16:00,Executive,110₹,82,0
Uttarakhand,Dehradun,PvrPacificMallDehradun,English,16:05,Prime,230₹,72,0
Uttarakhand,Dehradun,PvrPacificMallDehradun,English,16:05,Classic,190₹,24,0
Maharashtra,Pune,InoxDorabjeesRoyaleHeritageMall,English,16:05,RoyaleRecliners,250₹,15,4
Maharashtra,Pune,InoxDorabjeesRoyaleHeritageMall,English,16:05,Club,140₹,35,0
Maharashtra,Pune,InoxDorabjeesRoyaleHeritageMall,English,16:05,Executive,140₹,26,0
Maharashtra,Pune,InoxDorabjeesRoyaleHeritageMall,English,16:05,Royale,140₹,19,1
Uttarakhand,Dehradun,PvrPacificMallDehradun,English,16:05,Prime,230₹,72,4
Uttarakhand,Dehradun,PvrPacificMallDehradun,English,16:05,Classic,190₹,24,0
MadhyaPradesh,Bhopal,CinepolisAashimaMall,English,16:10,Normal,130₹,30,0
MadhyaPradesh,Bhopal,CinepolisAashimaMall,English,16:10,Premium,130₹,73,3
MadhyaPradesh,Bhopal,CinepolisAashimaMall,English,16:10,Executive,130₹,102,0
Gujarat,Ahmedabad,TimeCinemaAhmedabadCgSquareMall,English,16:15,Standard160,160₹,84,0
Karnataka,Bangalore,PvrPhoenixMarketcityMall4DxWhitefield,English,16:15,Classic,280₹,88,11
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,English,16:20,Gold,300₹,12,0
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,English,16:20,Silver,190₹,140,17
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,English,16:20,ExecutiveOffline,160₹,80,0
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,English,16:20,NormalOffline,100₹,16,0
WestBengal,Kolkata,InoxQuestMallBallygunge,English,16:50,RoyalRecliner,390₹,8,2
WestBengal,Kolkata,InoxQuestMallBallygunge,English,16:50,Royal,230₹,28,6
WestBengal,Kolkata,InoxQuestMallBallygunge,English,16:50,Club,220₹,112,2
WestBengal,Kolkata,InoxQuestMallBallygunge,English,16:50,Executive,180₹,24,0
Telangana,Hyderabad,PvrNextGalleriaMallPanjagutta,English,17:10,Classic,200₹,152,20
Telangana,Hyderabad,PvrNextGalleriaMallPanjagutta,English,17:10,Classic,200₹,152,28
Delhi,DelhiNcr,PvrSelectCityWalkSaket,English,17:15,DboxRecliner,700₹,8,0
Delhi,DelhiNcr,PvrSelectCityWalkSaket,English,17:15,Prime,150₹,47,29
Delhi,DelhiNcr,PvrSelectCityWalkSaket,English,17:15,ClassicNormal,150₹,96,9
Maharashtra,Mumbai,CinepolisSeawoodsLT,English,17:20,Normal,400₹,84,16
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,English,17:25,Recliner,700₹,8,0
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,English,17:25,Prime,280₹,134,24
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,English,17:25,Classic,250₹,28,0
Karnataka,Bangalore,Pvr4DxOrionMallDrRajkumarRoad,English,18:25,Classic,330₹,88,14
Karnataka,Bangalore,PvrVega4DxBannerghattaRoad,English,18:25,Classic,330₹,100,13
Gujarat,Ahmedabad,TimeCinemaAhmedabadCgSquareMall,English,18:30,Infinity1000,"1,000₹",12,0
Delhi,DelhiNcr,PvrDirectorsCutAmbienceVasantKunj,English,18:40,Platinum,600₹,19,14
