State,City,Name,Language,Time,Type,Price,Capacity,Booked
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,10:00,Premium,200₹,42,4
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,10:00,Executive,190₹,134,3
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,10:00,Normal,180₹,34,1
WestBengal,Kolkata,CinepolisLakeMall,Bengali,10:00,Vip,380₹,10,2
WestBengal,Kolkata,CinepolisLakeMall,Bengali,10:00,Premium,220₹,19,3
WestBengal,Kolkata,CinepolisLakeMall,Bengali,10:00,Executive,200₹,163,2
WestBengal,Kolkata,CinepolisLakeMall,Bengali,10:00,Normal,180₹,40,0
WestBengal,Kolkata,InoxSouthCityMall,Bengali,11:00,Rr,330₹,16,3
WestBengal,Kolkata,InoxSouthCityMall,Bengali,11:00,Premier,200₹,32,0
WestBengal,Kolkata,InoxSouthCityMall,Bengali,11:00,Silver,200₹,151,18
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,11:20,Recliner,400₹,14,2
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,11:20,Prime,220₹,12,4
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,11:20,Classic,160₹,154,20
WestBengal,Siliguri,InoxVegaCircleMallSevokeRoad,Bengali,12:00,Royal,220₹,148,3
WestBengal,Siliguri,InoxVegaCircleMallSevokeRoad,Bengali,12:00,Club,200₹,68,0
WestBengal,Siliguri,InoxVegaCircleMallSevokeRoad,Bengali,12:00,Executive,180₹,34,0
WestBengal,Kolkata,ChhabigharCinemaBaithakkhana,Bengali,12:30,Balcony,100₹,144,80
WestBengal,Kolkata,ChhabigharCinemaBaithakkhana,Bengali,12:30,RearStall,80₹,502,148
WestBengal,Kolkata,CinepolisLakeMall,Bengali,12:45,Vip,380₹,10,4
WestBengal,Kolkata,CinepolisLakeMall,Bengali,12:45,Premium,220₹,19,9
WestBengal,Kolkata,CinepolisLakeMall,Bengali,12:45,Executive,200₹,163,28
WestBengal,Kolkata,CinepolisLakeMall,Bengali,12:45,Normal,180₹,40,0
WestBengal,Kolkata,CarnivalSaltLake,Bengali,12:50,Silver,110₹,166,13
WestBengal,Kolkata,CarnivalArtiSuncityMallBarasat,Bengali,12:50,Diamond,130₹,115,0
WestBengal,Kolkata,CarnivalArtiSuncityMallBarasat,Bengali,12:50,Silver,110₹,40,0
WestBengal,Kolkata,CarnivalArtiSuncityMallBarasat,Bengali,12:50,Gold,110₹,60,0
WestBengal,Kolkata,CarnivalArtiSuncityMallBarasat,Bengali,12:50,Diamond,130₹,115,8
WestBengal,Kolkata,CarnivalArtiSuncityMallBarasat,Bengali,12:50,Silver,110₹,40,0
WestBengal,Kolkata,CarnivalArtiSuncityMallBarasat,Bengali,12:50,Gold,110₹,60,3
WestBengal,Asansol,CarnivalSentrumMallAsansol,Bengali,13:05,Silver,150₹,150,0
WestBengal,Asansol,CarnivalSentrumMallAsansol,Bengali,13:05,Gold,150₹,43,3
WestBengal,Asansol,CarnivalSentrumMallAsansol,Bengali,13:05,Premium,150₹,63,0
WestBengal,Durgapur,CarnivalCityCenterDreamplexBuilding,Bengali,13:10,Executive,150₹,168,2
WestBengal,Durgapur,CarnivalCityCenterDreamplexBuilding,Bengali,13:10,Regular,130₹,65,0
WestBengal,Durgapur,CarnivalCityCenterDreamplexBuilding,Bengali,13:10,Economy,110₹,34,0
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,13:15,Club,220₹,229,16
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,13:15,Executive,200₹,42,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,13:15,Royal,400₹,18,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,13:15,Silver,220₹,147,4
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,13:15,Premier,200₹,29,2
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,13:15,Royal,200₹,63,0
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,13:15,Club,180₹,90,0
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,13:15,Executive,160₹,30,0
WestBengal,Kolkata,PvrAvaniRiverSideMall,Bengali,13:30,Prime,230₹,11,4
WestBengal,Kolkata,PvrAvaniRiverSideMall,Bengali,13:30,Classic,190₹,200,21
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Bengali,13:30,Recliner,450₹,8,0
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Bengali,13:30,Prime,210₹,94,0
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Bengali,13:30,Classic,180₹,48,0
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Bengali,13:30,Recliner,450₹,8,0
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Bengali,13:30,Prime,210₹,110,7
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Bengali,13:30,Classic,180₹,48,0
WestBengal,Kolkata,InoxSouthCityMall,Bengali,13:40,Rr,450₹,16,3
WestBengal,Kolkata,InoxSouthCityMall,Bengali,13:40,Silver,250₹,151,27
WestBengal,Kolkata,InoxSouthCityMall,Bengali,13:40,Premier,230₹,32,0
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,13:40,Royal,200₹,63,2
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,13:40,Club,180₹,90,24
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,13:40,Executive,160₹,30,2
WestBengal,Siliguri,InoxCityCentreMatigara,Bengali,13:50,Royale,320₹,10,2
WestBengal,Siliguri,InoxCityCentreMatigara,Bengali,13:50,Club,250₹,176,22
WestBengal,Siliguri,InoxCityCentreMatigara,Bengali,13:50,Executive,230₹,32,0
WestBengal,Kolkata,InoxSwabhumiMaulanaAzadSarani,Bengali,14:00,Royal,250₹,16,2
WestBengal,Kolkata,InoxSwabhumiMaulanaAzadSarani,Bengali,14:00,Club,210₹,133,2
WestBengal,Kolkata,InoxSwabhumiMaulanaAzadSarani,Bengali,14:00,Executive,180₹,33,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,14:00,Recliner,420₹,14,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,14:00,Prime,250₹,12,3
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,14:00,Classic,200₹,154,22
WestBengal,Howrah,InoxForumRangoliMallBelur,Bengali,14:00,Club,230₹,158,2
WestBengal,Howrah,InoxForumRangoliMallBelur,Bengali,14:00,Executive,210₹,69,0
WestBengal,Kolkata,InoxQuestMallBallygunge,Bengali,14:30,RoyalRecliner,450₹,8,6
WestBengal,Kolkata,InoxQuestMallBallygunge,Bengali,14:30,Club,250₹,112,11
WestBengal,Kolkata,InoxQuestMallBallygunge,Bengali,14:30,Royal,250₹,28,4
WestBengal,Kolkata,InoxQuestMallBallygunge,Bengali,14:30,Executive,230₹,24,0
WestBengal,Kolkata,CarnivalSaltLake,Bengali,14:35,Silver,150₹,190,14
WestBengal,Kolkata,ChhabigharCinemaBaithakkhana,Bengali,14:45,Balcony,100₹,144,84
WestBengal,Kolkata,ChhabigharCinemaBaithakkhana,Bengali,14:45,RearStall,80₹,502,148
WestBengal,Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,14:55,Royal,170₹,40,6
WestBengal,Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,14:55,Club,150₹,72,0
WestBengal,Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,14:55,Executive,140₹,36,0
WestBengal,Kolkata,CarnivalArtiSuncityMallBarasat,Bengali,15:15,Diamond,150₹,115,0
WestBengal,Kolkata,CarnivalArtiSuncityMallBarasat,Bengali,15:15,Gold,130₹,60,0
WestBengal,Kolkata,CarnivalArtiSuncityMallBarasat,Bengali,15:15,Silver,110₹,40,0
