State,City,Name,Language,Time,Type,Price,Capacity,Booked
Maharashtra,Mumbai,CinepolisSeawoodsLT,Marathi,10:00,Vip,420₹,14,2
Maharashtra,Mumbai,CinepolisSeawoodsLT,Marathi,10:00,Premium,220₹,57,7
Maharashtra,Mumbai,CinepolisSeawoodsLT,Marathi,10:00,Executive,200₹,86,5
Maharashtra,Mumbai,CinepolisSeawoodsLT,Marathi,10:00,Normal,180₹,30,6
Maharashtra,Pune,CinepolisSeasonsMall,Marathi,10:15,Premium,200₹,35,12
Maharashtra,Pune,CinepolisSeasonsMall,Marathi,10:15,Normal,180₹,29,0
Maharashtra,Pune,CinepolisSeasonsMall,Marathi,10:15,Executive,180₹,83,21
Maharashtra,Aurangabad,InoxTapadiaMallTownCenter,Marathi,11:45,Silver,140₹,174,54
Maharashtra,Aurangabad,InoxTapadiaMallTownCenter,Marathi,11:45,Premiere,130₹,37,0
Maharashtra,Nashik,CinemaxCityCenterNasik,Marathi,12:20,Recliner,320₹,14,13
Maharashtra,Nashik,CinemaxCityCenterNasik,Marathi,12:20,Prime,170₹,139,85
Maharashtra,Nashik,CinemaxCityCenterNasik,Marathi,12:20,Classic,140₹,34,5
Maharashtra,Kalyan,InoxMetroJunctionMallKalyan,Marathi,12:25,Silver,180₹,80,25
Maharashtra,Kalyan,InoxMetroJunctionMallKalyan,Marathi,12:25,Execuitve,170₹,30,0
Maharashtra,Kalyan,InoxMetroJunctionMallKalyan,Marathi,12:25,Premier,170₹,130,16
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Marathi,12:45,Recliner,400₹,14,12
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Marathi,12:45,Prime,180₹,189,62
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Marathi,12:45,Classic,160₹,40,0
Maharashtra,Kolhapur,InoxRelianceMegaMallLaxmipuri,Marathi,13:05,Club,170₹,84,11
Maharashtra,Kolhapur,InoxRelianceMegaMallLaxmipuri,Marathi,13:05,Executive,170₹,28,0
Maharashtra,Kolhapur,InoxRelianceMegaMallLaxmipuri,Marathi,13:05,Royale,170₹,21,19
Maharashtra,Pune,InoxAmanoraMallHadapsar,Marathi,13:25,Royale,340₹,6,5
Maharashtra,Pune,InoxAmanoraMallHadapsar,Marathi,13:25,Club,180₹,231,64
Maharashtra,Pune,InoxAmanoraMallHadapsar,Marathi,13:25,Executive,180₹,32,0
Maharashtra,Mumbai,MovietimeChembur,Marathi,14:15,Silver,150₹,126,53
Maharashtra,Mumbai,MovietimeChembur,Marathi,14:15,Gold,150₹,16,16
Maharashtra,Mumbai,PvrGrowelsKandivaliE,Marathi,14:15,Recliner,300₹,12,8
Maharashtra,Mumbai,PvrGrowelsKandivaliE,Marathi,14:15,Prime,180₹,196,63
Maharashtra,Mumbai,PvrGrowelsKandivaliE,Marathi,14:15,Classic,160₹,30,0
Maharashtra,Mumbai,PvrOrionPanvel,Marathi,14:15,PrimePlus,210₹,27,25
Maharashtra,Mumbai,PvrOrionPanvel,Marathi,14:15,Prime,180₹,98,70
Maharashtra,Mumbai,PvrOrionPanvel,Marathi,14:15,Classic,160₹,20,4
