State,City,Name,Language,Time,Type,Price,Capacity,Booked
Punjab,Bathinda,FunCinemaMittalCityMall,Punjabi,08:55,Premium,170₹,59,7
Punjab,Bathinda,FunCinemaMittalCityMall,Punjabi,08:55,Executive,160₹,39,0
Punjab,Bathinda,FunCinemaMittalCityMall,Punjabi,08:55,Normal,150₹,38,0
Punjab,Amritsar,InoxTriliumMallCircularRoad,Punjabi,09:00,Normal,130₹,163,10
Chandigarh,Chandigarh,PvrCentraChandigarh,Punjabi,09:00,Prime,150₹,138,18
Chandigarh,Chandigarh,PvrCentraChandigarh,Punjabi,09:00,Classic,138₹,84,0
Punjab,Mullanpur,4GNovaCinemazMullanpurMandiRoad,Punjabi,10:00,Platinum,160₹,100,0
Punjab,Mullanpur,4GNovaCinemazMullanpurMandiRoad,Punjabi,10:00,Gold,110₹,60,0
Punjab,Mullanpur,4GNovaCinemazMullanpurMandiRoad,Punjabi,10:00,Silver,110₹,60,0
Punjab,Ludhiana,PvrPavilionMallLudhiana,Punjabi,10:05,Classic,99₹,64,43
Punjab,Ludhiana,PvrFlamezMallGurudevNagar,Punjabi,10:10,Prime,149₹,25,2
Punjab,Ludhiana,PvrFlamezMallGurudevNagar,Punjabi,10:10,Classic,99₹,115,12
Punjab,Sardulgarh,GoldenCinemasSardulgarh,Punjabi,10:30,Platinum,350₹,13,7
Punjab,Sardulgarh,GoldenCinemasSardulgarh,Punjabi,10:30,Royal,300₹,16,9
Punjab,Sardulgarh,GoldenCinemasSardulgarh,Punjabi,10:30,Gold,220₹,56,42
Punjab,Sardulgarh,GoldenCinemasSardulgarh,Punjabi,10:30,Silver,200₹,64,48
Punjab,Sardulgarh,GoldenCinemasSardulgarh,Punjabi,10:30,NormalClass,170₹,32,16
Punjab,Jalandhar,PvrCuroJalandhar,Punjabi,10:45,Prime,225₹,26,11
Punjab,Jalandhar,PvrCuroJalandhar,Punjabi,10:45,ClassicPlus,150₹,36,18
Punjab,Jalandhar,PvrCuroJalandhar,Punjabi,10:45,Classic,140₹,36,2
Punjab,Ludhiana,CarnivalNirmalLudhiana,Punjabi,11:10,Recliner,200₹,18,18
Punjab,Ludhiana,CarnivalNirmalLudhiana,Punjabi,11:10,Gold,150₹,134,37
Punjab,Ludhiana,CarnivalNirmalLudhiana,Punjabi,11:10,Silver,150₹,34,0
Punjab,Bathinda,FunCinemaMittalCityMall,Punjabi,11:25,Premium,150₹,60,12
Punjab,Bathinda,FunCinemaMittalCityMall,Punjabi,11:25,Executive,140₹,39,5
Punjab,Bathinda,FunCinemaMittalCityMall,Punjabi,11:25,Normal,130₹,39,0
Punjab,Bathinda,FunPlazaKotkapura,Punjabi,11:30,Royal,170₹,94,83
Punjab,Bathinda,FunCinemaMittalCityMall,Punjabi,11:35,Premium,170₹,59,59
Punjab,Bathinda,FunCinemaMittalCityMall,Punjabi,11:35,Executive,160₹,39,35
Punjab,Bathinda,FunCinemaMittalCityMall,Punjabi,11:35,Normal,150₹,38,7
Punjab,Jalandhar,InoxJalandharRelianceMallJalandhar,Punjabi,11:40,RoyaleRecliners,420₹,37,8
Punjab,Jalandhar,InoxJalandharRelianceMallJalandhar,Punjabi,11:40,Royale,270₹,40,7
Punjab,Jalandhar,InoxJalandharRelianceMallJalandhar,Punjabi,11:40,Club,200₹,140,11
Punjab,Jalandhar,InoxJalandharRelianceMallJalandhar,Punjabi,11:40,Executive,170₹,53,0
Punjab,Baghapurana,SuncityCinemaBaghapurana,Punjabi,11:40,Platinum,220₹,27,0
Punjab,Baghapurana,SuncityCinemaBaghapurana,Punjabi,11:40,Gold,170₹,121,0
Punjab,Baghapurana,SuncityCinemaBaghapurana,Punjabi,11:40,Platinum,220₹,27,0
Punjab,Baghapurana,SuncityCinemaBaghapurana,Punjabi,11:40,Gold,170₹,121,0
Chandigarh,Chandigarh,PvrElanteMallChandigarh,Punjabi,11:50,Recliner,450₹,13,12
Chandigarh,Chandigarh,PvrElanteMallChandigarh,Punjabi,11:50,Classic,180₹,138,60
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,11:50,Recliner,350₹,12,9
