State,City,Name,Language,Time,Type,Price,Capacity,Booked
Karnataka,Hubli,PvrLaxmiMallCoenRoad,Kannada,09:00,Prime,260₹,11,11
Karnataka,Hubli,PvrLaxmiMallCoenRoad,Kannada,09:00,ClassicPlus,160₹,156,156
Karnataka,Hubli,PvrLaxmiMallCoenRoad,Kannada,09:00,Classic,140₹,78,78
Karnataka,Sankeshwar,SainathChitramandirSankeshwar,Kannada,11:45,Balcony,80₹,20,0
Karnataka,Sankeshwar,SainathChitramandirSankeshwar,Kannada,11:45,DressCircle,70₹,20,0
Karnataka,Gadag,ShriKrishnaTheatreDolbyDigital71Gadag,Kannada,12:00,Balcony,100₹,230,92
Karnataka,Gadag,ShriKrishnaTheatreDolbyDigital71Gadag,Kannada,12:00,DressCircle,80₹,537,0
Karnataka,Vijayapura,AlankarTheatreVijayapura,Kannada,12:00,Balcony,150₹,275,150
Karnataka,Vijayapura,AlankarTheatreVijayapura,Kannada,12:00,DressCircle,150₹,40,40
Karnataka,Hubli,PvrLaxmiMallCoenRoad,Kannada,12:10,Prime,260₹,9,0
Karnataka,Hubli,PvrLaxmiMallCoenRoad,Kannada,12:10,ClassicPlus,160₹,124,2
Karnataka,Hubli,PvrLaxmiMallCoenRoad,Kannada,12:10,Classic,140₹,68,0
Karnataka,Sankeshwar,SainathChitramandirSankeshwar,Kannada,14:45,Balcony,80₹,20,0
Karnataka,Sankeshwar,SainathChitramandirSankeshwar,Kannada,14:45,DressCircle,70₹,20,0
Karnataka,Gadag,ShriKrishnaTheatreDolbyDigital71Gadag,Kannada,15:00,Balcony,100₹,230,92
Karnataka,Gadag,ShriKrishnaTheatreDolbyDigital71Gadag,Kannada,15:00,DressCircle,80₹,537,0
Karnataka,Vijayapura,AlankarTheatreVijayapura,Kannada,15:00,Balcony,150₹,275,150
Karnataka,Vijayapura,AlankarTheatreVijayapura,Kannada,15:00,DressCircle,150₹,40,40
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,16:15,Recliner,250₹,10,0
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,16:15,Prime,170₹,80,0
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,16:15,Classic,150₹,128,0
Karnataka,Kalaburagi,MirajCinemasShraddhaMallMadoopura,Kannada,17:30,Gold,200₹,10,0
Karnataka,Kalaburagi,MirajCinemasShraddhaMallMadoopura,Kannada,17:30,Executive,110₹,192,0
Karnataka,Kalaburagi,MirajCinemasShraddhaMallMadoopura,Kannada,17:30,Special,110₹,80,0
Karnataka,Sankeshwar,SainathChitramandirSankeshwar,Kannada,17:45,Balcony,80₹,20,0
Karnataka,Sankeshwar,SainathChitramandirSankeshwar,Kannada,17:45,DressCircle,70₹,20,0
Karnataka,Vijayapura,AlankarTheatreVijayapura,Kannada,18:00,Balcony,150₹,275,150
Karnataka,Vijayapura,AlankarTheatreVijayapura,Kannada,18:00,DressCircle,150₹,40,40
Karnataka,Sankeshwar,SainathChitramandirSankeshwar,Kannada,20:45,Balcony,80₹,20,0
Karnataka,Sankeshwar,SainathChitramandirSankeshwar,Kannada,20:45,DressCircle,70₹,20,0
Karnataka,Vijayapura,AlankarTheatreVijayapura,Kannada,21:00,Balcony,150₹,275,150
Karnataka,Vijayapura,AlankarTheatreVijayapura,Kannada,21:00,DressCircle,150₹,40,40
