State,City,Name,Language,Time,Type,Price,Capacity,Booked
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,13:00,Recliner,250₹,16,0
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,13:00,Prime,170₹,90,2
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,13:00,Classic,150₹,108,0
Karnataka,Bangalore,InoxCentralMantriJunctionJpNagar,Kannada,14:50,Royal,220₹,10,4
Karnataka,Bangalore,InoxCentralMantriJunctionJpNagar,Kannada,14:50,Club,140₹,219,2
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,15:50,Recliner,230₹,13,4
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,15:50,Prime,140₹,37,11
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,15:50,Classic,112₹,85,0
Karnataka,Bangalore,CinepolisEtaNammaMall,Kannada,18:10,Normal,180₹,9,0
Karnataka,Bangalore,CinepolisEtaNammaMall,Kannada,18:10,Premium,180₹,31,8
Karnataka,Bangalore,CinepolisEtaNammaMall,Kannada,18:10,Executive,180₹,74,2
Karnataka,Bangalore,InoxMantriSquareMalleshwaram,Kannada,18:30,Club,160₹,209,102
Karnataka,Mysore,InoxMallOfMysoreMgRoad,Kannada,19:10,Club,150₹,223,1
