State,City,Name,Language,Time,Type,Price,Capacity,Booked
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,12:35,Recliner,250₹,17,0
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,12:35,Prime,170₹,100,1
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,12:35,Classic,150₹,128,1
Karnataka,Davanagere,MovietimeSsGardeniaMallDavanagere,Kannada,12:45,Gold,180₹,41,0
Karnataka,Davanagere,MovietimeSsGardeniaMallDavanagere,Kannada,12:45,Premier,150₹,160,0
Karnataka,Bangalore,CinepolisSjrSpectrum,Kannada,12:55,Vip,300₹,14,0
Karnataka,Bangalore,CinepolisSjrSpectrum,Kannada,12:55,Normal,150₹,48,0
Karnataka,Bangalore,CinepolisSjrSpectrum,Kannada,12:55,Premium,150₹,66,6
Karnataka,Bangalore,CinepolisSjrSpectrum,Kannada,12:55,Executive,150₹,89,0
Karnataka,Bangalore,CinepolisEtaNammaMall,Kannada,13:05,Premium,150₹,29,0
Karnataka,Bangalore,CinepolisEtaNammaMall,Kannada,13:05,Executive,150₹,65,0
Karnataka,Bangalore,InoxMantriSquareMalleshwaram,Kannada,19:15,Royal,250₹,8,3
Karnataka,Bangalore,InoxMantriSquareMalleshwaram,Kannada,19:15,Club,160₹,268,15
Karnataka,Bangalore,InoxRmzGalleriaMallYelahanka,Kannada,19:20,Royale,250₹,9,0
Karnataka,Bangalore,InoxRmzGalleriaMallYelahanka,Kannada,19:20,Club,160₹,70,0
Karnataka,Bangalore,InoxRmzGalleriaMallYelahanka,Kannada,19:20,Executive,150₹,128,1
