State,City,Name,Language,Time,Type,Price,Capacity,Booked
Kerala,Angadipuram,InoxChennaiCitiCentre,Tamil,08:50,Club,152₹,226,12
Kerala,Angadipuram,InoxChennaiCitiCentre,Tamil,08:50,Executive,60₹,38,6
Kerala,Angadipuram,InoxChandraMetroMallVirugambakkam,Tamil,09:00,Silver,152₹,327,6
Kerala,Angadipuram,InoxChandraMetroMallVirugambakkam,Tamil,09:00,Premiere,60₹,39,13
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,09:00,Club,190₹,262,17
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,09:00,Executive,60₹,34,31
Kerala,Angadipuram,PvrGrandMallVelachery,Tamil,09:00,Prime,190₹,214,12
Kerala,Angadipuram,PvrGrandMallVelachery,Tamil,09:00,Classic,60₹,42,3
Karnataka,Bangalore,PvrForumMallKoramangala,Tamil,09:10,Recliner,350₹,12,12
Karnataka,Bangalore,PvrForumMallKoramangala,Tamil,09:10,Classic,200₹,156,29
Kerala,Angadipuram,PvrAmpaSkywalkMallAminjikarai,Tamil,09:15,Prime,190₹,219,11
Kerala,Angadipuram,PvrAmpaSkywalkMallAminjikarai,Tamil,09:15,Classic,60₹,32,20
TamilNadu,Madurai,InoxVishaalDeMalMadurai,Tamil,09:30,Club,178₹,124,19
TamilNadu,Madurai,InoxVishaalDeMalMadurai,Tamil,09:30,Executive,60₹,12,12
Kerala,Angadipuram,InoxTheMarinaMallOmr,Tamil,09:35,Club,190₹,126,46
Kerala,Angadipuram,InoxTheMarinaMallOmr,Tamil,09:35,Executive,60₹,16,15
Kerala,Angadipuram,Idreams,Tamil,10:00,Premium,140₹,175,56
Kerala,Angadipuram,Idreams,Tamil,10:00,FirstClass,130₹,259,0
Kerala,Angadipuram,Idreams,Tamil,10:00,SecondClass,100₹,107,1
Kerala,Angadipuram,Idreams,Tamil,10:00,ThirdClass,50₹,41,1
TamilNadu,Chidambaram,VaduganathanCinemas4KDolbyAtmos,Tamil,10:00,Elite,130₹,498,67
TamilNadu,Coimbatore,FunCinemaRepublicMall,Tamil,10:00,Executive,152₹,162,65
TamilNadu,Coimbatore,FunCinemaRepublicMall,Tamil,10:00,Normal,60₹,19,19
TamilNadu,Arakkonam,SindhuCinemasAC2KArakkonam,Tamil,10:00,Box1,150₹,12,12
TamilNadu,Arakkonam,SindhuCinemasAC2KArakkonam,Tamil,10:00,Box2,150₹,12,12
TamilNadu,Arakkonam,SindhuCinemasAC2KArakkonam,Tamil,10:00,Executive,100₹,166,17
TamilNadu,Krishnagiri,KarthikeyanTheater,Tamil,10:00,BoxLeft,100₹,18,18
TamilNadu,Krishnagiri,KarthikeyanTheater,Tamil,10:00,BoxRight,100₹,18,18
TamilNadu,Krishnagiri,KarthikeyanTheater,Tamil,10:00,FirstClass,100₹,288,0
Kerala,Angadipuram,RakkiCinemasRgbLaser4KDolbyAtmosAmbattur,Tamil,10:00,Executive,110₹,131,2
Kerala,Angadipuram,CinepolisBsrMall,Tamil,10:00,Executive,152₹,117,39
Kerala,Angadipuram,CinepolisBsrMall,Tamil,10:00,Normal,60₹,17,17
TamilNadu,Kangayam,SwargamTheatreKangayam,Tamil,10:15,Balcony,100₹,121,0
TamilNadu,Tirupur,SivanCinemas3DDolbyAtmosTirupur,Tamil,10:30,Classic,150₹,28,0
TamilNadu,Tirupur,SivanCinemas3DDolbyAtmosTirupur,Tamil,10:30,Premium,150₹,28,0
TamilNadu,Tirupur,SivanCinemas3DDolbyAtmosTirupur,Tamil,10:30,Royal,120₹,597,4
TamilNadu,Tirupur,SivanCinemas3DDolbyAtmosTirupur,Tamil,10:30,Grand,120₹,78,78
TamilNadu,Perundalaiyur,ValarmathiTheatreDolby71Kavindapadi,Tamil,10:30,VipPlatinum,120₹,22,3
TamilNadu,Perundalaiyur,ValarmathiTheatreDolby71Kavindapadi,Tamil,10:30,VipGold,120₹,28,3
TamilNadu,Perundalaiyur,ValarmathiTheatreDolby71Kavindapadi,Tamil,10:30,FirstClass,100₹,252,0
TamilNadu,Tirupur,CineParkTheatreTirupur,Tamil,10:30,BoxA,100₹,41,0
TamilNadu,Tirupur,CineParkTheatreTirupur,Tamil,10:30,BoxB,100₹,41,41
TamilNadu,Tirupur,CineParkTheatreTirupur,Tamil,10:30,FirstClass,90₹,341,62
