State,City,Name,Language,Time,Type,Price,Capacity,Booked
Maharashtra,Ahmednagar,AshaSquareMultiplexAhmednagar,Marathi,09:00,GoldenClass,100₹,254,0
Maharashtra,Mumbai,InoxNeelyogSquareMallGhatkoparE,Marathi,09:10,Executive,112₹,40,0
Maharashtra,Mumbai,InoxNeelyogSquareMallGhatkoparE,Marathi,09:10,Premier,112₹,160,4
Maharashtra,Mumbai,InoxNeelyogSquareMallGhatkoparE,Marathi,09:10,Silver,112₹,81,11
Maharashtra,Kolhapur,InoxRelianceMegaMallLaxmipuri,Marathi,09:20,Royale,160₹,37,0
Maharashtra,Kolhapur,InoxRelianceMegaMallLaxmipuri,Marathi,09:20,Club,150₹,98,0
Maharashtra,Kolhapur,InoxRelianceMegaMallLaxmipuri,Marathi,09:20,Executive,150₹,24,0
Maharashtra,Pune,InoxAmanoraMallHadapsar,Marathi,09:25,Royale,230₹,2,0
Maharashtra,Pune,InoxAmanoraMallHadapsar,Marathi,09:25,Club,130₹,109,10
Maharashtra,Pune,InoxAmanoraMallHadapsar,Marathi,09:25,Executive,130₹,21,0
Maharashtra,Pune,InoxDorabjeesRoyaleHeritageMall,Marathi,09:30,RoyaleRecliners,190₹,15,2
Maharashtra,Pune,InoxDorabjeesRoyaleHeritageMall,Marathi,09:30,Club,112₹,35,7
Maharashtra,Pune,InoxDorabjeesRoyaleHeritageMall,Marathi,09:30,Executive,112₹,26,0
Maharashtra,Pune,InoxDorabjeesRoyaleHeritageMall,Marathi,09:30,Royale,112₹,19,7
Maharashtra,Mumbai,CinepolisSeawoodsLT,Marathi,09:30,Vip,350₹,14,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,Marathi,09:30,Premium,220₹,60,12
Maharashtra,Mumbai,CinepolisSeawoodsLT,Marathi,09:30,Executive,200₹,74,10
Maharashtra,Mumbai,CinepolisSeawoodsLT,Marathi,09:30,Normal,180₹,49,0
Maharashtra,Washim,H2MMovieplexWashim,Marathi,09:30,Pl,150₹,60,0
Maharashtra,Washim,H2MMovieplexWashim,Marathi,09:30,Sf,150₹,21,0
Maharashtra,Washim,H2MMovieplexWashim,Marathi,09:30,Gl,120₹,96,0
Maharashtra,Washim,H2MMovieplexWashim,Marathi,09:30,Sl,80₹,52,0
Maharashtra,Pune,CinepolisSeasonsMall,Marathi,09:45,Normal,130₹,27,0
Maharashtra,Pune,CinepolisSeasonsMall,Marathi,09:45,Premium,130₹,33,17
Maharashtra,Pune,CinepolisSeasonsMall,Marathi,09:45,Executive,130₹,74,5
Maharashtra,Mumbai,FunCinemaKStarMall,Marathi,10:00,Premium,160₹,29,17
Maharashtra,Mumbai,FunCinemaKStarMall,Marathi,10:00,Normal,140₹,85,0
Maharashtra,Mumbai,FunCinemaKStarMall,Marathi,10:00,Executive,140₹,50,0
Maharashtra,Ambernath,StarMirajCinemasAmbernath,Marathi,10:00,Platinum,150₹,70,0
Maharashtra,Mumbai,CinepolisVivianaMall,Marathi,10:00,Normal,150₹,25,0
Maharashtra,Mumbai,CinepolisVivianaMall,Marathi,10:00,Premium,150₹,43,24
Maharashtra,Mumbai,CinepolisVivianaMall,Marathi,10:00,Executive,150₹,97,4
Maharashtra,Mumbai,CinelineEternityThaneMumbai,Marathi,10:15,Recliner,200₹,31,3
Maharashtra,Mumbai,CinelineEternityThaneMumbai,Marathi,10:15,Prime,130₹,168,6
Maharashtra,Mumbai,CinelineEternityThaneMumbai,Marathi,10:15,Classic,100₹,38,0
Maharashtra,Kalyan,InoxMetroJunctionMallKalyan,Marathi,11:25,Gold,200₹,12,0
Maharashtra,Kalyan,InoxMetroJunctionMallKalyan,Marathi,11:25,Premier,140₹,131,0
Maharashtra,Kalyan,InoxMetroJunctionMallKalyan,Marathi,11:25,Silver,140₹,81,32
Maharashtra,Kalyan,InoxMetroJunctionMallKalyan,Marathi,11:25,Execuitve,112₹,30,0
Maharashtra,Mumbai,InoxRaghuleelaMallVashi,Marathi,11:30,Premier,140₹,85,0
Maharashtra,Mumbai,InoxRaghuleelaMallVashi,Marathi,11:30,Silver,140₹,26,0
Maharashtra,Mumbai,InoxRaghuleelaMallVashi,Marathi,11:30,Executive,112₹,22,0
Maharashtra,Mumbai,MovietimeMaladW,Marathi,11:30,DressCircle,100₹,70,12
Maharashtra,Pune,InoxElproCitySquarePune,Marathi,11:35,RoyaleRecliners,250₹,27,8
Maharashtra,Pune,InoxElproCitySquarePune,Marathi,11:35,Royale,160₹,83,59
Maharashtra,Pune,InoxElproCitySquarePune,Marathi,11:35,Club,130₹,90,8
Maharashtra,Pune,InoxElproCitySquarePune,Marathi,11:35,Executive,130₹,30,0
Maharashtra,Mumbai,MovietimeChembur,Marathi,11:45,Silver,130₹,127,7
Maharashtra,Mumbai,MovietimeChembur,Marathi,11:45,Gold,130₹,16,12
Maharashtra,Mumbai,MovietimeHubMallGoregaonE,Marathi,11:45,Gold,130₹,196,47
Maharashtra,Pune,RahulTalkies70MmShivajiNagar,Marathi,11:46,GoldClass,100₹,201,0
Maharashtra,Pune,RahulTalkies70MmShivajiNagar,Marathi,11:46,SilverClass,100₹,120,0
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Marathi,12:00,Recliner,450₹,8,0
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Marathi,12:00,Prime,240₹,148,22
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Marathi,12:00,Classic,200₹,28,0
Maharashtra,Jalgaon,PvrUtsavKirtiMallNaviPeth,Marathi,12:00,ClassicPlus,100₹,120,21
Maharashtra,Jalgaon,PvrUtsavKirtiMallNaviPeth,Marathi,12:00,Classic,100₹,51,0
Maharashtra,Jalgaon,PvrUtsavKirtiMallNaviPeth,Marathi,12:00,Prime,100₹,55,18
Maharashtra,Mumbai,FunsquareCinemaSanpadaNaviMumbai,Marathi,12:00,Gold,112₹,58,30
Maharashtra,Nashik,InoxOldVijayMamtaNasik,Marathi,12:15,Gold,150₹,29,12
Maharashtra,Nashik,InoxOldVijayMamtaNasik,Marathi,12:15,Platinum,112₹,14,14
Maharashtra,Nashik,InoxOldVijayMamtaNasik,Marathi,12:15,Silver,112₹,237,1
Maharashtra,Nashik,InoxOldVijayMamtaNasik,Marathi,12:15,Executive,90₹,59,0
Maharashtra,Rahuri,DnyaneshwarChitraMandirRahuri,Marathi,12:15,Balcony,90₹,155,0
Maharashtra,Rahuri,DnyaneshwarChitraMandirRahuri,Marathi,12:15,DressCircule,60₹,364,0
Maharashtra,Pune,GunjanCinemaNhavare,Marathi,12:30,Gold,100₹,32,0
Maharashtra,Pune,GunjanCinemaNhavare,Marathi,12:30,Silver,100₹,54,0
Maharashtra,Mumbai,CinelineEternityThaneMumbai,Marathi,12:30,Recliner,200₹,28,2
Maharashtra,Mumbai,CinelineEternityThaneMumbai,Marathi,12:30,Prime,160₹,177,8
Maharashtra,Mumbai,CinelineEternityThaneMumbai,Marathi,12:30,Classic,140₹,38,0
Maharashtra,Rahuri,VitthaMadhavPicturePalace,Marathi,12:30,FirstClass,60₹,152,0
Maharashtra,Rahuri,VitthaMadhavPicturePalace,Marathi,12:30,SecondClass,50₹,298,0
Maharashtra,Aurangabad,InoxTapadiaMallTownCenter,Marathi,12:30,Silver,160₹,174,7
Maharashtra,Aurangabad,InoxTapadiaMallTownCenter,Marathi,12:30,Premiere,150₹,37,3
Maharashtra,Pune,VaibhavChitramandirHadapsar,Marathi,12:30,Gold,120₹,142,0
Maharashtra,Mumbai,InoxRaghuleelaMallVashi,Marathi,12:35,Premier,180₹,85,9
