State,City,Name,Language,Time,Type,Price,Capacity,Booked
Delhi,DelhiNcr,PvrSelectCityWalkGoldSaket,English,09:00,DboxPlatinum,700₹,16,0
Delhi,DelhiNcr,PvrSelectCityWalkGoldSaket,English,09:00,Platinum,400₹,16,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,English,09:15,Insignia,230₹,40,0
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,English,09:15,Insignia,230₹,40,0
Maharashtra,Thane,InoxKorumMallThaneW,English,09:15,Royal,250₹,18,0
Maharashtra,Thane,InoxKorumMallThaneW,English,09:15,Club,130₹,199,0
Maharashtra,Thane,InoxKorumMallThaneW,English,09:15,Executive,112₹,51,0
Maharashtra,Mumbai,PvrMarketCityGoldKurlaW,English,09:30,GoldPremium,300₹,22,14
Maharashtra,Mumbai,PvrMarketCityGoldKurlaW,English,09:30,GoldStar,250₹,55,0
UttarPradesh,Ghaziabad,PvrMahagunVaishali,Hindi,09:30,Classic,80₹,291,291
UttarPradesh,Ghaziabad,PvrMahagunVaishali,Hindi,09:30,Recliner,80₹,11,11
Maharashtra,Pune,InoxAmanoraMallHadapsar,English,09:35,Royale,230₹,44,0
Maharashtra,Mumbai,InoxMegaplexInorbitMall,English,10:00,Club,220₹,16,0
Maharashtra,Mumbai,InoxMegaplexInorbitMall,English,10:00,Royal,220₹,60,0
MadhyaPradesh,Indore,InoxTreasureIslandNextMallRegalSquare,English,10:05,Club,110₹,202,0
MadhyaPradesh,Indore,InoxTreasureIslandNextMallRegalSquare,English,10:05,Executive,110₹,39,0
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,English,10:15,Recliner,350₹,8,2
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,English,10:15,Prime,180₹,134,17
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,English,10:15,Classic,150₹,28,0
Maharashtra,Pune,PvrMarketCityGoldVimanNagar,English,10:15,GoldPrime,400₹,22,0
Maharashtra,Pune,PvrMarketCityGoldVimanNagar,English,10:15,GoldClassic,350₹,24,8
Karnataka,Bangalore,CinepolisForumShantiniketan,English,10:15,SingleSofa,250₹,4,0
Karnataka,Bangalore,CinepolisForumShantiniketan,English,10:15,Lounger,180₹,9,0
Karnataka,Bangalore,CinepolisForumShantiniketan,English,10:15,DoubleSofa,160₹,24,0
Karnataka,Bangalore,CinepolisForumShantiniketan,English,10:15,Normal,140₹,56,0
Gujarat,Ahmedabad,TimeCinemaAhmedabadCgSquareMall,English,10:30,Sofa,220₹,84,0
Maharashtra,Pune,InoxDorabjeesRoyaleHeritageMall,English,10:35,RoyaleRecliners,160₹,13,0
Maharashtra,Pune,InoxDorabjeesRoyaleHeritageMall,English,10:35,Club,100₹,81,0
Maharashtra,Pune,InoxDorabjeesRoyaleHeritageMall,English,10:35,Executive,100₹,24,0
Maharashtra,Pune,InoxDorabjeesRoyaleHeritageMall,English,10:35,Royale,100₹,26,0
Maharashtra,Mumbai,PvrCitiMallAndheriW,English,10:45,Recliner,149₹,24,1
Maharashtra,Mumbai,PvrCitiMallAndheriW,English,10:45,Classic,99₹,46,0
Maharashtra,Mumbai,PvrCitiMallAndheriW,English,10:45,Prime,99₹,146,14
Gujarat,Ahmedabad,PvrAcropolisMall4DxThaltej,English,11:00,4DxClassic,199₹,36,0
