State,City,Name,Language,Time,Type,Price,Capacity,Booked
Maharashtra,Ahmednagar,AshaSquareMultiplexAhmednagar,Marathi,09:00,GoldenClass,100₹,100,0
Maharashtra,Mumbai,InoxRaghuleelaMegaMallKandivaliW,Marathi,09:00,Gold,130₹,322,3
Maharashtra,Mumbai,InoxRaghuleelaMegaMallKandivaliW,Marathi,09:00,Premiere,130₹,81,0
Maharashtra,Pune,CinepolisSeasonsMall,Marathi,09:00,Normal,130₹,33,0
Maharashtra,Pune,CinepolisSeasonsMall,Marathi,09:00,Premium,130₹,64,9
Maharashtra,Pune,CinepolisSeasonsMall,Marathi,09:00,Executive,130₹,145,6
Maharashtra,Mumbai,CinepolisVivianaMall,Marathi,09:00,Normal,170₹,27,0
Maharashtra,Mumbai,CinepolisVivianaMall,Marathi,09:00,Premium,170₹,46,27
Maharashtra,Mumbai,CinepolisVivianaMall,Marathi,09:00,Executive,170₹,104,0
Maharashtra,Mumbai,InoxNakshatraMallDadarW,Marathi,09:00,Royal,140₹,8,0
Maharashtra,Mumbai,InoxNakshatraMallDadarW,Marathi,09:00,Executive,112₹,36,0
Maharashtra,Mumbai,InoxNakshatraMallDadarW,Marathi,09:00,Premiere,112₹,139,0
Maharashtra,Mumbai,InoxNakshatraMallDadarW,Marathi,09:00,Silver,112₹,84,7
Maharashtra,Baramati,CarnivalCinemasSubhadraMallBaramati,Marathi,09:00,Sofa,190₹,17,0
Maharashtra,Baramati,CarnivalCinemasSubhadraMallBaramati,Marathi,09:00,Silver,160₹,42,0
Maharashtra,Baramati,CarnivalCinemasSubhadraMallBaramati,Marathi,09:00,Gold,160₹,128,2
Maharashtra,Mumbai,CarnivalHarmonyMallGoregaonW,Marathi,09:05,Gold,110₹,26,0
Maharashtra,Mumbai,CarnivalHarmonyMallGoregaonW,Marathi,09:05,Silver,80₹,33,0
Maharashtra,Mumbai,CarnivalHarmonyMallGoregaonW,Marathi,09:05,Executive,80₹,166,2
Maharashtra,Mumbai,CinepolisSeawoodsLT,Marathi,09:10,Vip,300₹,14,2
Maharashtra,Mumbai,CinepolisSeawoodsLT,Marathi,09:10,Premium,200₹,76,5
Maharashtra,Mumbai,CinepolisSeawoodsLT,Marathi,09:10,Executive,180₹,86,5
Maharashtra,Mumbai,CinepolisSeawoodsLT,Marathi,09:10,Normal,160₹,30,0
Maharashtra,Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Marathi,09:10,SofaOffline,130₹,18,0
Maharashtra,Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Marathi,09:10,PlatinumOffline,110₹,112,0
Maharashtra,Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Marathi,09:10,GoldOffline,100₹,65,0
Maharashtra,Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Marathi,09:10,SilverOffline,90₹,48,0
Maharashtra,Pune,CinepolisWestendMall,Marathi,09:15,Normal,180₹,23,0
Maharashtra,Pune,CinepolisWestendMall,Marathi,09:15,Premium,180₹,49,0
Maharashtra,Pune,CinepolisWestendMall,Marathi,09:15,Executive,180₹,64,0
Maharashtra,Pune,InoxElproCitySquarePune,Marathi,09:15,Royale,150₹,71,7
Maharashtra,Pune,InoxElproCitySquarePune,Marathi,09:15,Club,130₹,85,5
Maharashtra,Pune,InoxElproCitySquarePune,Marathi,09:15,Executive,130₹,34,0
Maharashtra,Pune,PvrMarketCityVimanNagar,Marathi,09:30,Recliner,250₹,16,0
Maharashtra,Pune,PvrMarketCityVimanNagar,Marathi,09:30,PrimePlus,200₹,30,8
Maharashtra,Pune,PvrMarketCityVimanNagar,Marathi,09:30,Classic,130₹,80,0
Maharashtra,Pune,PvrMarketCityVimanNagar,Marathi,09:30,Prime,130₹,221,33
Maharashtra,Mumbai,CinemaxOdeonGhatkoparE,Marathi,09:30,Classic,130₹,52,0
Maharashtra,Mumbai,CinemaxOdeonGhatkoparE,Marathi,09:30,Prime,130₹,115,0
Maharashtra,Mumbai,CinemaxOdeonGhatkoparE,Marathi,09:30,PrimePlus,130₹,124,31
Maharashtra,Mumbai,PvrCityOneMallPimpri,Marathi,09:30,Prime,120₹,132,14
Maharashtra,Mumbai,PvrCityOneMallPimpri,Marathi,09:30,Classic,100₹,39,0
Maharashtra,Mumbai,PvrMarketCityKurlaW,Marathi,09:30,Prime,170₹,155,10
Maharashtra,Mumbai,PvrMarketCityKurlaW,Marathi,09:30,Classic,150₹,85,3
Maharashtra,Mumbai,PvrOrionPanvel,Marathi,09:30,PrimePlus,190₹,32,6
Maharashtra,Mumbai,PvrOrionPanvel,Marathi,09:30,Prime,150₹,125,23
Maharashtra,Mumbai,PvrOrionPanvel,Marathi,09:30,Classic,130₹,26,0
Maharashtra,Mumbai,PvrXperiaPalavaDombivaliE,Marathi,09:30,Recliner,250₹,12,0
Maharashtra,Mumbai,PvrXperiaPalavaDombivaliE,Marathi,09:30,Prime,150₹,146,12
Maharashtra,Mumbai,PvrXperiaPalavaDombivaliE,Marathi,09:30,Classic,130₹,36,0
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Marathi,09:30,Recliner,400₹,14,2
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Marathi,09:30,Prime,180₹,209,31
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Marathi,09:30,Classic,160₹,40,0
Maharashtra,Pune,PvrKumarPacificMallSwarGate,Marathi,09:30,Prime,120₹,192,19
Maharashtra,Pune,PvrKumarPacificMallSwarGate,Marathi,09:30,Classic,100₹,24,3
Maharashtra,Nashik,CinemaxCityCenterNasik,Marathi,09:30,Recliner,260₹,33,9
Maharashtra,Nashik,CinemaxCityCenterNasik,Marathi,09:30,Prime,110₹,135,22
Maharashtra,Nashik,CinemaxCityCenterNasik,Marathi,09:30,Classic,100₹,34,0
Maharashtra,Pune,VaibhavChitramandirHadapsar,Marathi,09:30,Gold,100₹,337,0
Maharashtra,Pune,VaibhavChitramandirHadapsar,Marathi,09:30,Silver,80₹,73,0
Maharashtra,Nanded,PvrTreasureBazaarMallNanded,Marathi,09:40,PrimePlus,140₹,63,0
Maharashtra,Nanded,PvrTreasureBazaarMallNanded,Marathi,09:40,Prime,120₹,100,10
Maharashtra,Nanded,PvrTreasureBazaarMallNanded,Marathi,09:40,Classic,100₹,70,0
Maharashtra,Thane,InoxKorumMallThaneW,Marathi,09:50,Royal,250₹,18,0
Maharashtra,Thane,InoxKorumMallThaneW,Marathi,09:50,Club,130₹,119,5
Maharashtra,Thane,InoxKorumMallThaneW,Marathi,09:50,Executive,112₹,51,0
Maharashtra,Mumbai,FunsquareCinemaSanpadaNaviMumbai,Marathi,10:00,Gold,80₹,97,6
Maharashtra,Mumbai,MovietimeHubMallGoregaonE,Marathi,10:00,Gold,110₹,281,31
Maharashtra,Mumbai,PvrDynamicJuhu,Marathi,10:00,Prime,110₹,264,23
Maharashtra,Mumbai,PvrDynamicJuhu,Marathi,10:00,Lounger,110₹,12,0
Maharashtra,Pune,InoxElproCitySquarePune,Marathi,10:00,RoyaleRecliners,280₹,16,14
Maharashtra,Pune,InoxElproCitySquarePune,Marathi,10:00,Royale,150₹,121,37
Maharashtra,Pune,InoxElproCitySquarePune,Marathi,10:00,Club,130₹,89,9
Maharashtra,Pune,InoxElproCitySquarePune,Marathi,10:00,Executive,130₹,30,0
Maharashtra,Aurangabad,InoxProzoneMallChilkalthana,Marathi,10:00,RoyaleRecliners,300₹,10,0
Maharashtra,Aurangabad,InoxProzoneMallChilkalthana,Marathi,10:00,Royale,190₹,82,2
Maharashtra,Aurangabad,InoxProzoneMallChilkalthana,Marathi,10:00,Club,170₹,112,0
Maharashtra,Aurangabad,InoxProzoneMallChilkalthana,Marathi,10:00,Executive,150₹,36,0
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,Marathi,10:00,Recliner,250₹,36,0
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,Marathi,10:00,Prime,120₹,181,24
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,Marathi,10:00,Classic,110₹,49,0
Maharashtra,Mumbai,CarnivalRMallMulundW,Marathi,10:00,ReclinerOffline,200₹,23,0
Maharashtra,Mumbai,CarnivalRMallMulundW,Marathi,10:00,GoldOffline,130₹,256,2
Maharashtra,Mumbai,CarnivalRMallMulundW,Marathi,10:00,SilverOffline,110₹,128,0
Maharashtra,Mumbai,CarnivalRMallMulundW,Marathi,10:00,SpecialOffline,110₹,64,0
Maharashtra,Lonavala,CineBlissNeelkamalCinemaLonavala,Marathi,10:00,Balcony,100₹,100,0
Maharashtra,Lonavala,CineBlissNeelkamalCinemaLonavala,Marathi,10:00,Box,100₹,100,0
Maharashtra,Lonavala,CineBlissNeelkamalCinemaLonavala,Marathi,10:00,Gold,80₹,100,0
Maharashtra,Mumbai,CarnivalAnnexMallBorivali,Marathi,10:00,Silver,110₹,115,0
Maharashtra,Mumbai,CarnivalAnnexMallBorivali,Marathi,10:00,Premier,110₹,80,0
Maharashtra,Mumbai,CinepolisMagnetMall,Marathi,10:00,Vip,300₹,10,4
Maharashtra,Mumbai,CinepolisMagnetMall,Marathi,10:00,Normal,130₹,36,0
Maharashtra,Mumbai,CinepolisMagnetMall,Marathi,10:00,Executive,130₹,71,2
Maharashtra,Solapur,CarnivalBhagwatSolapur,Marathi,10:00,Gold,80₹,95,0
Maharashtra,Solapur,CarnivalBhagwatSolapur,Marathi,10:00,Platinum,80₹,98,0
Maharashtra,Solapur,CarnivalBhagwatSolapur,Marathi,10:00,Balcony,80₹,79,3
Maharashtra,Solapur,CarnivalBhagwatSolapur,Marathi,10:00,Silver,70₹,95,0
Maharashtra,Mumbai,FunCinemaKStarMall,Marathi,10:00,Normal,120₹,106,0
Maharashtra,Mumbai,FunCinemaKStarMall,Marathi,10:00,Premium,120₹,46,21
Maharashtra,Mumbai,FunCinemaKStarMall,Marathi,10:00,Executive,120₹,72,0
Maharashtra,Baramati,CarnivalCinemasSubhadraMallBaramati,Marathi,10:00,VipRecliner,250₹,3,0
Maharashtra,Baramati,CarnivalCinemasSubhadraMallBaramati,Marathi,10:00,Recliner,200₹,34,1
Maharashtra,Mumbai,CarnivalMoviestarGoregaonW,Marathi,10:00,BoxOffline,190₹,6,0
Maharashtra,Mumbai,CarnivalMoviestarGoregaonW,Marathi,10:00,SpecialOffline,110₹,48,2
Maharashtra,Mumbai,CarnivalMoviestarGoregaonW,Marathi,10:00,SilverOffline,90₹,51,0
Maharashtra,Mumbai,CarnivalMoviestarGoregaonW,Marathi,10:00,GoldOffline,90₹,119,0
Maharashtra,Mumbai,CarnivalMoviestarGoregaonW,Marathi,10:00,PlatinumOffline,90₹,137,5
Maharashtra,Pune,CarnivalPremierPlazaChinchwad,Marathi,10:00,PremiumReclineOffline,190₹,29,1
Maharashtra,Pune,CarnivalPremierPlazaChinchwad,Marathi,10:00,PrimeOffline,140₹,44,0
Maharashtra,Pune,CarnivalPremierPlazaChinchwad,Marathi,10:00,PlatinumOffline,110₹,173,0
Maharashtra,Pune,CarnivalPremierPlazaChinchwad,Marathi,10:00,GoldOffline,100₹,120,0
Maharashtra,Pune,CarnivalPremierPlazaChinchwad,Marathi,10:00,SilverOffline,90₹,90,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,Marathi,10:10,Vip,300₹,14,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,Marathi,10:10,Premium,200₹,80,8
Maharashtra,Mumbai,CinepolisSeawoodsLT,Marathi,10:10,Executive,180₹,91,7
Maharashtra,Mumbai,CinepolisSeawoodsLT,Marathi,10:10,Normal,160₹,32,0
Maharashtra,Jalgaon,InoxKhandeshCentralMallPratapNagar,Marathi,10:10,Club,130₹,156,0
Maharashtra,Jalgaon,InoxKhandeshCentralMallPratapNagar,Marathi,10:10,Executive,130₹,60,0
Maharashtra,Jalgaon,InoxKhandeshCentralMallPratapNagar,Marathi,10:10,Royal,130₹,71,0
Maharashtra,Latur,PvrLatur,Marathi,10:15,ClassicPlus,90₹,183,0
Maharashtra,Latur,PvrLatur,Marathi,10:15,Classic,90₹,42,1
Maharashtra,Latur,PvrLatur,Marathi,10:15,Prime,90₹,82,28
Maharashtra,Mumbai,CinepolisVipVivianaMall,Marathi,10:15,Vip,350₹,74,15
Maharashtra,Nagpur,PvrEmpressCityMallNagpur,Marathi,10:15,Prime,170₹,166,18
Maharashtra,Nagpur,PvrEmpressCityMallNagpur,Marathi,10:15,Classic,140₹,56,0
Maharashtra,Jalgaon,PvrUtsavKirtiMallNaviPeth,Marathi,10:15,ClassicPlus,110₹,346,27
Maharashtra,Jalgaon,PvrUtsavKirtiMallNaviPeth,Marathi,10:15,Classic,110₹,62,0
Maharashtra,Jalgaon,PvrUtsavKirtiMallNaviPeth,Marathi,10:15,Prime,110₹,85,6
Maharashtra,Mumbai,CarnivalImaxWadala,Marathi,10:15,PremiumOffline,140₹,54,0
Maharashtra,Mumbai,CarnivalImaxWadala,Marathi,10:15,GoldOffline,110₹,84,0
