State,City,Name,Language,Time,Type,Price,Capacity,Booked
Kerala,Angamaly,CarnivalKsrtComplexSalemErnakulamHighway,Malayalam,09:45,GoldOffline,130₹,202,29
Kerala,Kochi,PvrLuluKochi,Malayalam,09:50,Recliner,350₹,14,1
Kerala,Kochi,PvrLuluKochi,Malayalam,09:50,Prime,190₹,125,14
Kerala,Kochi,PvrLuluKochi,Malayalam,09:50,ClassicPlus,160₹,108,2
Kerala,Kochi,PvrLuluKochi,Malayalam,09:50,Classic,140₹,54,0
Karnataka,Bangalore,BalajiDigital2KCinemaTavarekere,Malayalam,10:00,Diamond,150₹,296,189
Karnataka,Bangalore,BalajiDigital2KCinemaTavarekere,Malayalam,10:00,Gold,120₹,442,315
Kerala,Perinthalmanna,VismayaCinemasPerinthalmanna,Malayalam,10:00,Platinum,100₹,198,27
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,10:00,Silver,210₹,97,11
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,10:00,ExecutiveOffline,180₹,193,12
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,10:00,NormalOffline,100₹,17,0
Kerala,Thalassery,CarnivalDowntownThalassery,Malayalam,10:00,ExecutiveOffline,140₹,131,21
Kerala,Trivandrum,CarnivalGreenfieldCinemaKaryavattom,Malayalam,10:00,ExecutiveOffline,140₹,119,36
Kerala,Karunagappally,CarnivalHJComplexLalajiJunction,Malayalam,10:00,ClassicOffline,150₹,118,17
Maharashtra,Pune,InoxAmanoraMallHadapsar,Malayalam,10:10,Royale,230₹,6,0
Maharashtra,Pune,InoxAmanoraMallHadapsar,Malayalam,10:10,Club,130₹,231,2
Maharashtra,Pune,InoxAmanoraMallHadapsar,Malayalam,10:10,Executive,130₹,32,0
Kerala,Payyanur,SumangaliCinemasPayyanur,Malayalam,10:30,PlatinumCircle,130₹,161,2
Kerala,Kollam,CarnivalRpMallKollam,Malayalam,10:30,PremiumOffline,150₹,96,29
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,10:35,ClassicPlus,140₹,104,38
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,10:35,Classic,120₹,54,2
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,10:40,RoyalRecliner,270₹,10,7
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,10:40,Royal,170₹,20,0
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,10:40,Club,140₹,155,10
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,10:40,Executive,110₹,26,0
Kerala,Kattanam,GanamTheatreComplexACKattanam,Malayalam,10:45,FirstClass,110₹,129,67
Kerala,Trivandrum,SriKalidasMPlex4KRgbLaserDolbyAtmos,Malayalam,11:00,DiamondSofa,200₹,4,0
Kerala,Trivandrum,SriKalidasMPlex4KRgbLaserDolbyAtmos,Malayalam,11:00,Gold,150₹,173,0
Kerala,Manjeri,LadderCinemasManjeri,Malayalam,11:00,Executive,150₹,114,1
Kerala,SultanBathery,AiswaryaAthulyaCineplexSulthanBathery,Malayalam,11:15,Balcony,110₹,254,0
Kerala,Ponnani,AiswaryaMoviesAC4KDolby3DPonnani,Malayalam,11:15,Platinum,110₹,158,29
Kerala,Valanchery,SreekumarAndPavithraTheatreAC2K,Malayalam,11:30,FirstClass,110₹,334,4
Kerala,Wandoor,HariharFilmCity4KSony3DWandoor,Malayalam,11:30,Executive,129₹,235,0
Kerala,Manjeri,CinePalaceSreeDeviCinePalaceDolbyAtmosManjeri,Malayalam,11:30,Screen1,150₹,282,72
Kerala,Thrissur,DeepaMoviesAC2K111Viyyoor,Malayalam,12:00,LuxurySuit,250₹,16,0
Kerala,Thrissur,DeepaMoviesAC2K111Viyyoor,Malayalam,12:00,Platinum,130₹,296,4
Kerala,Koothattukulam,VCinemasKoothattukulam,Malayalam,12:00,Gold,290₹,6,1
Kerala,Koothattukulam,VCinemasKoothattukulam,Malayalam,12:00,Silver,140₹,159,3
Kerala,Kochi,SaritaCinemasKochi,Malayalam,12:00,Deluxe,150₹,555,531
Kerala,Kochi,SaritaCinemasKochi,Malayalam,12:00,RoseCircle,150₹,115,115
Kerala,Angamaly,CarnivalKsrtComplexSalemErnakulamHighway,Malayalam,12:10,GoldOffline,150₹,202,36
Kerala,Kochi,PvrLuluKochi,Malayalam,12:35,Recliner,350₹,13,4
Kerala,Kochi,PvrLuluKochi,Malayalam,12:35,Prime,200₹,143,42
Kerala,Kochi,PvrLuluKochi,Malayalam,12:35,ClassicPlus,180₹,133,10
Kerala,Kochi,PvrLuluKochi,Malayalam,12:35,Classic,140₹,57,7
Maharashtra,Mumbai,CinepolisSeawoodsLT,Malayalam,12:45,Vip,450₹,14,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,Malayalam,12:45,Premium,250₹,75,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,Malayalam,12:45,Executive,230₹,92,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,Malayalam,12:45,Normal,210₹,66,0
Kerala,Kariyad,CarnivalCinemasKariyad,Malayalam,12:45,GoldLounge,270₹,32,6
Kerala,Kariyad,CarnivalCinemasKariyad,Malayalam,12:45,ExecutiveOffline,140₹,96,11
Maharashtra,Pune,InoxElproCitySquarePune,Malayalam,12:55,Royale,210₹,45,0
Maharashtra,Pune,InoxElproCitySquarePune,Malayalam,12:55,Club,190₹,78,0
Maharashtra,Pune,InoxElproCitySquarePune,Malayalam,12:55,Executive,170₹,24,0
Maharashtra,Pune,InoxElproCitySquarePune,Malayalam,12:55,Royale,210₹,45,0
Maharashtra,Pune,InoxElproCitySquarePune,Malayalam,12:55,Club,190₹,78,0
Maharashtra,Pune,InoxElproCitySquarePune,Malayalam,12:55,Executive,170₹,24,0
Kerala,Calicut,MallikaPlexDolbyAtmosCalicut,Malayalam,13:00,Executive,140₹,192,2
Kerala,Mannarkkad,ShivasakthiCinemasDolbyAtmosMannarkkad,Malayalam,13:00,Executive,110₹,256,2
Kerala,Perinthalmanna,VismayaCinemasPerinthalmanna,Malayalam,13:00,Platinum,100₹,198,36
Kerala,Malappuram,MallikaPlexMalappuram,Malayalam,13:00,Sofa,200₹,11,0
Kerala,Malappuram,MallikaPlexMalappuram,Malayalam,13:00,Executive,140₹,140,0
Karnataka,Mangalore,CinepolisCityCentreMall,Malayalam,13:10,Normal,200₹,28,0
Karnataka,Mangalore,CinepolisCityCentreMall,Malayalam,13:10,Premium,200₹,58,14
Karnataka,Mangalore,CinepolisCityCentreMall,Malayalam,13:10,Executive,200₹,132,2
Kerala,Thalayolaparambu,CarnivalThalayolaparambu,Malayalam,13:15,Gold,110₹,204,9
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,13:20,ClassicPlus,150₹,104,56
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,13:20,Classic,120₹,54,3
Kerala,Payyanur,SumangaliCinemasPayyanur,Malayalam,13:30,PlatinumCircle,130₹,161,8
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,13:35,Gold,350₹,12,6
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,13:35,Silver,210₹,140,25
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,13:35,ExecutiveOffline,180₹,80,2
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,13:35,NormalOffline,100₹,16,0
Kerala,Muvattupuzha,CarnivalGrandCentreMallAramanaJunction,Malayalam,13:35,ExecutiveOffline,150₹,96,17
