State,City,Name,Language,Time,Type,Price,Capacity,Booked
Maharashtra,Mumbai,CinemaStarHighStreetMall,Marathi,09:20,Normal,130₹,208,4
Maharashtra,Mumbai,CinepolisVivianaMall,Marathi,09:30,Normal,160₹,27,0
Maharashtra,Mumbai,CinepolisVivianaMall,Marathi,09:30,Premium,160₹,46,18
Maharashtra,Mumbai,CinepolisVivianaMall,Marathi,09:30,Executive,160₹,106,0
Maharashtra,Mumbai,CinepolisVipVivianaMall,Marathi,10:15,Vip,500₹,76,10
Maharashtra,Thane,InoxKorumMallThaneW,Marathi,12:15,Royal,300₹,18,0
Maharashtra,Thane,InoxKorumMallThaneW,Marathi,12:15,Club,200₹,119,17
Maharashtra,Thane,InoxKorumMallThaneW,Marathi,12:15,Executive,180₹,51,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,Marathi,12:55,Vip,300₹,14,4
Maharashtra,Mumbai,CinepolisSeawoodsLT,Marathi,12:55,Premium,200₹,80,17
Maharashtra,Mumbai,CinepolisSeawoodsLT,Marathi,12:55,Executive,180₹,94,11
Maharashtra,Mumbai,CinepolisVivianaMall,Marathi,13:05,Premium,250₹,46,9
Maharashtra,Mumbai,CinepolisVivianaMall,Marathi,13:05,Executive,230₹,106,10
Maharashtra,Mumbai,CinepolisVivianaMall,Marathi,13:05,Normal,210₹,27,3
Maharashtra,Mumbai,CinepolisVivianaMall,Marathi,19:05,Premium,260₹,46,40
Maharashtra,Mumbai,CinepolisVivianaMall,Marathi,19:05,Executive,240₹,106,38
Maharashtra,Mumbai,CinepolisVivianaMall,Marathi,19:05,Normal,220₹,27,2
Maharashtra,Mumbai,CinemaStarHighStreetMall,Marathi,19:15,Normal,160₹,208,45
