State,City,Name,Language,Time,Type,Price,Capacity,Booked
Maharashtra,Pune,FunsquareCinemaGhotawadePhataPirangut,Marathi,10:30,Gold,130₹,48,24
Maharashtra,Pune,FunsquareCinemaGhotawadePhataPirangut,Marathi,10:30,Silver,130₹,100,54
Maharashtra,Pune,VaibhavChitramandirHadapsar,Marathi,14:05,Gold,120₹,100,0
Maharashtra,Pune,VaibhavChitramandirHadapsar,Marathi,14:05,Silver,100₹,100,0
Maharashtra,Miraj,AmarTalkiesMiraj,Marathi,15:15,Stall,100₹,100,0
Maharashtra,Sangli,AurumMultiplexSangli,Marathi,17:00,Gl,160₹,108,0
Maharashtra,Sangli,AurumMultiplexSangli,Marathi,17:00,Sl,140₹,24,0
Gujarat,Chikhli,CinemagicCinemaNagpure,Marathi,18:00,RoyalSofa,150₹,13,7
Gujarat,Chikhli,CinemagicCinemaNagpure,Marathi,18:00,Gold,100₹,190,105
Gujarat,Chikhli,CinemagicCinemaNagpure,Marathi,18:00,Silver,70₹,27,14
Maharashtra,Pune,ViluxTalkiesKhadkiBazar,Marathi,18:30,Gold,100₹,100,0
Maharashtra,Pune,ViluxTalkiesKhadkiBazar,Marathi,18:30,Silver,100₹,100,0
Maharashtra,Parli,ShreeNathTalkiesParliVaijnath,Marathi,21:00,Shree,100₹,240,0
Maharashtra,Ahmednagar,EylexShaniSingnapurAhmednagar,Marathi,21:00,Platinum,150₹,76,67
