State,City,Name,Language,Time,Type,Price,Capacity,Booked
Gujarat,Rajkot,InoxRelianceMegaMallRajkot,English,08:50,Royal,240₹,45,9
Gujarat,Rajkot,InoxRelianceMegaMallRajkot,English,08:50,Club,220₹,72,4
Gujarat,Rajkot,InoxRelianceMegaMallRajkot,English,08:50,Executive,200₹,24,0
Maharashtra,Mumbai,InoxMegaplexInorbitMall,English,09:35,Insignia,400₹,40,31
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,English,09:40,3DRecliner,320₹,14,0
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,English,09:40,3DPrime,220₹,40,13
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,English,09:40,3DClassic,200₹,125,2
Karnataka,Bangalore,CinepolisForumShantiniketan,English,09:45,SingleSofa,300₹,6,0
Karnataka,Bangalore,CinepolisForumShantiniketan,English,09:45,Lounger,280₹,9,0
Karnataka,Bangalore,CinepolisForumShantiniketan,English,09:45,DoubleSofa,250₹,24,6
Karnataka,Bangalore,CinepolisForumShantiniketan,English,09:45,Normal,200₹,57,10
Maharashtra,Pune,InoxBundGarden,English,10:10,Royale,350₹,34,24
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,English,10:15,Recliner,490₹,21,16
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,English,10:15,Prime,210₹,97,79
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,English,10:15,Classic,180₹,45,12
Karnataka,Bangalore,InoxForumNeighbourhoodMallWhiteField,English,10:35,Insignia,470₹,43,15
Karnataka,Bangalore,Pvr4DxOrionMallDrRajkumarRoad,English,10:40,3DClassic,370₹,96,33
Karnataka,Bangalore,PvrPlayHousePhoenixMarketcityMallWhit,English,10:50,3DRecliner,390₹,8,8
Karnataka,Bangalore,PvrPlayHousePhoenixMarketcityMallWhit,English,10:50,3DClassic,230₹,120,36
Karnataka,Bangalore,PvrVegaPlayHouseBannerghattaRoad,English,10:55,3DClassic,230₹,62,40
Delhi,DelhiNcr,PvrSelectCityWalkGoldSaket,English,11:00,DboxPlatinum,"1,100₹",13,8
Delhi,DelhiNcr,PvrSelectCityWalkGoldSaket,English,11:00,Platinum,800₹,24,8
Maharashtra,Mumbai,PvrIconInfinitiAndheriW,English,11:15,DboxRecliner,750₹,11,1
Maharashtra,Mumbai,PvrIconInfinitiAndheriW,English,11:15,DboxPrime,360₹,32,5
Maharashtra,Mumbai,PvrIconInfinitiAndheriW,English,11:15,Prime,210₹,126,15
Maharashtra,Mumbai,PvrIconInfinitiAndheriW,English,11:15,Classic,170₹,42,2
Maharashtra,Mumbai,PvrDynamicJuhu,English,11:35,Lounger,230₹,12,0
Maharashtra,Mumbai,PvrDynamicJuhu,English,11:35,Prime,200₹,264,49
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,English,11:45,Recliner,400₹,8,8
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,English,11:45,Prime,200₹,134,106
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,English,11:45,Classic,180₹,28,7
Maharashtra,Pune,PvrMarketCity4DxVimanNagar,English,11:45,4DxPrime,380₹,72,67
Maharashtra,Pune,PvrMarketCity4DxVimanNagar,English,11:45,4DxClassic,330₹,48,27
Maharashtra,Mumbai,CinepolisSeawoodsLT,English,11:50,Normal,400₹,96,31
Maharashtra,Mumbai,PvrMarketCity4DxKurlaW,English,11:50,4DxPrime,420₹,84,35
Maharashtra,Mumbai,PvrMarketCity4DxKurlaW,English,11:50,4DxClassic,370₹,60,3
UttarPradesh,Noida,PvrLogixCityCentre4DxNoida,English,11:50,Classic,565₹,92,52
Gujarat,Ahmedabad,MirajCityPulseManiNagar,English,12:00,3DGold,220₹,66,7
Gujarat,Ahmedabad,PvrAcropolisMall4DxThaltej,English,12:00,4DxClassic,600₹,36,0
Gujarat,Ahmedabad,PvrAcropolisMall4DxThaltej,English,12:00,4DxPrime,600₹,84,14
Delhi,DelhiNcr,CinepolisDlfAvenue,English,12:05,Normal,600₹,96,33
Karnataka,Bangalore,PvrArenaMallDoddanakundi,English,12:15,3DPrime,240₹,33,28
Karnataka,Bangalore,PvrArenaMallDoddanakundi,English,12:15,3DClassic,220₹,98,37
Chandigarh,Chandigarh,Pvr4DxElanteChandigarh,English,12:20,Classic,450₹,92,38
Maharashtra,Mumbai,PvrIconOberoiPlayHouseGoregaonE,English,12:30,Recliner,560₹,26,4
Maharashtra,Mumbai,PvrIconOberoiPlayHouseGoregaonE,English,12:30,Prime,200₹,96,61
Maharashtra,Mumbai,PvrIconOberoiPlayHouseGoregaonE,English,12:30,Classic,180₹,22,0
Maharashtra,Pune,InoxDorabjeesRoyaleHeritageMall,English,12:35,RoyaleRecliners,250₹,14,12
Maharashtra,Pune,InoxDorabjeesRoyaleHeritageMall,English,12:35,Royale,170₹,40,36
Maharashtra,Pune,InoxDorabjeesRoyaleHeritageMall,English,12:35,Club,160₹,33,17
Maharashtra,Pune,InoxDorabjeesRoyaleHeritageMall,English,12:35,Executive,150₹,22,0
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,English,12:40,Normal,270₹,30,0
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,English,12:40,Premium,270₹,32,32
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,English,12:40,Executive,270₹,73,55
Uttarakhand,Dehradun,SilvercityDehradun,English,13:00,Recliner,550₹,15,0
Uttarakhand,Dehradun,SilvercityDehradun,English,13:00,Gold,220₹,119,18
Uttarakhand,Dehradun,SilvercityDehradun,English,13:00,Silver,180₹,60,2
Kerala,Kochi,PvrLuluKochi,English,13:00,3DRecliner,375₹,10,10
Kerala,Kochi,PvrLuluKochi,English,13:00,3DPrime,225₹,68,62
Kerala,Kochi,PvrLuluKochi,English,13:00,3DClassicPlus,205₹,91,75
Kerala,Kochi,PvrLuluKochi,English,13:00,3DClassic,165₹,39,4
Karnataka,Bangalore,CinepolisEtaNammaMall,English,13:05,Normal,230₹,10,0
Karnataka,Bangalore,CinepolisEtaNammaMall,English,13:05,Premium,230₹,33,14
Karnataka,Bangalore,CinepolisEtaNammaMall,English,13:05,Executive,230₹,82,4
Maharashtra,Mumbai,InoxRaghuleelaMallVashi,English,13:15,Gold,470₹,54,21
Telangana,Hyderabad,InoxGvkOneBanjaraHills,English,13:25,Royal,380₹,5,5
Telangana,Hyderabad,InoxGvkOneBanjaraHills,English,13:25,Executive,230₹,126,81
Telangana,Hyderabad,Pvr4DxKukatpallyHyderabad,English,13:25,4DxClassic,350₹,108,87
Telangana,Hyderabad,PvrMusarambaghNewMalakpet,English,13:25,3DClassic,230₹,187,50
Karnataka,Bangalore,PvrPhoenixMarketcityMall4DxWhitefield,English,13:30,3DClassic,420₹,100,61
Maharashtra,Nagpur,PvrEmpressCityMallNagpur,English,13:30,Prime,290₹,166,166
Maharashtra,Nagpur,PvrEmpressCityMallNagpur,English,13:30,Classic,220₹,56,56
Karnataka,Bangalore,InoxGarudaMallMagrathRoad,English,13:35,Insignia,700₹,58,38
MadhyaPradesh,Indore,InoxC21MallSheetalNagar,English,13:55,Cl,350₹,33,3
MadhyaPradesh,Indore,InoxC21MallSheetalNagar,English,13:55,Ry,350₹,63,23
Karnataka,Bangalore,PvrVega4DxBannerghattaRoad,English,14:00,3DClassic,490₹,100,63
