State,City,Name,Language,Time,Type,Price,Capacity,Booked
Maharashtra,Thane,MaxusCinemasMaxusMallBhayandar,Hindi,08:00,CoupleRecl,229₹,14,0
Maharashtra,Thane,MaxusCinemasMaxusMallBhayandar,Hindi,08:00,Recliners,229₹,44,0
MadhyaPradesh,Indore,AyouCinemaRajendraNagar,Hindi,09:00,Gold,150₹,96,0
MadhyaPradesh,Indore,AyouCinemaRajendraNagar,Hindi,09:00,Platinum,150₹,43,0
MadhyaPradesh,Indore,AyouCinemaRajendraNagar,Hindi,09:00,Silver,150₹,90,0
MadhyaPradesh,Bhopal,CinepolisAashimaMall,English,09:00,Normal,110₹,30,0
MadhyaPradesh,Bhopal,CinepolisAashimaMall,English,09:00,Premium,110₹,73,0
MadhyaPradesh,Bhopal,CinepolisAashimaMall,English,09:00,Executive,110₹,102,0
UttarPradesh,Lucknow,InoxLucknowCrownMallLucknow,Hindi,09:05,Royale,180₹,48,0
UttarPradesh,Lucknow,InoxLucknowCrownMallLucknow,Hindi,09:05,Club,170₹,52,0
UttarPradesh,Lucknow,InoxLucknowCrownMallLucknow,Hindi,09:05,Executive,140₹,24,0
Maharashtra,Jalgaon,PvrUtsavKirtiMallNaviPeth,Hindi,09:15,3DClassicPlus,110₹,120,17
Maharashtra,Jalgaon,PvrUtsavKirtiMallNaviPeth,Hindi,09:15,3DClassic,110₹,51,0
Maharashtra,Jalgaon,PvrUtsavKirtiMallNaviPeth,Hindi,09:15,3DPrime,110₹,55,6
MadhyaPradesh,Bhopal,CinepolisAashimaMall,Hindi,09:15,Premium,150₹,30,9
MadhyaPradesh,Bhopal,CinepolisAashimaMall,Hindi,09:15,Executive,150₹,96,0
Gujarat,Rajkot,InoxRWorldRajkot,Hindi,09:25,Gold,140₹,133,7
Gujarat,Rajkot,InoxRWorldRajkot,Hindi,09:25,Silver,140₹,41,0
Maharashtra,Mumbai,MaxusCinemasKurla,Hindi,09:30,Sofa,150₹,100,0
Maharashtra,Mumbai,MaxusCinemasKurla,Hindi,09:30,Premium,100₹,100,0
Maharashtra,Nagpur,PvrEmpressCityMallNagpur,Hindi,09:30,3DPrime,170₹,166,25
Maharashtra,Nagpur,PvrEmpressCityMallNagpur,Hindi,09:30,3DClassic,160₹,56,0
Maharashtra,Nagpur,SudamaTheatreNagpur,Hindi,09:30,Balcony,200₹,104,0
Maharashtra,Nagpur,SudamaTheatreNagpur,Hindi,09:30,DressCircle,150₹,165,0
Maharashtra,Nagpur,SudamaTheatreNagpur,Hindi,09:30,ReserveClass,100₹,294,0
Maharashtra,Pune,CinepolisSeasonsMall,Hindi,09:35,Premium,210₹,34,8
Maharashtra,Pune,CinepolisSeasonsMall,Hindi,09:35,Normal,190₹,31,0
Maharashtra,Pune,CinepolisSeasonsMall,Hindi,09:35,Executive,190₹,84,2
Delhi,DelhiNcr,CinepolisCrossRiverMall,Hindi,09:40,Vip,505₹,5,0
Delhi,DelhiNcr,CinepolisCrossRiverMall,Hindi,09:40,Executive,236₹,110,4
Delhi,DelhiNcr,CinepolisCrossRiverMall,Hindi,09:40,Normal,227₹,159,0
Delhi,DelhiNcr,CinepolisUnityOneMall,Hindi,09:40,Vip,400₹,6,0
Delhi,DelhiNcr,CinepolisUnityOneMall,Hindi,09:40,Executive,260₹,106,1
Delhi,DelhiNcr,CinepolisUnityOneMall,Hindi,09:40,Normal,250₹,26,0
Maharashtra,Pune,InoxAmanoraMallHadapsar,Hindi,09:40,Royale,280₹,6,0
Maharashtra,Pune,InoxAmanoraMallHadapsar,Hindi,09:40,Club,190₹,157,11
Maharashtra,Pune,InoxAmanoraMallHadapsar,Hindi,09:40,Executive,190₹,42,0
Delhi,DelhiNcr,CinepolisJanakCinema,Hindi,09:40,Premium,200₹,52,2
Delhi,DelhiNcr,CinepolisJanakCinema,Hindi,09:40,Executive,180₹,102,5
Delhi,DelhiNcr,CinepolisJanakCinema,Hindi,09:40,Normal,160₹,30,0
Delhi,DelhiNcr,PvrPacificSubhashNagar,Hindi,09:45,3DPrime,310₹,68,6
Delhi,DelhiNcr,PvrPacificSubhashNagar,Hindi,09:45,3DClassic,290₹,52,0
Haryana,Gurgaon,CinepolisAiriaMall,Hindi,09:45,Vip,350₹,9,0
Haryana,Gurgaon,CinepolisAiriaMall,Hindi,09:45,Normal,200₹,19,0
Haryana,Gurgaon,CinepolisAiriaMall,Hindi,09:45,Premium,200₹,29,4
Haryana,Gurgaon,CinepolisAiriaMall,Hindi,09:45,Executive,200₹,50,0
Chhattisgarh,Raipur,CinemaxCityCenterPandri,Hindi,10:00,3DRecliner,310₹,12,0
Chhattisgarh,Raipur,CinemaxCityCenterPandri,Hindi,10:00,3DClassic,160₹,24,0
Chhattisgarh,Raipur,CinemaxCityCenterPandri,Hindi,10:00,3DPrime,160₹,140,17
Maharashtra,Mumbai,PvrOrionPanvel,Hindi,10:00,3DPrimePlus,170₹,27,4
Maharashtra,Mumbai,PvrOrionPanvel,Hindi,10:00,3DClassic,160₹,20,0
Maharashtra,Mumbai,PvrOrionPanvel,Hindi,10:00,3DPrime,160₹,98,14
UttarPradesh,Lucknow,PvrSaharaGanjMallHazratganj,Hindi,10:00,3DRecliner,250₹,12,2
UttarPradesh,Lucknow,PvrSaharaGanjMallHazratganj,Hindi,10:00,3DClassic,159₹,171,2
UttarPradesh,Bareilly,PvrPhoenixUnitedBareilly,Hindi,10:00,3DRecliner,340₹,14,0
UttarPradesh,Bareilly,PvrPhoenixUnitedBareilly,Hindi,10:00,3DPrime,220₹,92,18
UttarPradesh,Bareilly,PvrPhoenixUnitedBareilly,Hindi,10:00,3DClassic,200₹,96,0
MadhyaPradesh,Gwalior,FunCinemaDdCityMall,Hindi,10:00,Executive,170₹,119,18
MadhyaPradesh,Gwalior,FunCinemaDdCityMall,Hindi,10:00,Normal,160₹,110,4
Maharashtra,Mumbai,MaxusCinemasKurla,Hindi,10:00,Sofa,160₹,100,0
Maharashtra,Mumbai,MaxusCinemasKurla,Hindi,10:00,Premium,130₹,100,0
Haryana,Faridabad,PvrCrownPlazaFaridabad,Hindi,10:00,PrimePlus,170₹,27,4
Haryana,Faridabad,PvrCrownPlazaFaridabad,Hindi,10:00,Classic,139₹,26,0
Haryana,Faridabad,PvrCrownPlazaFaridabad,Hindi,10:00,Prime,139₹,141,5
Telangana,Hyderabad,PvrNextGalleriaMallPanjagutta,English,10:05,Classic,200₹,144,18
Maharashtra,Aurangabad,InoxProzoneMallChilkalthana,Hindi,10:10,RoyaleRecliners,290₹,10,0
Maharashtra,Aurangabad,InoxProzoneMallChilkalthana,Hindi,10:10,Club,170₹,93,0
Maharashtra,Aurangabad,InoxProzoneMallChilkalthana,Hindi,10:10,Executive,170₹,36,0
Maharashtra,Aurangabad,InoxProzoneMallChilkalthana,Hindi,10:10,Royale,170₹,59,0
WestBengal,Kolkata,PvrAvaniRiverSideMall,Hindi,10:10,3DPrime,240₹,11,3
WestBengal,Kolkata,PvrAvaniRiverSideMall,Hindi,10:10,3DClassic,190₹,200,12
Maharashtra,Aurangabad,InoxProzoneMallChilkalthana,Hindi,10:10,RoyaleRecliners,290₹,10,0
Maharashtra,Aurangabad,InoxProzoneMallChilkalthana,Hindi,10:10,Club,170₹,93,2
Maharashtra,Aurangabad,InoxProzoneMallChilkalthana,Hindi,10:10,Executive,170₹,36,0
Maharashtra,Aurangabad,InoxProzoneMallChilkalthana,Hindi,10:10,Royale,170₹,59,5
Rajasthan,Kota,FunCinemaCityMall,Hindi,10:10,Normal,160₹,60,0
Rajasthan,Kota,FunCinemaCityMall,Hindi,10:10,Executive,160₹,215,1
Maharashtra,Aurangabad,InoxRelianceMallAurangabad,Hindi,10:30,RoyaleRecliners,290₹,31,0
Maharashtra,Aurangabad,InoxRelianceMallAurangabad,Hindi,10:30,Club,150₹,160,2
Maharashtra,Aurangabad,InoxRelianceMallAurangabad,Hindi,10:30,Executive,150₹,54,0
Maharashtra,Aurangabad,InoxRelianceMallAurangabad,Hindi,10:30,Royale,150₹,50,6
Maharashtra,Mumbai,MovietimeChembur,Hindi,10:30,3DSilver,130₹,75,1
Maharashtra,Mumbai,MovietimeHubMallGoregaonE,Hindi,10:30,3DMhraja,150₹,44,7
MadhyaPradesh,Bhopal,InoxCityCentreMallBhilwara,Hindi,10:30,Royale,150₹,36,0
MadhyaPradesh,Bhopal,InoxCityCentreMallBhilwara,Hindi,10:30,Club,130₹,127,0
MadhyaPradesh,Bhopal,InoxCityCentreMallBhilwara,Hindi,10:30,Executive,110₹,38,0
Chhattisgarh,Bhilai,MirajCinemasBhilai,Hindi,10:30,3DExecutive,140₹,93,2
Chhattisgarh,Bhilai,MirajCinemasBhilai,Hindi,10:30,3DSpecial,110₹,39,0
UttarPradesh,Ghaziabad,PvrOpulentGhaziabad,Hindi,10:30,3DRecliner,390₹,10,5
UttarPradesh,Ghaziabad,PvrOpulentGhaziabad,Hindi,10:30,3DPrime,220₹,102,17
UttarPradesh,Ghaziabad,PvrOpulentGhaziabad,Hindi,10:30,3DClassic,190₹,104,0
Uttarakhand,Dehradun,SilvercityDehradun,Hindi,10:45,Recliner,500₹,15,14
Uttarakhand,Dehradun,SilvercityDehradun,Hindi,10:45,Gold,200₹,119,4
Uttarakhand,Dehradun,SilvercityDehradun,Hindi,10:45,Silver,150₹,60,2
Telangana,Hyderabad,CinepolisMantraMall,Hindi,10:50,Vip,380₹,10,10
Telangana,Hyderabad,CinepolisMantraMall,Hindi,10:50,Normal,230₹,188,1
Punjab,Mohali,PvrVrPunjabMallMohali,Hindi,11:00,3DPrime,240₹,95,5
Punjab,Mohali,PvrVrPunjabMallMohali,Hindi,11:00,3DClassic,210₹,115,0
Gujarat,Ahmedabad,TimeCinemaAhmedabadCgSquareMall,English,11:00,Infinity900,900₹,12,0
Karnataka,Bellary,RrCinemasBellary,English,11:00,Gold,150₹,173,102
Karnataka,Bellary,RrCinemasBellary,English,11:00,Silver,100₹,132,60
