State,City,Name,Language,Time,Type,Price,Capacity,Booked
Karnataka,Kalaburagi,MirajCinemasShraddhaMallMadoopura,Punjabi,10:00,Gold,280₹,10,0
Karnataka,Kalaburagi,MirajCinemasShraddhaMallMadoopura,Punjabi,10:00,Executive,150₹,192,0
Karnataka,Kalaburagi,MirajCinemasShraddhaMallMadoopura,Punjabi,10:00,Special,130₹,80,0
Karnataka,Bellary,RrCinemasBellary,Punjabi,11:00,Gold,150₹,124,83
Karnataka,Bellary,RrCinemasBellary,Punjabi,11:00,Silver,100₹,242,132
Karnataka,Bangalore,PvrForumMallKoramangala,Punjabi,11:55,Recliner,350₹,12,1
Karnataka,Bangalore,PvrForumMallKoramangala,Punjabi,11:55,Classic,210₹,156,7
Karnataka,Hubli,ShringarCinemaHubli,Punjabi,12:00,Balcony,150₹,190,84
Karnataka,Hubli,ShringarCinemaHubli,Punjabi,12:00,DressCircle,100₹,504,112
Karnataka,Bangalore,PvrMsrElementsMallTanisandhraMainRoad,Punjabi,12:45,Classic,240₹,114,6
Karnataka,Mangalore,PvrForumFizaMallPandeshwar,Punjabi,12:45,Classic,180₹,71,0
Karnataka,Belagavi,InoxCampRoadBelgaum,Punjabi,12:50,Royal,150₹,5,0
Karnataka,Belagavi,InoxCampRoadBelgaum,Punjabi,12:50,Club,130₹,56,0
Karnataka,Belagavi,InoxCampRoadBelgaum,Punjabi,12:50,Executive,110₹,14,0
Karnataka,Davanagere,MovietimeSsGardeniaMallDavanagere,Punjabi,13:00,Gold,230₹,41,0
Karnataka,Davanagere,MovietimeSsGardeniaMallDavanagere,Punjabi,13:00,Premier,200₹,160,0
Karnataka,Bangalore,CinepolisSjrSpectrum,Punjabi,13:40,Vip,400₹,12,0
Karnataka,Bangalore,CinepolisSjrSpectrum,Punjabi,13:40,Normal,200₹,42,0
Karnataka,Bangalore,CinepolisSjrSpectrum,Punjabi,13:40,Premium,200₹,57,10
Karnataka,Bangalore,CinepolisSjrSpectrum,Punjabi,13:40,Executive,200₹,79,0
Karnataka,Bellary,RrCinemasBellary,Punjabi,14:00,Gold,150₹,124,83
Karnataka,Bellary,RrCinemasBellary,Punjabi,14:00,Silver,100₹,242,132
Karnataka,Bangalore,PvrMsrElementsMallTanisandhraMainRoad,Punjabi,15:35,Classic,240₹,95,0
Karnataka,Hubli,PvrLaxmiMallCoenRoad,Punjabi,15:45,Prime,270₹,10,0
Karnataka,Hubli,PvrLaxmiMallCoenRoad,Punjabi,15:45,ClassicPlus,170₹,124,0
Karnataka,Hubli,PvrLaxmiMallCoenRoad,Punjabi,15:45,Classic,150₹,68,0
Karnataka,Hubli,PvrLaxmiMallCoenRoad,Punjabi,15:45,Prime,270₹,10,0
Karnataka,Hubli,PvrLaxmiMallCoenRoad,Punjabi,15:45,ClassicPlus,170₹,124,2
Karnataka,Hubli,PvrLaxmiMallCoenRoad,Punjabi,15:45,Classic,150₹,68,0
Karnataka,Mysore,PvrGarudaMallAlbertVictorRoad,Punjabi,16:40,Classic,140₹,102,15
Karnataka,Mysore,InoxMallOfMysoreMgRoad,Punjabi,16:45,Club,190₹,200,11
Karnataka,Gulbarga,InoxOrchidMallGulbarga,Punjabi,16:50,Club,200₹,71,0
Karnataka,Gulbarga,InoxOrchidMallGulbarga,Punjabi,16:50,Executive,190₹,96,0
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Punjabi,16:50,Recliner,470₹,12,2
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Punjabi,16:50,Prime,290₹,99,18
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Punjabi,16:50,Classic,270₹,108,100
Karnataka,Bellary,RrCinemasBellary,Punjabi,17:00,Gold,150₹,124,83
Karnataka,Bellary,RrCinemasBellary,Punjabi,17:00,Silver,100₹,242,132
Karnataka,Bangalore,InoxCentralMantriJunctionJpNagar,Punjabi,19:10,Royal,450₹,10,1
Karnataka,Bangalore,InoxCentralMantriJunctionJpNagar,Punjabi,19:10,Club,290₹,219,1
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Punjabi,19:20,Recliner,370₹,9,0
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Punjabi,19:20,Prime,230₹,20,0
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Punjabi,19:20,Classic,210₹,85,50
Karnataka,Bangalore,InoxMantriSquareMalleshwaram,Punjabi,19:25,Royal,450₹,8,0
Karnataka,Bangalore,InoxMantriSquareMalleshwaram,Punjabi,19:25,Club,290₹,268,2
Karnataka,Bellary,RrCinemasBellary,Punjabi,20:00,Gold,150₹,124,83
Karnataka,Bellary,RrCinemasBellary,Punjabi,20:00,Silver,100₹,242,132
