State,City,Name,Language,Time,Type,Price,Capacity,Booked
TamilNadu,Kadayam,PvrGrandGaladaPallavaram,Tamil,07:50,Prime,190₹,186,147
TamilNadu,Kadayam,PvrGrandGaladaPallavaram,Tamil,07:50,Classic,60₹,34,6
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,08:00,Club,190₹,262,51
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,08:00,Executive,60₹,34,34
TamilNadu,Kadayam,InoxTheMarinaMallOmr,Tamil,08:00,Club,190₹,430,99
TamilNadu,Kadayam,InoxTheMarinaMallOmr,Tamil,08:00,Executive,60₹,60,36
TamilNadu,Kadayam,PvrHeritageRslEcrChennai,Tamil,08:00,Prime,190₹,166,63
TamilNadu,Kadayam,PvrHeritageRslEcrChennai,Tamil,08:00,Classic,60₹,36,1
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,08:10,Club,190₹,240,28
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,08:10,Executive,60₹,30,30
TamilNadu,Kadayam,InoxTheMarinaMallOmr,Tamil,08:15,Club,190₹,180,6
TamilNadu,Kadayam,InoxTheMarinaMallOmr,Tamil,08:15,Executive,60₹,24,0
TamilNadu,Kadayam,CinepolisBsrMall,Tamil,08:15,Executive,190₹,124,24
TamilNadu,Kadayam,CinepolisBsrMall,Tamil,08:15,Normal,60₹,17,17
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,08:20,Club,190₹,159,6
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,08:20,Executive,60₹,21,21
TamilNadu,Kadayam,VettriTheatresRgbLaser,Tamil,08:20,BoxA,150₹,13,13
TamilNadu,Kadayam,VettriTheatresRgbLaser,Tamil,08:20,BoxB,150₹,13,13
TamilNadu,Kadayam,VettriTheatresRgbLaser,Tamil,08:20,Balcony,150₹,125,107
TamilNadu,Kadayam,VettriTheatresRgbLaser,Tamil,08:20,Gold,110₹,344,192
TamilNadu,Kadayam,VettriTheatresRgbLaser,Tamil,08:20,Silver,110₹,208,5
TamilNadu,Kadayam,PvrAmpaSkywalkMallAminjikarai,Tamil,08:20,Prime,190₹,419,57
TamilNadu,Kadayam,PvrAmpaSkywalkMallAminjikarai,Tamil,08:20,Classic,60₹,75,75
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,08:25,Club,190₹,196,44
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,08:25,Executive,60₹,28,28
TamilNadu,Kadayam,InoxChandraMetroMallVirugambakkam,Tamil,08:25,Silver,190₹,327,31
TamilNadu,Kadayam,InoxChandraMetroMallVirugambakkam,Tamil,08:25,Premiere,60₹,39,12
TamilNadu,Kadayam,InoxTheMarinaMallOmr,Tamil,08:25,Club,190₹,195,27
TamilNadu,Kadayam,InoxTheMarinaMallOmr,Tamil,08:25,Executive,60₹,24,3
TamilNadu,Kadayam,PvrGrandMallVelachery,Tamil,08:25,Prime,190₹,261,185
TamilNadu,Kadayam,PvrGrandMallVelachery,Tamil,08:25,Classic,60₹,36,23
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,08:30,Club,190₹,165,76
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,08:30,Executive,60₹,25,24
TamilNadu,Vellore,PvrVelocitySilkMillGandhiNagar,Tamil,08:30,Prime,179₹,157,21
TamilNadu,Vellore,PvrVelocitySilkMillGandhiNagar,Tamil,08:30,Classic,60₹,26,26
TamilNadu,Chidambaram,LenaCinemas4KDolbyAtmosRgbLaser,Tamil,08:30,BoxAa,190₹,18,18
TamilNadu,Chidambaram,LenaCinemas4KDolbyAtmosRgbLaser,Tamil,08:30,BoxBb,190₹,18,18
