State,City,Name,Language,Time,Type,Price,Capacity,Booked
Delhi,DelhiNcr,PvrPromenadeVasantKunj,English,10:15,Prime,350₹,34,8
Delhi,DelhiNcr,PvrPromenadeVasantKunj,English,10:15,Classic,320₹,50,0
Delhi,DelhiNcr,PvrPromenadeVasantKunj,English,10:15,Prime,350₹,34,8
Delhi,DelhiNcr,PvrPromenadeVasantKunj,English,10:15,Classic,320₹,50,0
Delhi,DelhiNcr,PvrPromenadeVasantKunj,English,10:15,Prime,350₹,44,12
Delhi,DelhiNcr,PvrPromenadeVasantKunj,English,10:15,Classic,320₹,50,0
Delhi,DelhiNcr,CinepolisDlfAvenue,English,10:20,Vip,500₹,4,0
Delhi,DelhiNcr,CinepolisDlfAvenue,English,10:20,Premium,280₹,34,5
Delhi,DelhiNcr,CinepolisDlfAvenue,English,10:20,Executive,260₹,56,0
Delhi,DelhiNcr,CinepolisDlfAvenue,English,10:20,Normal,240₹,42,0
Goa,Goa,InoxPorvorimBardez,English,11:30,RoyalRecliner,320₹,9,0
Goa,Goa,InoxPorvorimBardez,English,11:30,Royal,220₹,60,4
Goa,Goa,InoxPorvorimBardez,English,11:30,Club,200₹,116,0
Goa,Goa,InoxPorvorimBardez,English,11:30,Executive,180₹,36,0
Maharashtra,Mumbai,CinepolisVivianaMall,English,11:30,Premium,200₹,12,0
Maharashtra,Mumbai,CinepolisVivianaMall,English,11:30,Executive,180₹,72,5
Maharashtra,Mumbai,CinepolisVivianaMall,English,11:30,Normal,160₹,24,0
Maharashtra,Mumbai,InoxLaserplexCr2NarimanPoint,English,11:35,Royale,170₹,82,22
Maharashtra,Mumbai,InoxLaserplexCr2NarimanPoint,English,11:35,Club,150₹,160,27
WestBengal,Kolkata,InoxForumMallElginRoad,English,11:55,Royal,160₹,34,26
WestBengal,Kolkata,InoxForumMallElginRoad,English,11:55,DressCircle,150₹,108,35
WestBengal,Kolkata,InoxForumMallElginRoad,English,11:55,Galleria,150₹,36,0
Haryana,Gurgaon,PvrMgfMallGurgaon,English,12:05,Recliner,580₹,8,0
Haryana,Gurgaon,PvrMgfMallGurgaon,English,12:05,Prime,430₹,52,2
Haryana,Gurgaon,PvrMgfMallGurgaon,English,12:05,Classic,330₹,59,3
Chandigarh,Chandigarh,PvrElanteMallChandigarh,English,12:10,Recliner,650₹,13,4
Chandigarh,Chandigarh,PvrElanteMallChandigarh,English,12:10,Classic,230₹,138,6
Maharashtra,Mumbai,PvrMarketCityKurlaW,English,12:15,Prime,320₹,117,9
Maharashtra,Mumbai,PvrMarketCityKurlaW,English,12:15,Classic,280₹,90,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,English,12:50,Insignia,550₹,42,20
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,English,12:50,Insignia,550₹,42,20
UttarPradesh,Noida,PvrLogixCityCentreNoida,English,13:10,Classic,350₹,89,23
Karnataka,Bangalore,InoxGarudaMallMagrathRoad,English,13:15,RoyaleRecliners,400₹,12,1
Karnataka,Bangalore,InoxGarudaMallMagrathRoad,English,13:15,Club,250₹,74,2
Karnataka,Bangalore,InoxGarudaMallMagrathRoad,English,13:15,Executive,250₹,88,0
Maharashtra,Pune,PvrMarketCityVimanNagar,English,13:15,Recliner,350₹,14,7
Maharashtra,Pune,PvrMarketCityVimanNagar,English,13:15,PrimePlus,260₹,13,5
Maharashtra,Pune,PvrMarketCityVimanNagar,English,13:15,Classic,180₹,76,2
Maharashtra,Pune,PvrMarketCityVimanNagar,English,13:15,Prime,180₹,123,13
Karnataka,Bangalore,InoxGarudaMallMagrathRoad,English,13:15,RoyaleRecliners,400₹,12,11
Karnataka,Bangalore,InoxGarudaMallMagrathRoad,English,13:15,Club,250₹,74,10
Karnataka,Bangalore,InoxGarudaMallMagrathRoad,English,13:15,Executive,250₹,88,0
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,English,13:45,Recliner,450₹,7,1
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,English,13:45,PrimePlus,200₹,70,2
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,English,13:45,Prime,150₹,42,0
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,English,13:45,Classic,150₹,42,0
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,English,13:45,Recliner,520₹,34,0
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,English,13:45,Prime,160₹,156,59
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,English,13:45,Classic,140₹,47,0
Haryana,Gurgaon,PvrMegaMallGurgaon,English,13:55,Prime,420₹,51,9
Haryana,Gurgaon,PvrMegaMallGurgaon,English,13:55,Classic,320₹,39,0
Maharashtra,Mumbai,PvrIconInfinitiGoldAndheriW,English,14:30,Luxe,500₹,51,0
