State,City,Name,Language,Time,Type,Price,Capacity,Booked
UttarPradesh,Ghaziabad,ApsaraCinemaGhaziabad,Hindi,09:00,Gold,110₹,340,146
Delhi,DelhiNcr,PvrSelectCityWalkSaket,Hindi,09:00,ReclinersNormal,400₹,9,2
Delhi,DelhiNcr,PvrSelectCityWalkSaket,Hindi,09:00,ClassicSuperior,200₹,47,5
Delhi,DelhiNcr,PvrSelectCityWalkSaket,Hindi,09:00,ClassicNormal,200₹,112,0
Maharashtra,Mumbai,CinepolisAndheri,Hindi,09:05,Platinum,170₹,23,2
Maharashtra,Mumbai,CinepolisAndheri,Hindi,09:05,Premium,100₹,29,2
Maharashtra,Mumbai,CinepolisAndheri,Hindi,09:05,Executive,100₹,95,0
Maharashtra,Mumbai,CinepolisAndheri,Hindi,09:05,Normal,80₹,32,0
Maharashtra,Mumbai,InoxRaghuleelaMegaMallKandivaliW,Hindi,09:25,Gold,130₹,140,0
Maharashtra,Mumbai,InoxRaghuleelaMegaMallKandivaliW,Hindi,09:25,Premiere,130₹,79,0
Maharashtra,Pune,CinepolisSeasonsMall,Hindi,09:30,Normal,130₹,29,0
Maharashtra,Pune,CinepolisSeasonsMall,Hindi,09:30,Premium,130₹,35,6
Maharashtra,Pune,CinepolisSeasonsMall,Hindi,09:30,Executive,130₹,83,0
Maharashtra,Mumbai,CinepolisVivianaMall,Hindi,09:30,Normal,160₹,27,0
Maharashtra,Mumbai,CinepolisVivianaMall,Hindi,09:30,Premium,160₹,46,18
Maharashtra,Mumbai,CinepolisVivianaMall,Hindi,09:30,Executive,160₹,106,2
Gujarat,Surat,CityPlusMultiplexDumasRoad,Hindi,09:45,Executive,300₹,10,0
Gujarat,Surat,CityPlusMultiplexDumasRoad,Hindi,09:45,Gold,100₹,10,0
Gujarat,Surat,CityPlusMultiplexDumasRoad,Hindi,09:45,GoldStar,80₹,10,0
UttarPradesh,Lucknow,FunCinemaFunRepublicMall,Hindi,09:50,Normal,100₹,110,0
UttarPradesh,Lucknow,FunCinemaFunRepublicMall,Hindi,09:50,Executive,100₹,248,13
MadhyaPradesh,Indore,PvrTreasureIslandMallSouthTukoganj,Hindi,10:00,Recliner,250₹,11,4
MadhyaPradesh,Indore,PvrTreasureIslandMallSouthTukoganj,Hindi,10:00,Classic,110₹,48,0
MadhyaPradesh,Indore,PvrTreasureIslandMallSouthTukoganj,Hindi,10:00,Prime,110₹,117,27
Chhattisgarh,Raipur,InoxCityMall36GERoad,Hindi,10:10,Platinum,150₹,31,0
Chhattisgarh,Raipur,InoxCityMall36GERoad,Hindi,10:10,Gold,110₹,192,0
Chhattisgarh,Raipur,InoxCityMall36GERoad,Hindi,10:10,Club,90₹,32,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,Hindi,10:20,Vip,350₹,12,3
Maharashtra,Mumbai,CinepolisSeawoodsLT,Hindi,10:20,Premium,210₹,54,5
Maharashtra,Mumbai,CinepolisSeawoodsLT,Hindi,10:20,Executive,190₹,66,5
Rajasthan,Jaipur,InoxPinkSquareMallRajaPark,Hindi,10:20,Royale,230₹,15,2
Rajasthan,Jaipur,InoxPinkSquareMallRajaPark,Hindi,10:20,Club,140₹,131,0
Rajasthan,Jaipur,InoxPinkSquareMallRajaPark,Hindi,10:20,Executive,112₹,66,0
Gujarat,Surat,CinepolisImperialSquareMall,Hindi,10:20,Normal,100₹,22,0
Gujarat,Surat,CinepolisImperialSquareMall,Hindi,10:20,Premium,100₹,33,2
Gujarat,Surat,CinepolisImperialSquareMall,Hindi,10:20,Executive,100₹,79,0
UttarPradesh,Allahabad,PvrVinayakCivilLines,Hindi,10:30,Recliner,149₹,9,9
UttarPradesh,Allahabad,PvrVinayakCivilLines,Hindi,10:30,Classic,99₹,161,161
UttarPradesh,Allahabad,PvrVinayakCivilLines,Hindi,10:30,Prime,99₹,98,98
UttarPradesh,Lucknow,InoxLucknowCrownMallLucknow,Hindi,10:45,RoyaleRecliners,280₹,12,1
UttarPradesh,Lucknow,InoxLucknowCrownMallLucknow,Hindi,10:45,Royale,150₹,30,7
UttarPradesh,Lucknow,InoxLucknowCrownMallLucknow,Hindi,10:45,Club,140₹,125,0
UttarPradesh,Lucknow,InoxLucknowCrownMallLucknow,Hindi,10:45,Executive,110₹,25,0
MadhyaPradesh,Bhopal,InoxCapitalMallHoshangabadRoad,Hindi,10:55,Club,100₹,185,0
MadhyaPradesh,Bhopal,InoxCapitalMallHoshangabadRoad,Hindi,10:55,Executive,100₹,30,0
MadhyaPradesh,Bhopal,InoxCapitalMallHoshangabadRoad,Hindi,10:55,Royal,100₹,55,6
WestBengal,Siliguri,NewCinemaSiliguri,Hindi,11:00,Sofa,100₹,96,24
WestBengal,Siliguri,NewCinemaSiliguri,Hindi,11:00,Special,60₹,102,28
WestBengal,Siliguri,NewCinemaSiliguri,Hindi,11:00,FirstClass,40₹,285,0
Delhi,DelhiNcr,PvrPromenadeVasantKunj,Hindi,11:00,Prime,300₹,34,12
Delhi,DelhiNcr,PvrPromenadeVasantKunj,Hindi,11:00,Classic,250₹,50,0
Maharashtra,Kalyan,InoxMetroJunctionMallKalyan,Hindi,11:10,Gold,200₹,12,0
Maharashtra,Kalyan,InoxMetroJunctionMallKalyan,Hindi,11:10,Premier,140₹,131,2
Maharashtra,Kalyan,InoxMetroJunctionMallKalyan,Hindi,11:10,Silver,140₹,82,2
Maharashtra,Kalyan,InoxMetroJunctionMallKalyan,Hindi,11:10,Execuitve,112₹,30,0
Maharashtra,Mumbai,InoxNeelyogSquareMallGhatkoparE,Hindi,11:30,Executive,112₹,38,0
Maharashtra,Mumbai,InoxNeelyogSquareMallGhatkoparE,Hindi,11:30,Premier,112₹,158,6
Maharashtra,Mumbai,InoxNeelyogSquareMallGhatkoparE,Hindi,11:30,Silver,112₹,79,6
Gujarat,Surat,InoxVrSuratDumasRoad,Hindi,11:40,RoyalRecliner,330₹,10,2
Gujarat,Surat,InoxVrSuratDumasRoad,Hindi,11:40,Royal,170₹,54,13
Gujarat,Surat,InoxVrSuratDumasRoad,Hindi,11:40,Club,150₹,102,2
Gujarat,Surat,InoxVrSuratDumasRoad,Hindi,11:40,Executive,140₹,34,0
Gujarat,Vadodara,InoxTakshGalaxyMallMadhavpuraVadodara,Hindi,11:45,Club,112₹,36,0
Gujarat,Vadodara,InoxTakshGalaxyMallMadhavpuraVadodara,Hindi,11:45,Royal,112₹,88,4
Gujarat,Vadodara,InoxTakshGalaxyMallMadhavpuraVadodara,Hindi,11:45,Executive,100₹,27,0
UttarPradesh,Ghaziabad,ApsaraCinemaGhaziabad,Hindi,12:00,Gold,110₹,340,148
MadhyaPradesh,Sarni,KantishivaCineplexSarni,Hindi,12:00,Delux,100₹,125,0
MadhyaPradesh,Sarni,KantishivaCineplexSarni,Hindi,12:00,Super,100₹,100,0
MadhyaPradesh,Sarni,KantishivaCineplexSarni,Hindi,12:00,Upper,100₹,56,0
MadhyaPradesh,Sarni,KantishivaCineplexSarni,Hindi,12:00,Lower,100₹,42,0
Rajasthan,Jaipur,InoxSunnyTradeCenterJaipur,Hindi,12:15,RoyaleRecliners,280₹,16,16
Rajasthan,Jaipur,InoxSunnyTradeCenterJaipur,Hindi,12:15,Royal,200₹,54,2
Rajasthan,Jaipur,InoxSunnyTradeCenterJaipur,Hindi,12:15,Club,180₹,146,2
Rajasthan,Jaipur,InoxSunnyTradeCenterJaipur,Hindi,12:15,Executive,160₹,40,4
Karnataka,Himmatnagar,NewStarCityMultiplexMotipura,Hindi,12:45,Platinum,200₹,26,0
Karnataka,Himmatnagar,NewStarCityMultiplexMotipura,Hindi,12:45,Gold,150₹,182,1
Karnataka,Himmatnagar,NewStarCityMultiplexMotipura,Hindi,12:45,Silver,100₹,60,0
Maharashtra,Aurangabad,InoxProzoneMallChilkalthana,Hindi,12:55,RoyaleRecliners,350₹,10,2
Maharashtra,Aurangabad,InoxProzoneMallChilkalthana,Hindi,12:55,Royale,210₹,82,0
Maharashtra,Aurangabad,InoxProzoneMallChilkalthana,Hindi,12:55,Club,190₹,112,0
Maharashtra,Aurangabad,InoxProzoneMallChilkalthana,Hindi,12:55,Executive,170₹,36,0
Goa,Goa,InoxOsiaAWingMargao,Hindi,13:00,RoyalRecliner,240₹,9,0
Goa,Goa,InoxOsiaAWingMargao,Hindi,13:00,Royal,200₹,39,0
Goa,Goa,InoxOsiaAWingMargao,Hindi,13:00,Club,180₹,26,0
Goa,Goa,InoxOsiaAWingMargao,Hindi,13:00,Executive,160₹,22,0
Delhi,DelhiNcr,CinepolisSmartBharatMall,Hindi,13:00,Premium,200₹,30,6
Delhi,DelhiNcr,CinepolisSmartBharatMall,Hindi,13:00,Classic,190₹,65,2
MadhyaPradesh,Gwalior,InoxDbMallRaceCourseRoad,Hindi,13:00,Royale,220₹,46,4
MadhyaPradesh,Gwalior,InoxDbMallRaceCourseRoad,Hindi,13:00,Club,210₹,55,4
MadhyaPradesh,Gwalior,InoxDbMallRaceCourseRoad,Hindi,13:00,Executive,180₹,22,0
UttarPradesh,Kanpur,InoxZSquareMallBadaChauraha,Hindi,13:00,RoyalRecliner,650₹,64,0
Maharashtra,Mumbai,MetroInoxCinemaMGRoad,Hindi,13:10,Insignia,550₹,41,6
Gujarat,Bharuch,InoxShreeRangPalaceZadeshwarRoad,Hindi,13:15,Club,190₹,21,0
Gujarat,Bharuch,InoxShreeRangPalaceZadeshwarRoad,Hindi,13:15,Gold,140₹,177,0
Gujarat,Bharuch,InoxShreeRangPalaceZadeshwarRoad,Hindi,13:15,Silver,140₹,84,0
Rajasthan,Udaipur,PvrCelebrationMallUdaipur,Hindi,13:15,Recliner,300₹,12,0
Rajasthan,Udaipur,PvrCelebrationMallUdaipur,Hindi,13:15,PrimePlus,200₹,39,15
Rajasthan,Udaipur,PvrCelebrationMallUdaipur,Hindi,13:15,Prime,170₹,156,2
Rajasthan,Udaipur,PvrCelebrationMallUdaipur,Hindi,13:15,Classic,150₹,52,0
Gujarat,Vadodara,InoxSevenSeasMallFatehgunj,Hindi,13:20,Silver,150₹,98,2
Gujarat,Vadodara,InoxSevenSeasMallFatehgunj,Hindi,13:20,Executive,140₹,36,0
Gujarat,Vadodara,InoxSevenSeasMallFatehgunj,Hindi,13:20,Premiere,140₹,126,0
Maharashtra,Kolhapur,InoxRelianceMegaMallLaxmipuri,Hindi,13:25,Club,180₹,84,0
Maharashtra,Kolhapur,InoxRelianceMegaMallLaxmipuri,Hindi,13:25,Royale,180₹,21,2
Maharashtra,Kolhapur,InoxRelianceMegaMallLaxmipuri,Hindi,13:25,Executive,170₹,28,0
Gujarat,Surat,InoxDrWorldParvatPatiya,Hindi,13:30,Club,112₹,96,3
Gujarat,Surat,InoxDrWorldParvatPatiya,Hindi,13:30,Executive,112₹,31,0
Gujarat,Surat,InoxDrWorldParvatPatiya,Hindi,13:30,Royal,112₹,53,8
Haryana,Gurgaon,PvrAmbienceGoldGurgaon,Hindi,13:30,PlatinumSuperior,"1,100₹",8,0
Haryana,Gurgaon,PvrAmbienceGoldGurgaon,Hindi,13:30,Platinum,900₹,28,0
MadhyaPradesh,Indore,InoxC21MallSheetalNagar,Hindi,13:30,Normal,210₹,163,0
Haryana,Gurgaon,PvrAmbienceGoldGurgaon,Hindi,13:30,PlatinumSuperior,"1,100₹",16,2
Haryana,Gurgaon,PvrAmbienceGoldGurgaon,Hindi,13:30,Platinum,900₹,28,6
UttarPradesh,Lucknow,FunCinemaFunRepublicMall,Hindi,13:35,Normal,100₹,80,0
UttarPradesh,Lucknow,FunCinemaFunRepublicMall,Hindi,13:35,Executive,100₹,121,23
Gujarat,Gandhinagar,InoxR21Gandhinagar,Hindi,13:50,Ebony,190₹,35,0
Maharashtra,Pune,InoxBundGarden,Hindi,13:55,Royale,350₹,34,0
Gujarat,Surat,InoxRelianceMegaMallUdhna,Hindi,14:10,RoyalRecliner,330₹,8,2
Gujarat,Surat,InoxRelianceMegaMallUdhna,Hindi,14:10,Royal,170₹,38,3
Gujarat,Surat,InoxRelianceMegaMallUdhna,Hindi,14:10,Club,150₹,55,2
Gujarat,Surat,InoxRelianceMegaMallUdhna,Hindi,14:10,Executive,140₹,16,0
Goa,Goa,InoxPorvorimBardez,Hindi,14:30,RoyalRecliner,410₹,13,2
