State,City,Name,Language,Time,Type,Price,Capacity,Booked
Maharashtra,Kolhapur,InoxRelianceMegaMallLaxmipuri,Marathi,11:55,Royale,160₹,37,0
Maharashtra,Kolhapur,InoxRelianceMegaMallLaxmipuri,Marathi,11:55,Club,150₹,98,0
Maharashtra,Kolhapur,InoxRelianceMegaMallLaxmipuri,Marathi,11:55,Executive,150₹,24,0
Maharashtra,Mumbai,CinepolisVipVivianaMall,Marathi,13:10,Vip,500₹,71,10
Maharashtra,Mumbai,PvrOrionPanvel,Marathi,13:45,Classic,139₹,28,0
Maharashtra,Mumbai,PvrOrionPanvel,Marathi,13:45,Prime,139₹,115,19
Maharashtra,Mumbai,PvrOrionPanvel,Marathi,13:45,PrimePlus,139₹,34,9
Maharashtra,Pune,InoxElproCitySquarePune,Marathi,14:50,Royale,210₹,71,0
Maharashtra,Pune,InoxElproCitySquarePune,Marathi,14:50,Club,190₹,85,4
Maharashtra,Pune,InoxElproCitySquarePune,Marathi,14:50,Executive,170₹,34,0
Maharashtra,Mumbai,PvrCityOneMallPimpri,Marathi,15:30,Prime,150₹,132,9
Maharashtra,Mumbai,PvrCityOneMallPimpri,Marathi,15:30,Classic,130₹,39,0
Maharashtra,Mumbai,PvrMarketCityKurlaW,Marathi,16:00,Prime,220₹,155,21
Maharashtra,Mumbai,PvrMarketCityKurlaW,Marathi,16:00,Classic,190₹,85,4
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,Marathi,16:45,Recliner,290₹,34,9
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,Marathi,16:45,Prime,190₹,156,19
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,Marathi,16:45,Classic,170₹,47,0
Maharashtra,Mumbai,MovietimeChembur,Marathi,18:15,Silver,180₹,127,7
Maharashtra,Mumbai,MovietimeChembur,Marathi,18:15,Gold,180₹,16,0
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Marathi,18:30,Recliner,650₹,14,0
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Marathi,18:30,Prime,330₹,189,0
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Marathi,18:30,Classic,280₹,40,0
Maharashtra,Pune,CinepolisSeasonsMall,Marathi,18:55,Premium,220₹,34,8
Maharashtra,Pune,CinepolisSeasonsMall,Marathi,18:55,Executive,220₹,84,3
Maharashtra,Pune,CinepolisSeasonsMall,Marathi,18:55,Normal,200₹,31,0
Maharashtra,Mumbai,CinepolisVipVivianaMall,Marathi,19:05,Vip,600₹,71,10
Maharashtra,Mumbai,MovietimeHubMallGoregaonE,Marathi,19:15,Gold,160₹,196,51
Maharashtra,Nashik,CinemaxCityCenterNasik,Marathi,19:45,Recliner,360₹,14,12
Maharashtra,Nashik,CinemaxCityCenterNasik,Marathi,19:45,Prime,220₹,139,71
Maharashtra,Nashik,CinemaxCityCenterNasik,Marathi,19:45,Classic,180₹,34,0
