City,Name,Language,Time,Type,Price,Capacity,Booked
Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,10:30,Silver,190₹,103,6
Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,10:30,ExecutiveOffline,160₹,72,0
Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,10:30,NormalOffline,100₹,18,0
Trivandrum,SriKalidasMPlex4KRgbLaserDolbyAtmos,Malayalam,11:00,DiamondSofa,200₹,4,0
Trivandrum,SriKalidasMPlex4KRgbLaserDolbyAtmos,Malayalam,11:00,Gold,150₹,170,0
Kochi,PvrLuluKochi,Malayalam,11:00,Recliner,290₹,9,0
Kochi,PvrLuluKochi,Malayalam,11:00,Prime,160₹,64,0
Kochi,PvrLuluKochi,Malayalam,11:00,ClassicPlus,140₹,91,0
Kochi,PvrLuluKochi,Malayalam,11:00,Classic,110₹,39,0
Thrissur,InoxSobhaCityMall,Malayalam,11:05,RoyalRecliner,200₹,10,0
Thrissur,InoxSobhaCityMall,Malayalam,11:05,Club,130₹,66,0
Thrissur,InoxSobhaCityMall,Malayalam,11:05,Royal,130₹,13,1
Thrissur,InoxSobhaCityMall,Malayalam,11:05,Executive,100₹,22,0
Thalayolaparambu,CarnivalThalayolaparambu,Malayalam,11:30,Gold,110₹,144,6
Trivandrum,CarnivalGreenfieldCinemaKaryavattom,Malayalam,11:30,ExecutiveOffline,100₹,119,25
Kochi,SaritaCinemasKochi,Malayalam,12:00,Saphire,150₹,42,42
Kochi,SaritaCinemasKochi,Malayalam,12:00,EmeraldCircle,150₹,370,342
Kochi,SaritaCinemasKochi,Malayalam,12:00,Ruby,150₹,821,821
Kakkattil,AjanthaCinemasKakkattil,Malayalam,13:30,Executive,110₹,199,0
Muvattupuzha,CarnivalGrandCentreMallAramanaJunction,Malayalam,13:35,ExecutiveOffline,130₹,96,3
Trivandrum,SriKalidasMPlex4KRgbLaserDolbyAtmos,Malayalam,14:30,DiamondSofa,200₹,4,0
Trivandrum,SriKalidasMPlex4KRgbLaserDolbyAtmos,Malayalam,14:30,Gold,150₹,170,0
Karunagappally,CarnivalHJComplexLalajiJunction,Malayalam,14:45,ClassicOffline,100₹,118,0
Kochi,SaritaCinemasKochi,Malayalam,15:00,Saphire,150₹,42,42
Kochi,SaritaCinemasKochi,Malayalam,15:00,EmeraldCircle,150₹,370,342
Kochi,SaritaCinemasKochi,Malayalam,15:00,Ruby,150₹,821,821
Muvattupuzha,CarnivalGrandCentreMallAramanaJunction,Malayalam,16:05,ExecutiveOffline,130₹,96,0
Kakkattil,AjanthaCinemasKakkattil,Malayalam,16:30,Executive,110₹,199,0
Trivandrum,CarnivalGreenfieldCinemaKaryavattom,Malayalam,17:00,ExecutiveOffline,160₹,119,25
Kochi,SaritaCinemasKochi,Malayalam,18:00,Saphire,150₹,42,42
Kochi,SaritaCinemasKochi,Malayalam,18:00,EmeraldCircle,150₹,370,342
Kochi,SaritaCinemasKochi,Malayalam,18:00,Ruby,150₹,821,821
Trivandrum,SriKalidasMPlex4KRgbLaserDolbyAtmos,Malayalam,18:15,DiamondSofa,200₹,4,0
Trivandrum,SriKalidasMPlex4KRgbLaserDolbyAtmos,Malayalam,18:15,Gold,150₹,170,0
Thalayolaparambu,CarnivalThalayolaparambu,Malayalam,19:00,Gold,110₹,144,6
Bangalore,PvrMsrElementsMallTanisandhraMainRoad,Malayalam,19:00,Classic,170₹,95,8
Kakkattil,AjanthaCinemasKakkattil,Malayalam,19:30,Executive,110₹,199,0
Kochi,SaritaCinemasKochi,Malayalam,21:00,Saphire,150₹,42,42
Kochi,SaritaCinemasKochi,Malayalam,21:00,EmeraldCircle,150₹,370,342
Kochi,SaritaCinemasKochi,Malayalam,21:00,Ruby,150₹,821,821
Trivandrum,SriKalidasMPlex4KRgbLaserDolbyAtmos,Malayalam,21:30,DiamondSofa,200₹,4,0
Trivandrum,SriKalidasMPlex4KRgbLaserDolbyAtmos,Malayalam,21:30,Gold,150₹,170,0
Karunagappally,CarnivalHJComplexLalajiJunction,Malayalam,22:15,ClassicOffline,110₹,118,15
