State,City,Name,Language,Time,Type,Price,Capacity,Booked
Gujarat,Bhavnagar,MaxusCinemaBhavnagar,Gujarathi,08:00,Sofa,112₹,38,6
Gujarat,Bhavnagar,MaxusCinemaBhavnagar,Gujarathi,08:00,PremierPlus,99₹,272,3
Gujarat,Bhavnagar,MaxusCinemaBhavnagar,Gujarathi,08:00,Premium,99₹,44,0
Gujarat,Surat,InoxRajImperialVarachhaRoad,Gujarathi,08:15,Imperial,240₹,11,2
Gujarat,Surat,InoxRajImperialVarachhaRoad,Gujarathi,08:15,Platinum,112₹,97,1
Gujarat,Surat,InoxRajImperialVarachhaRoad,Gujarathi,08:15,Gold,90₹,248,0
Gujarat,Surat,InoxRajImperialVarachhaRoad,Gujarathi,08:15,Silver,70₹,44,0
Gujarat,Vadodara,CinemarcVip,Gujarathi,08:45,Sofa,90₹,19,0
Gujarat,Vadodara,CinemarcVip,Gujarathi,08:45,Gold,70₹,20,0
Gujarat,Vadodara,CinemarcVip,Gujarathi,08:45,Silver,70₹,87,0
Gujarat,Vadodara,CinemarcVip,Gujarathi,08:45,Premium,70₹,13,0
Gujarat,Bhavnagar,MaxusCinemaBhavnagar,Gujarathi,08:45,Sofa,112₹,35,0
Gujarat,Bhavnagar,MaxusCinemaBhavnagar,Gujarathi,08:45,PremierPlus,99₹,258,0
Gujarat,Bhavnagar,MaxusCinemaBhavnagar,Gujarathi,08:45,Premium,99₹,42,0
Gujarat,Ahmedabad,CinemaxShivAshramRoad,Gujarathi,09:00,Recliner,225₹,21,0
Gujarat,Ahmedabad,CinemaxShivAshramRoad,Gujarathi,09:00,Prime,85₹,199,25
Gujarat,Vadodara,CinemarcAkota,Gujarathi,09:00,Sofa,90₹,19,0
Gujarat,Vadodara,CinemarcAkota,Gujarathi,09:00,Silver,70₹,88,0
Gujarat,Vadodara,CinemarcAkota,Gujarathi,09:00,Premier,70₹,15,0
Gujarat,Vadodara,PvrTransCubeVadodara,Gujarathi,09:00,Recliner,250₹,11,0
Gujarat,Vadodara,PvrTransCubeVadodara,Gujarathi,09:00,Classic,100₹,57,0
Gujarat,Vadodara,PvrTransCubeVadodara,Gujarathi,09:00,Prime,100₹,145,24
Gujarat,Anand,PvrMarutiSolarisAnand,Gujarathi,09:00,ClassicPlus,100₹,22,0
Gujarat,Anand,PvrMarutiSolarisAnand,Gujarathi,09:00,Classic,100₹,22,0
Gujarat,Anand,PvrMarutiSolarisAnand,Gujarathi,09:00,Prime,100₹,85,0
Gujarat,Anand,PvrMarutiSolarisAnand,Gujarathi,09:00,PrimePlus,100₹,38,13
Gujarat,Surat,PvrRahulRajMallDumasRoad,Gujarathi,09:00,Recliner,250₹,24,5
Gujarat,Surat,PvrRahulRajMallDumasRoad,Gujarathi,09:00,Prime,140₹,87,11
Gujarat,Surat,PvrRahulRajMallDumasRoad,Gujarathi,09:00,Classic,120₹,30,0
Gujarat,Surat,PvrRahulRajMallDumasRoad,Gujarathi,09:00,ClassicPlus,120₹,30,0
Gujarat,Surat,InoxRajImperialVarachhaRoad,Gujarathi,09:00,Imperial,260₹,6,3
Gujarat,Surat,InoxRajImperialVarachhaRoad,Gujarathi,09:00,Platinum,140₹,38,0
Gujarat,Surat,InoxRajImperialVarachhaRoad,Gujarathi,09:00,Gold,112₹,143,1
Gujarat,Surat,InoxRajImperialVarachhaRoad,Gujarathi,09:00,Silver,100₹,32,0
Gujarat,Surat,InoxVrSuratDumasRoad,Gujarathi,09:00,RoyalRecliner,230₹,12,0
Gujarat,Surat,InoxVrSuratDumasRoad,Gujarathi,09:00,Royal,140₹,54,0
Gujarat,Surat,InoxVrSuratDumasRoad,Gujarathi,09:00,Club,112₹,159,0
Gujarat,Surat,InoxVrSuratDumasRoad,Gujarathi,09:00,Executive,112₹,34,0
Gujarat,Vadodara,CinemarcVip,Gujarathi,09:05,Sofa,90₹,19,0
Gujarat,Vadodara,CinemarcVip,Gujarathi,09:05,Gold,70₹,20,0
Gujarat,Vadodara,CinemarcVip,Gujarathi,09:05,Silver,70₹,87,0
Gujarat,Vadodara,CinemarcVip,Gujarathi,09:05,Premium,70₹,13,0
Gujarat,Rajkot,InoxRelianceMegaMallRajkot,Gujarathi,09:05,Royal,170₹,45,16
Gujarat,Rajkot,InoxRelianceMegaMallRajkot,Gujarathi,09:05,Club,160₹,72,0
Gujarat,Rajkot,InoxRelianceMegaMallRajkot,Gujarathi,09:05,Executive,140₹,24,0
Gujarat,Vadodara,CinemarcVihar,Gujarathi,09:10,Recliner,150₹,12,0
Gujarat,Vadodara,CinemarcVihar,Gujarathi,09:10,Sofa,90₹,25,0
Gujarat,Vadodara,CinemarcVihar,Gujarathi,09:10,Silver,70₹,345,0
Gujarat,Vadodara,CinemarcVihar,Gujarathi,09:10,Premier,70₹,46,0
Gujarat,Vadodara,CinemarcVihar,Gujarathi,09:10,Executive,70₹,30,0
Gujarat,Vadodara,CinemarcVihar,Gujarathi,09:10,Recliner,150₹,12,0
Gujarat,Vadodara,CinemarcVihar,Gujarathi,09:10,Sofa,90₹,25,0
Gujarat,Vadodara,CinemarcVihar,Gujarathi,09:10,Silver,70₹,345,0
Gujarat,Vadodara,CinemarcVihar,Gujarathi,09:10,Premier,70₹,46,0
Gujarat,Vadodara,CinemarcVihar,Gujarathi,09:10,Executive,70₹,30,0
Gujarat,Bhuj,NyCinemaBhuj,Gujarathi,09:15,Pl,150₹,35,0
Gujarat,Bhuj,NyCinemaBhuj,Gujarathi,09:15,Dm,130₹,189,0
Gujarat,Bhuj,NyCinemaBhuj,Gujarathi,09:15,Gl,100₹,54,0
Gujarat,Bhuj,NyCinemaBhuj,Gujarathi,09:15,Sl,100₹,72,0
Gujarat,Ahmedabad,PvrArvedTranscube,Gujarathi,09:15,Recliner,250₹,10,0
Gujarat,Ahmedabad,PvrArvedTranscube,Gujarathi,09:15,Prime,100₹,188,26
Gujarat,Ahmedabad,PvrArvedTranscube,Gujarathi,09:15,Classic,80₹,53,0
Gujarat,Surat,CinepolisImperialSquareMall,Gujarathi,09:25,Normal,100₹,31,0
Gujarat,Surat,CinepolisImperialSquareMall,Gujarathi,09:25,Premium,100₹,41,0
Gujarat,Surat,CinepolisImperialSquareMall,Gujarathi,09:25,Executive,100₹,207,0
Gujarat,Surat,ValentineMultiplexPipload,Gujarathi,09:25,Executive,110₹,136,21
Gujarat,Surat,ValentineMultiplexPipload,Gujarathi,09:25,Royal,90₹,105,0
Gujarat,Ahmedabad,MirajCityPulseManiNagar,Gujarathi,09:30,Gold,100₹,177,7
Gujarat,Ahmedabad,MirajCityPulseManiNagar,Gujarathi,09:30,Silver,100₹,126,0
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,Gujarathi,09:30,Recliner,350₹,9,0
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,Gujarathi,09:30,PrimePlus,150₹,184,0
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,Gujarathi,09:30,Prime,100₹,80,0
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,Gujarathi,09:30,Classic,90₹,60,0
Gujarat,Vadodara,PvrEvaMallManjalpur,Gujarathi,09:30,Recliner,250₹,14,0
Gujarat,Vadodara,PvrEvaMallManjalpur,Gujarathi,09:30,Prime,100₹,63,0
Gujarat,Vadodara,PvrEvaMallManjalpur,Gujarathi,09:30,PrimePlus,100₹,105,22
Gujarat,Vadodara,PvrEvaMallManjalpur,Gujarathi,09:30,Classic,100₹,63,0
Gujarat,Anand,RajshivalayCinemasAnand,Gujarathi,09:30,Silver,100₹,51,0
Gujarat,Anand,RajshivalayCinemasAnand,Gujarathi,09:30,Gold,100₹,131,0
Gujarat,Anand,RajshivalayCinemasAnand,Gujarathi,09:30,Platinum,100₹,151,0
Maharashtra,Mumbai,CinemaxOdeonGhatkoparE,Gujarathi,09:30,Recliner,160₹,28,0
Maharashtra,Mumbai,CinemaxOdeonGhatkoparE,Gujarathi,09:30,Classic,110₹,52,0
Maharashtra,Mumbai,CinemaxOdeonGhatkoparE,Gujarathi,09:30,Prime,110₹,115,0
Maharashtra,Mumbai,CinemaxOdeonGhatkoparE,Gujarathi,09:30,PrimePlus,110₹,124,31
Maharashtra,Mumbai,PvrGrowelsKandivaliE,Gujarathi,09:30,Recliner,230₹,39,0
Maharashtra,Mumbai,PvrGrowelsKandivaliE,Gujarathi,09:30,Classic,110₹,54,0
Maharashtra,Mumbai,PvrGrowelsKandivaliE,Gujarathi,09:30,Prime,110₹,238,21
Maharashtra,Mumbai,CarnivalAnnexMallBorivali,Gujarathi,09:35,Imperial,150₹,72,0
Gujarat,Ahmedabad,CinepolisAlphaOneMall,Gujarathi,09:45,Premium,150₹,54,1
Gujarat,Ahmedabad,CinepolisAlphaOneMall,Gujarathi,09:45,Executive,130₹,165,0
