City,Name,Language,Time,Type,Price,Capacity,Booked
Asansol,CarnivalSentrumMallAsansol,Hindi,07:25,Gold,150₹,43,0
Asansol,CarnivalSentrumMallAsansol,Hindi,07:25,Silver,110₹,150,2
Asansol,CarnivalSentrumMallAsansol,Hindi,07:25,Premium,110₹,63,0
Kolkata,CarnivalSaltLake,Hindi,08:00,Silver,140₹,166,0
Ahmedabad,DeviMultiplexNaroda,Hindi,09:30,Gold,140₹,100,0
Ahmedabad,DeviMultiplexNaroda,Hindi,09:30,Platinum,140₹,100,0
Ludhiana,CinepolisMbdNeopolisMall,Hindi,09:45,Premium,200₹,95,0
Mohali,CinepolisBestechSquareMall,Hindi,09:50,Vip,400₹,9,1
Mohali,CinepolisBestechSquareMall,Hindi,09:50,Premium,220₹,30,0
Mohali,CinepolisBestechSquareMall,Hindi,09:50,Executive,200₹,59,3
Mohali,CinepolisBestechSquareMall,Hindi,09:50,Normal,180₹,22,0
Veraval,SachiMultiplexVeraval,Hindi,10:00,Captain,180₹,68,0
Veraval,SachiMultiplexVeraval,Hindi,10:00,Crew,180₹,60,0
Amritsar,CinepolisMallOfAmritsar,Hindi,10:00,Vip,400₹,11,0
Amritsar,CinepolisMallOfAmritsar,Hindi,10:00,Executive,190₹,38,2
Amritsar,CinepolisMallOfAmritsar,Hindi,10:00,Normal,180₹,39,0
Bhilai,PvrTreasureIslandBhilai,Hindi,11:00,PrimePlus,170₹,43,20
Bhilai,PvrTreasureIslandBhilai,Hindi,11:00,Classic,112₹,33,0
Bhilai,PvrTreasureIslandBhilai,Hindi,11:00,Prime,112₹,86,23
Nadiad,InoxOpalOneMallNadiad,Hindi,12:10,RoyalRecliners,180₹,15,0
Nadiad,InoxOpalOneMallNadiad,Hindi,12:10,Club,140₹,51,1
Nadiad,InoxOpalOneMallNadiad,Hindi,12:10,Executive,140₹,34,0
Nadiad,InoxOpalOneMallNadiad,Hindi,12:10,Royal,140₹,28,4
Vadodara,InoxTakshGalaxyMallMadhavpuraVadodara,Hindi,12:10,Club,150₹,60,0
Vadodara,InoxTakshGalaxyMallMadhavpuraVadodara,Hindi,12:10,Executive,150₹,20,0
Vadodara,InoxTakshGalaxyMallMadhavpuraVadodara,Hindi,12:10,Royal,150₹,62,0
Jamnagar,InoxCrystalMallJamnagar,Hindi,12:15,Club,140₹,116,0
Jamnagar,InoxCrystalMallJamnagar,Hindi,12:15,Executive,140₹,20,0
Jamnagar,InoxCrystalMallJamnagar,Hindi,12:15,Royal,140₹,34,4
Kota,InoxAhluwaliasGreatMallDhanmandi,Hindi,12:15,Club,160₹,93,0
Kota,InoxAhluwaliasGreatMallDhanmandi,Hindi,12:15,Royale,160₹,37,2
Kota,InoxAhluwaliasGreatMallDhanmandi,Hindi,12:15,Executive,140₹,45,0
Udaipur,InoxLakeCityMallAshokNagar,Hindi,12:20,Club,170₹,175,0
Udaipur,InoxLakeCityMallAshokNagar,Hindi,12:20,Executive,150₹,25,0
Gwalior,FunCinemaDdCityMall,Hindi,12:25,Executive,190₹,118,13
Gwalior,FunCinemaDdCityMall,Hindi,12:25,Normal,180₹,110,0
Gandhinagar,InoxR21Gandhinagar,Hindi,12:30,Ebony,190₹,35,0
Lucknow,FunCinemaFunRepublicMall,Hindi,12:30,Executive,150₹,121,7
Lucknow,FunCinemaFunRepublicMall,Hindi,12:30,Normal,130₹,80,0
DelhiNcr,CinepolisCrossRiverMall,Hindi,12:30,Vip,421₹,5,1
DelhiNcr,CinepolisCrossRiverMall,Hindi,12:30,Executive,252₹,108,21
DelhiNcr,CinepolisCrossRiverMall,Hindi,12:30,Normal,244₹,143,2
Jaipur,InoxGtCentralMallMalviyaNagar,Hindi,12:35,Kiddles,240₹,34,23
Lucknow,InoxRiversideMallGomtiNagar,Hindi,12:35,Club,160₹,93,11
Lucknow,InoxRiversideMallGomtiNagar,Hindi,12:35,Executive,140₹,20,0
Rajkot,InoxRWorldRajkot,Hindi,12:35,Gold,140₹,133,25
Rajkot,InoxRWorldRajkot,Hindi,12:35,Silver,140₹,41,0
Surat,InoxDrWorldParvatPatiya,Hindi,12:40,Club,140₹,55,0
Surat,InoxDrWorldParvatPatiya,Hindi,12:40,Executive,140₹,11,0
Surat,InoxDrWorldParvatPatiya,Hindi,12:40,Royal,140₹,22,2
Kota,FunCinemaCityMall,Hindi,12:40,Normal,140₹,60,0
Kota,FunCinemaCityMall,Hindi,12:40,Executive,140₹,94,2
Ranchi,PvrNuclessMallRanchi,Hindi,12:45,PrimePlus,350₹,15,9
Ranchi,PvrNuclessMallRanchi,Hindi,12:45,Prime,300₹,57,10
Ranchi,PvrNuclessMallRanchi,Hindi,12:45,ClassicPlus,250₹,98,6
Ranchi,PvrNuclessMallRanchi,Hindi,12:45,Classic,240₹,28,0
Kolhapur,InoxRelianceMegaMallLaxmipuri,Hindi,12:45,Club,170₹,84,0
Kolhapur,InoxRelianceMegaMallLaxmipuri,Hindi,12:45,Executive,170₹,28,0
Kolhapur,InoxRelianceMegaMallLaxmipuri,Hindi,12:45,Royale,170₹,21,2
Gandhinagar,InoxR16Gandhinagar,Hindi,12:50,Platinum,190₹,6,0
Gandhinagar,InoxR16Gandhinagar,Hindi,12:50,Gold,140₹,95,0
Gandhinagar,InoxR16Gandhinagar,Hindi,12:50,Silver,140₹,16,0
Vadodara,InoxSevenSeasMallFatehgunj,Hindi,12:50,Gold,320₹,10,0
Vadodara,InoxSevenSeasMallFatehgunj,Hindi,12:50,Silver,150₹,74,5
Vadodara,InoxSevenSeasMallFatehgunj,Hindi,12:50,Executive,140₹,40,0
Vadodara,InoxSevenSeasMallFatehgunj,Hindi,12:50,Premiere,140₹,100,0
Beawar,GoldCinemaBeawar,Hindi,13:00,Diamond,240₹,172,0
Beawar,GoldCinemaBeawar,Hindi,13:00,Gold,220₹,138,0
Beawar,GoldCinemaBeawar,Hindi,13:00,Silver,170₹,80,0
Kolkata,InoxSwabhumiMaulanaAzadSarani,Hindi,13:00,Royal,250₹,16,0
Kolkata,InoxSwabhumiMaulanaAzadSarani,Hindi,13:00,Club,210₹,133,5
Kolkata,InoxSwabhumiMaulanaAzadSarani,Hindi,13:00,Executive,180₹,33,0
Bhopal,CinepolisAashimaMall,Hindi,13:00,Normal,150₹,30,0
Bhopal,CinepolisAashimaMall,Hindi,13:00,Premium,150₹,71,21
Bhopal,CinepolisAashimaMall,Hindi,13:00,Executive,150₹,77,0
Indore,InoxC21MallSheetalNagar,Hindi,13:15,Cl,300₹,33,0
Indore,InoxC21MallSheetalNagar,Hindi,13:15,Ry,300₹,63,0
Indore,CarnivalMalharMegaMallVijayNagar,Hindi,14:15,Silver,160₹,122,21
Indore,CarnivalMalharMegaMallVijayNagar,Hindi,14:15,Premium,150₹,144,18
Ahmedabad,PvrArvedTranscube,Hindi,14:45,Classic,140₹,39,0
Ahmedabad,PvrArvedTranscube,Hindi,14:45,Prime,140₹,96,62
Kanpur,PvrSouthXMall,Hindi,15:15,Recliner,320₹,13,10
Kanpur,PvrSouthXMall,Hindi,15:15,Prime,210₹,181,7
Kanpur,PvrSouthXMall,Hindi,15:15,Classic,170₹,38,0
Surat,CinepolisImperialSquareMall,Hindi,15:50,Premium,170₹,33,4
Surat,CinepolisImperialSquareMall,Hindi,15:50,Normal,150₹,22,0
Surat,CinepolisImperialSquareMall,Hindi,15:50,Executive,150₹,67,2
Surat,InoxRajImperialVarachhaRoad,Hindi,16:10,Imperial,390₹,5,5
Surat,InoxRajImperialVarachhaRoad,Hindi,16:10,Platinum,240₹,20,0
Surat,InoxRajImperialVarachhaRoad,Hindi,16:10,Gold,210₹,23,0
Surat,InoxRajImperialVarachhaRoad,Hindi,16:10,Silver,190₹,10,0
Allahabad,PvrVinayakCivilLines,Hindi,16:10,Recliner,360₹,10,6
Allahabad,PvrVinayakCivilLines,Hindi,16:10,Prime,210₹,72,43
Allahabad,PvrVinayakCivilLines,Hindi,16:10,Classic,190₹,136,8
Surat,InoxRajImperialVarachhaRoad,Hindi,16:10,Imperial,390₹,5,5
Surat,InoxRajImperialVarachhaRoad,Hindi,16:10,Platinum,240₹,20,0
Surat,InoxRajImperialVarachhaRoad,Hindi,16:10,Gold,210₹,23,0
Surat,InoxRajImperialVarachhaRoad,Hindi,16:10,Silver,190₹,10,0
Aurangabad,InoxTapadiaMallTownCenter,Hindi,16:15,Silver,190₹,174,23
Aurangabad,InoxTapadiaMallTownCenter,Hindi,16:15,Premiere,180₹,37,0
Lucknow,PvrPhoenixUnitedMallAlambagh,Hindi,16:25,Prime,280₹,7,7
Lucknow,PvrPhoenixUnitedMallAlambagh,Hindi,16:25,Classic,230₹,104,38
Raipur,CinemaxCityCenterPandri,Hindi,16:30,Prime,112₹,145,109
Raipur,CinemaxCityCenterPandri,Hindi,16:30,Classic,100₹,26,0
Rajkot,InoxRelianceMegaMallRajkot,Hindi,17:00,RoyalRecliners,250₹,6,6
Rajkot,InoxRelianceMegaMallRajkot,Hindi,17:00,Royal,200₹,29,15
Rajkot,InoxRelianceMegaMallRajkot,Hindi,17:00,Club,180₹,55,10
Rajkot,InoxRelianceMegaMallRajkot,Hindi,17:00,Executive,160₹,22,0
Vadodara,PvrTransCubeVadodara,Hindi,17:45,Recliner,300₹,8,0
Vadodara,PvrTransCubeVadodara,Hindi,17:45,Classic,150₹,39,0
