City,Name,Language,Time,Type,Price,Capacity,Booked
Noida,PvrLogixCityCentre4DxNoida,Hindi,09:00,Classic,375₹,80,3
Mumbai,PvrIconInfinitiAndheriW,English,09:10,DboxRecliner,350₹,16,0
Mumbai,PvrIconInfinitiAndheriW,English,09:10,DboxPrime,220₹,40,10
Mumbai,PvrIconInfinitiAndheriW,English,09:10,Prime,120₹,180,0
Mumbai,PvrIconInfinitiAndheriW,English,09:10,Classic,110₹,60,0
Mumbai,PvrIconInfinitiGoldAndheriW,English,11:10,DboxLuxe,500₹,33,13
Mumbai,PvrIconInfinitiGoldAndheriW,English,11:10,Luxe,400₹,51,0
Mumbai,PvrIconInfinitiAndheriW,English,12:15,DboxRecliner,500₹,16,0
Mumbai,PvrIconInfinitiAndheriW,English,12:15,DboxPrime,260₹,40,3
Mumbai,PvrIconInfinitiAndheriW,English,12:15,Prime,160₹,180,4
Mumbai,PvrIconInfinitiAndheriW,English,12:15,Classic,120₹,60,0
Mumbai,PvrIconInfinitiGoldAndheriW,English,14:15,DboxLuxe,600₹,33,12
Mumbai,PvrIconInfinitiGoldAndheriW,English,14:15,Luxe,500₹,51,6
Mumbai,PvrIconInfinitiAndheriW,English,15:20,DboxRecliner,500₹,16,3
Mumbai,PvrIconInfinitiAndheriW,English,15:20,DboxPrime,260₹,40,10
Mumbai,PvrIconInfinitiAndheriW,English,15:20,Prime,160₹,180,5
Mumbai,PvrIconInfinitiAndheriW,English,15:20,Classic,120₹,60,0
Surat,PvrRahulRaj4DxDumasRoad,Hindi,17:00,4DxPrime,440₹,60,20
Surat,PvrRahulRaj4DxDumasRoad,Hindi,17:00,4DxClassic,420₹,24,0
Mumbai,PvrIconInfinitiAndheriW,English,18:25,DboxRecliner,550₹,16,4
Mumbai,PvrIconInfinitiAndheriW,English,18:25,DboxPrime,310₹,40,3
Mumbai,PvrIconInfinitiAndheriW,English,18:25,Prime,210₹,180,0
Mumbai,PvrIconInfinitiAndheriW,English,18:25,Classic,160₹,60,0
Mumbai,CinepolisSeawoodsLT,Hindi,19:30,Normal,500₹,96,20
Mumbai,PvrIconInfinitiGoldAndheriW,English,20:25,DboxLuxe,700₹,33,11
Mumbai,PvrIconInfinitiGoldAndheriW,English,20:25,Luxe,600₹,51,0
Mumbai,PvrIconInfinitiAndheriW,English,21:30,DboxRecliner,550₹,16,2
Mumbai,PvrIconInfinitiAndheriW,English,21:30,DboxPrime,320₹,40,3
Mumbai,PvrIconInfinitiAndheriW,English,21:30,Prime,220₹,180,2
Mumbai,PvrIconInfinitiAndheriW,English,21:30,Classic,180₹,60,0
DelhiNcr,PvrSelectCityWalkGoldSaket,English,22:35,DboxPlatinum,500₹,7,5
DelhiNcr,PvrSelectCityWalkGoldSaket,English,22:35,Platinum,400₹,24,12
Surat,PvrRahulRaj4DxDumasRoad,Hindi,23:00,4DxPrime,480₹,60,8
Surat,PvrRahulRaj4DxDumasRoad,Hindi,23:00,4DxClassic,460₹,24,0
