State,City,Name,Language,Time,Type,Price,Capacity,Booked
WestBengal,Kolkata,InoxQuestMallBallygunge,English,06:00,RoyalRecliner,330₹,12,0
WestBengal,Kolkata,InoxQuestMallBallygunge,English,06:00,Club,200₹,172,0
WestBengal,Kolkata,InoxQuestMallBallygunge,English,06:00,Executive,200₹,40,0
WestBengal,Kolkata,InoxQuestMallBallygunge,English,06:00,Royal,200₹,62,0
Maharashtra,Mumbai,InoxMegaplexInorbitMall,English,08:55,Silver,230₹,79,2
Maharashtra,Mumbai,InoxMegaplexInorbitMall,English,08:55,Executive,200₹,80,0
Maharashtra,Mumbai,InoxMegaplexInorbitMall,English,08:55,Premiere,200₹,120,3
WestBengal,Kolkata,InoxQuestMallBallygunge,English,09:00,RoyalRecliner,220₹,8,0
WestBengal,Kolkata,InoxQuestMallBallygunge,English,09:00,Club,140₹,112,0
WestBengal,Kolkata,InoxQuestMallBallygunge,English,09:00,Executive,140₹,24,0
WestBengal,Kolkata,InoxQuestMallBallygunge,English,09:00,Royal,140₹,28,0
Delhi,DelhiNcr,CinepolisSmartBharatMall,English,09:00,Premium,170₹,30,4
Delhi,DelhiNcr,CinepolisSmartBharatMall,English,09:00,Classic,170₹,65,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,English,09:05,RoyalRecliner,190₹,14,2
Maharashtra,Mumbai,InoxRCityGhatkoparW,English,09:05,Club,112₹,65,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,English,09:05,Royal,112₹,40,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,English,09:05,Executive,90₹,35,0
Maharashtra,Mumbai,InoxRaghuleelaMallVashi,English,09:05,Executive,112₹,22,0
Maharashtra,Mumbai,InoxRaghuleelaMallVashi,English,09:05,Premier,112₹,118,0
Maharashtra,Mumbai,InoxRaghuleelaMallVashi,English,09:05,Silver,112₹,28,3
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,English,09:05,RoyalRecliner,190₹,14,2
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,English,09:05,Club,112₹,65,0
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,English,09:05,Royal,112₹,40,0
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,English,09:05,Executive,90₹,35,0
Delhi,DelhiNcr,InoxInsigniaAtEpicuriaNehruPlace,English,09:05,Insignia,553₹,30,0
UttarPradesh,Lucknow,CinepolisOneAwadhCenterMall,English,09:15,Vip,400₹,18,2
UttarPradesh,Lucknow,CinepolisOneAwadhCenterMall,English,09:15,Normal,140₹,25,0
UttarPradesh,Lucknow,CinepolisOneAwadhCenterMall,English,09:15,Premium,140₹,51,3
UttarPradesh,Lucknow,CinepolisOneAwadhCenterMall,English,09:15,Executive,140₹,69,0
Maharashtra,Mumbai,MetroInoxCinemaMGRoad,English,09:25,Club,130₹,144,0
Maharashtra,Mumbai,MetroInoxCinemaMGRoad,English,09:25,Royale,130₹,46,0
Maharashtra,Mumbai,MetroInoxCinemaMGRoad,English,09:25,Executive,112₹,36,0
Delhi,DelhiNcr,PvrPromenadeVasantKunj,English,09:50,Prime,350₹,21,0
Delhi,DelhiNcr,PvrPromenadeVasantKunj,English,09:50,Classic,300₹,84,0
Delhi,DelhiNcr,PvrPromenadeVasantKunj,English,09:50,Prime,350₹,21,2
Delhi,DelhiNcr,PvrPromenadeVasantKunj,English,09:50,Classic,300₹,84,0
Haryana,Gurgaon,PvrAmbienceGoldGurgaon,English,10:00,Platinum,500₹,28,0
Haryana,Gurgaon,PvrAmbienceGoldGurgaon,English,10:00,PlatinumSuperior,500₹,8,3
Gujarat,Ahmedabad,TimeCinemaAhmedabadCgSquareMall,English,10:00,Standard180,180₹,84,0
Maharashtra,Mumbai,PvrGrowelsKandivaliE,English,10:00,Classic,110₹,32,0
Maharashtra,Mumbai,PvrGrowelsKandivaliE,English,10:00,Prime,110₹,164,26
Karnataka,Bangalore,InoxGarudaMallMagrathRoad,English,10:25,RoyaleRecliners,220₹,12,2
Karnataka,Bangalore,InoxGarudaMallMagrathRoad,English,10:25,Club,160₹,74,2
Karnataka,Bangalore,InoxGarudaMallMagrathRoad,English,10:25,Executive,150₹,88,0
Karnataka,Bangalore,InoxMantriSquareMalleshwaram,English,11:00,Insignia,300₹,48,4
Maharashtra,Mumbai,PvrIconInfinitiGoldAndheriW,English,11:00,Luxe,400₹,51,0
Maharashtra,Mumbai,PvrIconInfinitiGoldAndheriW,English,11:00,LuxeSuperior,400₹,33,0
Maharashtra,Pune,InoxAmanoraMallHadapsar,English,11:15,Royale,270₹,46,2
Karnataka,Bangalore,InoxRmzGalleriaMallYelahanka,English,11:20,Royale,250₹,9,2
Karnataka,Bangalore,InoxRmzGalleriaMallYelahanka,English,11:20,Club,180₹,70,2
Karnataka,Bangalore,InoxRmzGalleriaMallYelahanka,English,11:20,Executive,170₹,128,3
Chandigarh,Chandigarh,Pvr4DxElanteChandigarh,English,11:30,Classic,350₹,92,3
MadhyaPradesh,Indore,InoxC21MallSheetalNagar,English,11:30,Cl,200₹,33,0
MadhyaPradesh,Indore,InoxC21MallSheetalNagar,English,11:30,Ry,200₹,63,6
Maharashtra,Mumbai,CinepolisAndheri,English,11:30,Platinum,170₹,26,4
Maharashtra,Mumbai,CinepolisAndheri,English,11:30,Premium,100₹,31,2
Maharashtra,Mumbai,CinepolisAndheri,English,11:30,Executive,100₹,94,0
Maharashtra,Mumbai,CinepolisAndheri,English,11:30,Normal,80₹,32,2
Maharashtra,Mumbai,CinepolisSeawoodsLT,English,11:35,Normal,350₹,96,3
UttarPradesh,Noida,PvrLogixCityCentre4DxNoida,English,11:40,Classic,375₹,92,21
Karnataka,Bangalore,PvrMsrElementsMallTanisandhraMainRoad,English,11:45,Classic,112₹,95,11
Maharashtra,Pune,InoxBundGarden,English,11:55,Royale,230₹,34,20
Delhi,DelhiNcr,CinepolisDlfAvenue,English,11:55,Normal,350₹,96,5
Delhi,DelhiNcr,CinepolisSmartBharatMall,English,12:25,Premium,220₹,113,3
Delhi,DelhiNcr,CinepolisSmartBharatMall,English,12:25,Classic,210₹,75,0
UttarPradesh,Lucknow,CinepolisOneAwadhCenterMall,English,12:30,Vip,450₹,10,0
UttarPradesh,Lucknow,CinepolisOneAwadhCenterMall,English,12:30,Premium,170₹,35,2
UttarPradesh,Lucknow,CinepolisOneAwadhCenterMall,English,12:30,Executive,160₹,67,0
UttarPradesh,Lucknow,CinepolisOneAwadhCenterMall,English,12:30,Normal,150₹,25,0
Karnataka,Bangalore,PvrPhoenixMarketcityMall4DxWhitefield,English,12:30,Classic,280₹,88,19
