City,Name,Language,Time,Type,Price,Capacity,Booked
Noida,PvrLogixCityCentreNoida,Punjabi,09:00,Classic,190₹,76,2
Moga,NeelamNovaCinemazMoga,Punjabi,09:00,Gold,150₹,100,0
Amritsar,PvrSctAmritsar,Punjabi,09:00,Recliner,330₹,30,0
Amritsar,PvrSctAmritsar,Punjabi,09:00,Prime,150₹,61,0
Amritsar,PvrSctAmritsar,Punjabi,09:00,Classic,140₹,79,0
Ludhiana,PvrFlamezMallGurudevNagar,Punjabi,09:00,Prime,155₹,25,2
Ludhiana,PvrFlamezMallGurudevNagar,Punjabi,09:00,Classic,138₹,115,0
DelhiNcr,CinepolisJanakCinema,Punjabi,09:10,Premium,180₹,28,0
DelhiNcr,CinepolisJanakCinema,Punjabi,09:10,Executive,160₹,111,0
DelhiNcr,CinepolisJanakCinema,Punjabi,09:10,Normal,140₹,26,0
Mohali,CinepolisBestechSquareMall,Punjabi,09:10,Vip,300₹,16,0
Mohali,CinepolisBestechSquareMall,Punjabi,09:10,Premium,180₹,61,0
Mohali,CinepolisBestechSquareMall,Punjabi,09:10,Executive,160₹,199,2
Mohali,CinepolisBestechSquareMall,Punjabi,09:10,Normal,140₹,42,0
Sangrur,OhmOrbitCinemas,Punjabi,09:15,DiamondClass,200₹,11,0
Sangrur,OhmOrbitCinemas,Punjabi,09:15,GoldClass,150₹,122,0
Sangrur,OhmOrbitCinemas,Punjabi,09:15,SilverClass,100₹,40,2
Amritsar,CinepolisCelebrationMall,Punjabi,09:15,Normal,100₹,32,0
Amritsar,CinepolisCelebrationMall,Punjabi,09:15,Premium,100₹,35,4
Amritsar,CinepolisCelebrationMall,Punjabi,09:15,Executive,100₹,96,6
Amritsar,CinepolisMallOfAmritsar,Punjabi,09:15,Executive,180₹,172,2
Amritsar,CinepolisMallOfAmritsar,Punjabi,09:15,Normal,170₹,80,0
DelhiNcr,FunCinemaTdiMall,Punjabi,09:15,Executive,190₹,106,2
DelhiNcr,FunCinemaTdiMall,Punjabi,09:15,Normal,180₹,74,0
Chandigarh,CinepolisTdiJagatMall,Punjabi,09:15,Executive,112₹,139,4
Chandigarh,CinepolisTdiJagatMall,Punjabi,09:15,Normal,95₹,70,0
Chandigarh,FunCinemasRepublicMall,Punjabi,09:15,Vip,150₹,7,0
Chandigarh,FunCinemasRepublicMall,Punjabi,09:15,Normal,100₹,114,0
Chandigarh,FunCinemasRepublicMall,Punjabi,09:15,Executive,100₹,100,0
Fazilka,MrTowerMultiplexFazilka,Punjabi,09:20,Platinum,200₹,15,0
Fazilka,MrTowerMultiplexFazilka,Punjabi,09:20,Gold,80₹,116,0
Fazilka,MrTowerMultiplexFazilka,Punjabi,09:20,Silver,80₹,24,0
Firozpur,SilverBirdCinemas,Punjabi,09:20,Box,400₹,16,0
Firozpur,SilverBirdCinemas,Punjabi,09:20,Gold,150₹,231,69
Amritsar,InoxTriliumMallCircularRoad,Punjabi,09:20,Normal,150₹,310,6
Nakodar,KcAnandMiniplexNakodar,Punjabi,09:30,Gold,150₹,100,0
Nakodar,KcAnandMiniplexNakodar,Punjabi,09:30,Silver,150₹,100,0
Tanda,CarnivalLakhiCinemaGurdaspurRoad,Punjabi,09:30,Gold,150₹,88,0
Tanda,CarnivalLakhiCinemaGurdaspurRoad,Punjabi,09:30,Silver,110₹,51,0
Bathinda,FunCinemaMittalCityMall,Punjabi,09:30,Premium,180₹,145,8
Bathinda,FunCinemaMittalCityMall,Punjabi,09:30,Executive,170₹,86,0
Bathinda,FunCinemaMittalCityMall,Punjabi,09:30,Normal,160₹,66,0
Dhuri,MirajCinemasMgmDhuri,Punjabi,09:30,Gold,180₹,11,3
Dhuri,MirajCinemasMgmDhuri,Punjabi,09:30,Executive,150₹,176,66
Dhuri,MirajCinemasMgmDhuri,Punjabi,09:30,Special,130₹,65,0
Abohar,MirajCinemasKundanPalaceAbohar,Punjabi,09:30,Gold,200₹,29,2
Abohar,MirajCinemasKundanPalaceAbohar,Punjabi,09:30,Special,130₹,142,0
Abohar,MirajCinemasKundanPalaceAbohar,Punjabi,09:30,Executive,130₹,150,2
Jalandhar,InoxJalandharRelianceMallJalandhar,Punjabi,09:30,RoyaleRecliners,350₹,38,0
Jalandhar,InoxJalandharRelianceMallJalandhar,Punjabi,09:30,Royale,180₹,40,2
Jalandhar,InoxJalandharRelianceMallJalandhar,Punjabi,09:30,Club,160₹,140,0
Jalandhar,InoxJalandharRelianceMallJalandhar,Punjabi,09:30,Executive,140₹,50,0
Fazilka,OhmOrbitNovaCinemaSanjeevChowk,Punjabi,09:30,Box1,200₹,100,0
Fazilka,OhmOrbitNovaCinemaSanjeevChowk,Punjabi,09:30,Box2,200₹,100,0
Fazilka,OhmOrbitNovaCinemaSanjeevChowk,Punjabi,09:30,Gold,100₹,100,0
Fazilka,OhmOrbitNovaCinemaSanjeevChowk,Punjabi,09:30,Silver,100₹,100,0
Chandigarh,PvrCentraChandigarh,Punjabi,09:30,Prime,109₹,180,34
Chandigarh,PvrCentraChandigarh,Punjabi,09:30,Classic,94₹,126,0
Pathankot,MirajCinemasPathankot,Punjabi,09:30,Silver,100₹,94,0
Bathinda,FunPlazaKotkapura,Punjabi,09:40,Executive,120₹,191,157
Hoshiarpur,MirajCinemasJsEminentMallHoshiarpur,Punjabi,09:40,Special,100₹,76,0
Hoshiarpur,MirajCinemasJsEminentMallHoshiarpur,Punjabi,09:40,Executive,100₹,152,7
Pathankot,PvrNoveltyMallPathankot,Punjabi,09:40,PrimePlus,150₹,82,4
Pathankot,PvrNoveltyMallPathankot,Punjabi,09:40,Prime,140₹,90,0
Pathankot,PvrNoveltyMallPathankot,Punjabi,09:40,Classic,120₹,70,0
Sunam,CinePlazaSunam,Punjabi,09:45,SofaClass,280₹,15,0
Sunam,CinePlazaSunam,Punjabi,09:45,DiamondClass,110₹,148,16
Sunam,CinePlazaSunam,Punjabi,09:45,GoldClass,110₹,39,0
Sonipat,MaxxCinemaSonipat,Punjabi,09:45,Gold,300₹,12,0
Sonipat,MaxxCinemaSonipat,Punjabi,09:45,Premur,99₹,172,32
Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,09:45,Recliner,350₹,8,2
Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,09:45,Prime,245₹,10,0
Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,09:45,ClassicPlus,160₹,146,14
Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,09:45,Classic,150₹,95,2
Kashipur,SuncityCinemaKashipur,Punjabi,09:45,Platinum,200₹,184,0
Kashipur,SuncityCinemaKashipur,Punjabi,09:45,Gold,150₹,184,0
Kashipur,SuncityCinemaKashipur,Punjabi,09:45,Silver,100₹,184,0
Jammu,MovietimeJammu,Punjabi,09:50,Gold,180₹,18,4
Jammu,MovietimeJammu,Punjabi,09:50,Silver,130₹,39,16
Jammu,MovietimeJammu,Punjabi,09:50,Classic,130₹,73,49
Hanumangarh,GreatGuddusShivMandirCineplex,Punjabi,10:00,GoldC,160₹,119,28
Hanumangarh,GreatGuddusShivMandirCineplex,Punjabi,10:00,SilverC,130₹,72,36
Sangrur,NySangrurSangrur,Punjabi,10:00,Bx,200₹,17,0
Sangrur,NySangrurSangrur,Punjabi,10:00,Dm,150₹,118,2
Sangrur,NySangrurSangrur,Punjabi,10:00,Gl,110₹,102,0
Baghapurana,SuncityCinemaBaghapurana,Punjabi,10:00,Platinum,170₹,27,1
Baghapurana,SuncityCinemaBaghapurana,Punjabi,10:00,Gold,120₹,121,0
Mullanpur,4GNovaCinemazMullanpurMandiRoad,Punjabi,10:00,Platinum,160₹,100,0
Mullanpur,4GNovaCinemazMullanpurMandiRoad,Punjabi,10:00,Gold,110₹,100,0
Mullanpur,4GNovaCinemazMullanpurMandiRoad,Punjabi,10:00,Silver,110₹,100,0
Palampur,PearlNovaCinemaKasoti,Punjabi,10:00,Platinum,220₹,100,0
Palampur,PearlNovaCinemaKasoti,Punjabi,10:00,Gold,160₹,100,0
Palampur,PearlNovaCinemaKasoti,Punjabi,10:00,Silver,100₹,100,0
Rudrapur,MovietimeRudrapur,Punjabi,10:00,Premier,99₹,36,3
Rudrapur,MovietimeRudrapur,Punjabi,10:00,Standara,99₹,14,0
Rudrapur,MovietimeRudrapur,Punjabi,10:00,Star,99₹,28,0
Doraha,NovaCinemazDoraha,Punjabi,10:00,Platinum,200₹,100,0
Doraha,NovaCinemazDoraha,Punjabi,10:00,Gold,180₹,100,0
Doraha,NovaCinemazDoraha,Punjabi,10:00,Silver,150₹,100,0
Moga,NeelamNovaCinemazMoga,Punjabi,10:00,Box,350₹,100,0
Moga,NeelamNovaCinemazMoga,Punjabi,10:00,Sofa,300₹,100,0
Moga,NeelamNovaCinemazMoga,Punjabi,10:00,Gold,160₹,100,0
Fatehabad,FilmiplexCinemaModelTown,Punjabi,10:00,Gold,200₹,102,16
Fatehabad,FilmiplexCinemaModelTown,Punjabi,10:00,Silver,150₹,96,8
Rohtak,CarnivalCinemasLibertyJopSquareMall,Punjabi,10:00,Platinum,160₹,67,2
Rohtak,CarnivalCinemasLibertyJopSquareMall,Punjabi,10:00,Gold,140₹,84,0
Rohtak,CarnivalCinemasLibertyJopSquareMall,Punjabi,10:00,Silver,110₹,28,0
Kurukshetra,CarnivalKessalMallSector17,Punjabi,10:00,Platinum,250₹,25,25
Kurukshetra,CarnivalKessalMallSector17,Punjabi,10:00,Silver,200₹,156,2
Kurukshetra,CarnivalKessalMallSector17,Punjabi,10:00,Gold,200₹,239,31
Karnal,MovietimeSuperMallKarnal,Punjabi,10:00,Gold,130₹,98,12
Karnal,MovietimeSuperMallKarnal,Punjabi,10:00,Silver,130₹,44,0
Karnal,MovietimeSuperMallKarnal,Punjabi,10:00,Normal,130₹,42,0
Amritsar,CinepolisMallOfAmritsar,Punjabi,10:00,Vip,400₹,11,6
Amritsar,CinepolisMallOfAmritsar,Punjabi,10:00,Executive,180₹,50,19
Amritsar,CinepolisMallOfAmritsar,Punjabi,10:00,Normal,170₹,39,0
Ludhiana,CinepolisMbdNeopolisMall,Punjabi,10:00,Vip,250₹,11,2
Ludhiana,CinepolisMbdNeopolisMall,Punjabi,10:00,Premium,140₹,131,7
Ludhiana,CinepolisMbdNeopolisMall,Punjabi,10:00,Executive,130₹,110,2
Ludhiana,CinepolisMbdNeopolisMall,Punjabi,10:00,Normal,120₹,66,0
Ludhiana,PvrPavilionMallLudhiana,Punjabi,10:00,Classic,140₹,70,0
Ludhiana,PvrSilverArcMallGurdevNagar,Punjabi,10:00,Prime,180₹,15,4
Ludhiana,PvrSilverArcMallGurdevNagar,Punjabi,10:00,Classic,140₹,106,0
Jalandhar,PvrCuroJalandhar,Punjabi,10:00,Prime,265₹,26,0
Jalandhar,PvrCuroJalandhar,Punjabi,10:00,ClassicPlus,200₹,36,1
Jalandhar,PvrCuroJalandhar,Punjabi,10:00,Classic,175₹,36,0
DelhiNcr,CinepolisUnityOneMall,Punjabi,10:00,Executive,280₹,116,0
DelhiNcr,CinepolisUnityOneMall,Punjabi,10:00,Normal,270₹,26,0
Chandigarh,PvrElanteMallChandigarh,Punjabi,10:00,Recliner,300₹,15,2
Chandigarh,PvrElanteMallChandigarh,Punjabi,10:00,Classic,130₹,223,12
Ludhiana,CarnivalNirmalLudhiana,Punjabi,10:00,Recliner,250₹,19,11
Ludhiana,CarnivalNirmalLudhiana,Punjabi,10:00,Gold,170₹,148,22
Ludhiana,CarnivalNirmalLudhiana,Punjabi,10:00,Silver,140₹,38,0
Nakodar,KcAnandMiniplexNakodar,Punjabi,10:00,Gold,150₹,100,0
Nakodar,KcAnandMiniplexNakodar,Punjabi,10:00,Silver,150₹,100,0
YamunaNagar,CarnivalUpalUniversalMallJagadhari,Punjabi,10:05,Premium,170₹,88,0
YamunaNagar,CarnivalUpalUniversalMallJagadhari,Punjabi,10:05,Club,170₹,156,26
YamunaNagar,CarnivalUpalUniversalMallJagadhari,Punjabi,10:05,Lounge,170₹,17,17
Amritsar,PvrSctPlayHouseAmritsar,Punjabi,10:05,Prime,150₹,40,0
Amritsar,PvrSctPlayHouseAmritsar,Punjabi,10:05,Classic,140₹,12,1
Bathinda,FunPlazaKotkapura,Punjabi,10:10,Royal,120₹,94,83
Malout,CcpCineplexMalout,Punjabi,10:10,RoyalClass,300₹,100,0
Malout,CcpCineplexMalout,Punjabi,10:10,GoldClass,130₹,100,0
Dasuya,PresidentCinemasAdarshNagar,Punjabi,10:15,Gold,200₹,100,0
Dasuya,PresidentCinemasAdarshNagar,Punjabi,10:15,Silver,150₹,100,0
DelhiNcr,PvrPrashantVihar,Punjabi,10:15,Prime,220₹,27,5
DelhiNcr,PvrPrashantVihar,Punjabi,10:15,Classic,200₹,162,0
Mohali,PvrVrPunjabMallMohali,Punjabi,10:15,Prime,200₹,42,8
Mohali,PvrVrPunjabMallMohali,Punjabi,10:15,Classic,170₹,105,2
Firozpur,SilverBirdCinemas,Punjabi,10:20,Box,400₹,10,0
Firozpur,SilverBirdCinemas,Punjabi,10:20,Gold,230₹,139,60
Ambala,FunCinemaGalaxyMall,Punjabi,10:25,Executive,180₹,136,14
Ambala,FunCinemaGalaxyMall,Punjabi,10:25,Normal,170₹,56,0
Sardulgarh,GoldenCinemasSardulgarh,Punjabi,10:30,Platinum,300₹,14,9
Sardulgarh,GoldenCinemasSardulgarh,Punjabi,10:30,Royal,250₹,8,4
Sardulgarh,GoldenCinemasSardulgarh,Punjabi,10:30,Gold,200₹,16,11
Sardulgarh,GoldenCinemasSardulgarh,Punjabi,10:30,Silver,170₹,33,22
Sardulgarh,GoldenCinemasSardulgarh,Punjabi,10:30,NormalClass,150₹,11,11
Tanda,CarnivalLakhiCinemaGurdaspurRoad,Punjabi,10:30,Gold,150₹,111,4
Tanda,CarnivalLakhiCinemaGurdaspurRoad,Punjabi,10:30,Silver,110₹,63,0
Patiala,SrsOmaxeMallPatiala,Punjabi,10:30,Platinum,200₹,217,43
Patiala,SrsOmaxeMallPatiala,Punjabi,10:30,Gold,190₹,64,4
YamunaNagar,DimpleCineplexYamunaNagar,Punjabi,10:30,Recliner,200₹,12,8
YamunaNagar,DimpleCineplexYamunaNagar,Punjabi,10:30,Gold,170₹,146,56
YamunaNagar,DimpleCineplexYamunaNagar,Punjabi,10:30,Silver,170₹,72,18
Jalandhar,CarnivalVivaCollageParagpur,Punjabi,10:30,Recliner,300₹,20,0
Jalandhar,CarnivalVivaCollageParagpur,Punjabi,10:30,Silver,150₹,68,0
Jalandhar,CarnivalVivaCollageParagpur,Punjabi,10:30,Gold,150₹,168,2
Jind,RedRocksJind,Punjabi,10:45,Gold,150₹,30,0
Rewari,BmgCinemasRewari,Punjabi,10:50,Gold,110₹,229,46
Sunam,CinePlazaSunam,Punjabi,11:00,SofaClass,280₹,13,0
Sunam,CinePlazaSunam,Punjabi,11:00,DiamondClass,110₹,128,19
Sunam,CinePlazaSunam,Punjabi,11:00,GoldClass,110₹,33,0
Jalandhar,PvrCuroJalandhar,Punjabi,11:00,Prime,265₹,167,2
