State,City,Name,Language,Time,Type,Price,Capacity,Booked
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,09:45,Recliner,350₹,10,4
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,09:45,Prime,245₹,13,4
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,09:45,ClassicPlus,160₹,193,16
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,09:45,Classic,150₹,105,0
Punjab,Ludhiana,PvrPavilionMallLudhiana,Punjabi,09:45,Prime,210₹,8,8
Punjab,Ludhiana,PvrPavilionMallLudhiana,Punjabi,09:45,Classic,140₹,117,117
Punjab,Mohali,PvrVrPunjabMallMohali,Punjabi,10:00,Prime,200₹,86,4
Punjab,Mohali,PvrVrPunjabMallMohali,Punjabi,10:00,Classic,170₹,136,5
Punjab,Ludhiana,CinepolisMbdNeopolisMall,Punjabi,10:05,Vip,260₹,7,0
Punjab,Ludhiana,CinepolisMbdNeopolisMall,Punjabi,10:05,Premium,130₹,106,9
Punjab,Ludhiana,CinepolisMbdNeopolisMall,Punjabi,10:05,Executive,120₹,67,0
Punjab,Ludhiana,CinepolisMbdNeopolisMall,Punjabi,10:05,Normal,110₹,51,2
Punjab,Amritsar,CinepolisMallOfAmritsar,Punjabi,11:15,Vip,400₹,16,0
Punjab,Amritsar,CinepolisMallOfAmritsar,Punjabi,11:15,Executive,180₹,108,17
Punjab,Amritsar,CinepolisMallOfAmritsar,Punjabi,11:15,Normal,170₹,75,0
Punjab,Amritsar,PvrSctPlayHouseAmritsar,Punjabi,12:10,Prime,180₹,40,11
Punjab,Amritsar,PvrSctPlayHouseAmritsar,Punjabi,12:10,Classic,170₹,12,2
Punjab,Ludhiana,CinepolisMbdNeopolisMall,Punjabi,12:50,Vip,350₹,7,2
Punjab,Ludhiana,CinepolisMbdNeopolisMall,Punjabi,12:50,Premium,180₹,106,11
Punjab,Ludhiana,CinepolisMbdNeopolisMall,Punjabi,12:50,Executive,160₹,67,3
Punjab,Ludhiana,CinepolisMbdNeopolisMall,Punjabi,12:50,Normal,140₹,51,6
Punjab,Mohali,CinepolisBestechSquareMall,Punjabi,13:00,Vip,300₹,8,0
Punjab,Mohali,CinepolisBestechSquareMall,Punjabi,13:00,Premium,200₹,30,3
Punjab,Mohali,CinepolisBestechSquareMall,Punjabi,13:00,Executive,180₹,59,0
Punjab,Mohali,CinepolisBestechSquareMall,Punjabi,13:00,Normal,160₹,22,0
Punjab,Ludhiana,PvrSilverArcMallGurdevNagar,Punjabi,13:50,Prime,240₹,18,6
Punjab,Ludhiana,PvrSilverArcMallGurdevNagar,Punjabi,13:50,Classic,190₹,119,23
Punjab,Amritsar,CinepolisMallOfAmritsar,Punjabi,13:55,Vip,400₹,16,12
Punjab,Amritsar,CinepolisMallOfAmritsar,Punjabi,13:55,Executive,180₹,126,43
Punjab,Amritsar,CinepolisMallOfAmritsar,Punjabi,13:55,Normal,170₹,75,0
Chandigarh,Chandigarh,PvrElanteMallChandigarh,Punjabi,14:00,Recliner,550₹,13,0
Chandigarh,Chandigarh,PvrElanteMallChandigarh,Punjabi,14:00,Classic,180₹,138,16
Punjab,Mohali,PvrVrPunjabMallMohali,Punjabi,14:10,Prime,220₹,42,0
Punjab,Mohali,PvrVrPunjabMallMohali,Punjabi,14:10,Classic,190₹,105,11
Punjab,Ludhiana,PvrPavilionMallLudhiana,Punjabi,15:00,Classic,190₹,64,22
Punjab,Amritsar,InoxTriliumMallCircularRoad,Punjabi,15:20,Normal,170₹,163,12
Punjab,Ludhiana,PvrFlamezMallGurudevNagar,Punjabi,15:20,Prime,150₹,25,6
Punjab,Ludhiana,PvrFlamezMallGurudevNagar,Punjabi,15:20,Classic,138₹,117,2
Punjab,Jalandhar,PvrCuroJalandhar,Punjabi,15:40,Prime,275₹,26,0
Punjab,Jalandhar,PvrCuroJalandhar,Punjabi,15:40,ClassicPlus,185₹,36,0
Punjab,Jalandhar,PvrCuroJalandhar,Punjabi,15:40,Classic,165₹,36,0
Punjab,Mohali,CinepolisBestechSquareMall,Punjabi,15:55,Vip,300₹,8,0
Punjab,Mohali,CinepolisBestechSquareMall,Punjabi,15:55,Premium,200₹,30,0
Punjab,Mohali,CinepolisBestechSquareMall,Punjabi,15:55,Executive,180₹,59,4
Punjab,Mohali,CinepolisBestechSquareMall,Punjabi,15:55,Normal,160₹,22,0
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,16:00,Recliner,415₹,8,0
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,16:00,Prime,295₹,10,3
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,16:00,ClassicPlus,205₹,146,5
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,16:00,Classic,175₹,95,3
Punjab,Amritsar,CinepolisMallOfAmritsar,Punjabi,16:35,Vip,400₹,16,0
Punjab,Amritsar,CinepolisMallOfAmritsar,Punjabi,16:35,Executive,180₹,126,27
Punjab,Amritsar,CinepolisMallOfAmritsar,Punjabi,16:35,Normal,170₹,75,0
Punjab,Amritsar,PvrSctPlayHouseAmritsar,Punjabi,17:35,Prime,180₹,40,8
Punjab,Amritsar,PvrSctPlayHouseAmritsar,Punjabi,17:35,Classic,170₹,12,0
Punjab,Pathankot,PvrNoveltyMallPathankot,Punjabi,17:50,PrimePlus,170₹,82,7
Punjab,Pathankot,PvrNoveltyMallPathankot,Punjabi,17:50,Prime,150₹,90,0
Punjab,Pathankot,PvrNoveltyMallPathankot,Punjabi,17:50,Classic,130₹,70,0
Punjab,Amritsar,InoxTriliumMallCircularRoad,Punjabi,19:15,Normal,170₹,155,0
Punjab,Ludhiana,PvrSilverArcMallGurdevNagar,Punjabi,19:15,Prime,250₹,15,2
Punjab,Ludhiana,PvrSilverArcMallGurdevNagar,Punjabi,19:15,Classic,200₹,106,14
Punjab,Amritsar,CinepolisMallOfAmritsar,Punjabi,19:25,Vip,400₹,16,0
Punjab,Amritsar,CinepolisMallOfAmritsar,Punjabi,19:25,Executive,180₹,108,7
Punjab,Amritsar,CinepolisMallOfAmritsar,Punjabi,19:25,Normal,170₹,75,0
Chandigarh,Chandigarh,PvrElanteMallChandigarh,Punjabi,19:30,Recliner,550₹,13,6
Chandigarh,Chandigarh,PvrElanteMallChandigarh,Punjabi,19:30,Classic,180₹,138,17
Punjab,Ludhiana,CinepolisMbdNeopolisMall,Punjabi,19:30,Premium,190₹,95,7
Punjab,Mohali,PvrVrPunjabMallMohali,Punjabi,19:35,Prime,220₹,42,10
Punjab,Mohali,PvrVrPunjabMallMohali,Punjabi,19:35,Classic,190₹,105,9
Punjab,Ludhiana,PvrFlamezMallGurudevNagar,Punjabi,20:25,Prime,170₹,25,4
Punjab,Ludhiana,PvrFlamezMallGurudevNagar,Punjabi,20:25,Classic,150₹,117,0
Punjab,Ludhiana,PvrPavilionMallLudhiana,Punjabi,20:30,Classic,200₹,64,12
