City,Name,Language,Time,Type,Price,Capacity,Booked
Hubli,SujathaTheatreHubli,Kannada,11:30,Balcony,120₹,289,90
Hubli,SujathaTheatreHubli,Kannada,11:30,DCircle,100₹,558,138
Bangalore,InoxMantriSquareMalleshwaram,Kannada,12:40,Club,230₹,209,6
Hubli,SujathaTheatreHubli,Kannada,14:30,Balcony,120₹,289,90
Hubli,SujathaTheatreHubli,Kannada,14:30,DCircle,100₹,558,138
Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,15:45,Recliner,420₹,13,0
Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,15:45,Prime,260₹,80,2
Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,15:45,Classic,240₹,128,0
Hubli,SujathaTheatreHubli,Kannada,17:30,Balcony,120₹,289,90
Hubli,SujathaTheatreHubli,Kannada,17:30,DCircle,100₹,558,138
Hubli,SujathaTheatreHubli,Kannada,20:30,Balcony,120₹,289,90
Hubli,SujathaTheatreHubli,Kannada,20:30,DCircle,100₹,558,138
