State,City,Name,Language,Time,Type,Price,Capacity,Booked
Assam,Jorhat,InoxAbsMallJorhat,Assamese,17:00,Royal,350₹,14,0
Assam,Jorhat,InoxAbsMallJorhat,Assamese,17:00,Club,230₹,55,11
Assam,Jorhat,InoxAbsMallJorhat,Assamese,17:00,Executive,150₹,32,22
Assam,Jorhat,InoxAbsMallJorhat,Assamese,17:00,Premier,120₹,32,0
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,17:25,Business,340₹,17,8
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,17:25,Platinum,280₹,22,4
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,17:25,Executive,240₹,150,20
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,17:25,Gold,190₹,85,5
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,17:25,Silver,100₹,50,13
Assam,Tinsukia,GalleriaCinemasAtcMallTinsukia,Assamese,17:30,Business,290₹,14,10
Assam,Tinsukia,GalleriaCinemasAtcMallTinsukia,Assamese,17:30,Platinum,240₹,192,11
Assam,Tinsukia,GalleriaCinemasAtcMallTinsukia,Assamese,17:30,Gold,190₹,51,7
Assam,Tinsukia,GalleriaCinemasAtcMallTinsukia,Assamese,17:30,Silver,100₹,34,2
