City,Name,Language,Time,Type,Price,Capacity,Booked
Tadepalligudem,G3LakshmiNarayanaACDtsTadepalligudem,Telugu,11:00,PremiumCl,112₹,197,197
Tadepalligudem,G3LakshmiNarayanaACDtsTadepalligudem,Telugu,11:00,NonPremium,90₹,75,75
Srikakulam,KinneraComplexSrikakulam,Telugu,11:00,Premium,147₹,159,18
Srikakulam,KinneraComplexSrikakulam,Telugu,11:00,NonPremium,100₹,100,0
Warangal,VenkatramaWarangal,Telugu,12:00,BoxA,100₹,40,40
Warangal,VenkatramaWarangal,Telugu,12:00,BoxB,100₹,40,40
Warangal,VenkatramaWarangal,Telugu,12:00,Balcony,100₹,377,307
Warangal,VenkatramaWarangal,Telugu,12:00,DressCircle,80₹,184,154
Warangal,VenkatramaWarangal,Telugu,12:00,FirstClass,50₹,150,150
Tadepalligudem,G3LakshmiNarayanaACDtsTadepalligudem,Telugu,14:00,PremiumCl,112₹,197,197
Tadepalligudem,G3LakshmiNarayanaACDtsTadepalligudem,Telugu,14:00,NonPremium,90₹,75,75
Srikakulam,KinneraComplexSrikakulam,Telugu,14:30,Premium,147₹,159,16
Srikakulam,KinneraComplexSrikakulam,Telugu,14:30,NonPremium,100₹,100,0
Warangal,VenkatramaWarangal,Telugu,15:00,BoxA,100₹,40,40
Warangal,VenkatramaWarangal,Telugu,15:00,BoxB,100₹,40,40
Warangal,VenkatramaWarangal,Telugu,15:00,Balcony,100₹,377,305
Warangal,VenkatramaWarangal,Telugu,15:00,DressCircle,80₹,184,154
Warangal,VenkatramaWarangal,Telugu,15:00,FirstClass,50₹,150,150
Tadepalligudem,G3LakshmiNarayanaACDtsTadepalligudem,Telugu,18:00,PremiumCl,112₹,197,197
Tadepalligudem,G3LakshmiNarayanaACDtsTadepalligudem,Telugu,18:00,NonPremium,90₹,75,75
Rajahmundry,UrvasiComplexRajahmundry,Telugu,18:15,UpperBalcony,112₹,195,32
Rajahmundry,UrvasiComplexRajahmundry,Telugu,18:15,LowerBalcony,112₹,254,56
Rajahmundry,UrvasiComplexRajahmundry,Telugu,18:15,SecondCl,75₹,108,108
Warangal,VenkatramaWarangal,Telugu,19:00,BoxA,100₹,40,40
Warangal,VenkatramaWarangal,Telugu,19:00,BoxB,100₹,40,40
Warangal,VenkatramaWarangal,Telugu,19:00,Balcony,100₹,377,305
Warangal,VenkatramaWarangal,Telugu,19:00,DressCircle,80₹,184,154
Warangal,VenkatramaWarangal,Telugu,19:00,FirstClass,50₹,150,150
Tadepalligudem,G3LakshmiNarayanaACDtsTadepalligudem,Telugu,21:00,PremiumCl,112₹,197,197
Tadepalligudem,G3LakshmiNarayanaACDtsTadepalligudem,Telugu,21:00,NonPremium,90₹,75,75
Srikakulam,KinneraComplexSrikakulam,Telugu,21:45,Premium,147₹,159,16
Srikakulam,KinneraComplexSrikakulam,Telugu,21:45,NonPremium,100₹,100,0
Warangal,VenkatramaWarangal,Telugu,22:00,BoxA,100₹,40,40
Warangal,VenkatramaWarangal,Telugu,22:00,BoxB,100₹,40,40
Warangal,VenkatramaWarangal,Telugu,22:00,Balcony,100₹,377,305
Warangal,VenkatramaWarangal,Telugu,22:00,DressCircle,80₹,184,154
Warangal,VenkatramaWarangal,Telugu,22:00,FirstClass,50₹,150,150
