State,City,Name,Language,Time,Type,Price,Capacity,Booked
Gujarat,Bhavnagar,Top3MultiplexBhavnagar,Hindi,10:30,Gold,100₹,68,0
Gujarat,Bhavnagar,Top3MultiplexBhavnagar,Hindi,10:30,Silver,80₹,56,0
UttarPradesh,Lucknow,PvrPhoenixUnitedMallAlambagh,Hindi,11:50,Recliner,280₹,12,0
UttarPradesh,Lucknow,PvrPhoenixUnitedMallAlambagh,Hindi,11:50,Prime,150₹,26,0
UttarPradesh,Lucknow,PvrPhoenixUnitedMallAlambagh,Hindi,11:50,Classic,120₹,179,0
Goa,Goa,ZSquareNiagaraCurchorem,Hindi,12:30,Golden,150₹,100,0
Goa,Goa,ZSquareNiagaraCurchorem,Hindi,12:30,Silver,125₹,100,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,Hindi,13:00,Vip,300₹,14,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,Hindi,13:00,Premium,200₹,57,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,Hindi,13:00,Executive,180₹,86,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,Hindi,13:00,Normal,160₹,30,0
Gujarat,Mundra,AradhayaNovaCinemazMundra,Hindi,13:00,Gold,180₹,100,0
Gujarat,Mundra,AradhayaNovaCinemazMundra,Hindi,13:00,Silver,180₹,100,0
Gujarat,Ahmedabad,MirajCityPulseManiNagar,Hindi,14:45,Gold,100₹,24,1
Maharashtra,Mumbai,CarnivalMoviestarGoregaonW,Hindi,17:40,GoldOffline,110₹,46,0
Maharashtra,Mumbai,CarnivalMoviestarGoregaonW,Hindi,17:40,SilverOffline,90₹,24,0
Maharashtra,Mumbai,MovietimeHubMallGoregaonE,Hindi,19:30,Mhraja,130₹,44,9
