State,City,Name,Language,Time,Type,Price,Capacity,Booked
Karnataka,Bangalore,PvrForumMallKoramangala,Kannada,09:15,Classic,180₹,172,6
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Kannada,10:45,Recliner,280₹,7,2
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Kannada,10:45,Classic,170₹,63,0
Karnataka,Mysore,PvrGarudaMallAlbertVictorRoad,Kannada,12:00,Classic,140₹,102,2
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,13:00,Recliner,280₹,9,0
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,13:00,Prime,170₹,20,0
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,13:00,Classic,140₹,85,0
Karnataka,Bangalore,RocklineCinemasJalahalliCross,Kannada,13:15,Gold,150₹,163,16
Karnataka,Mangalore,CinepolisCityCentreMall,Kannada,13:30,Vip,200₹,17,0
Karnataka,Mangalore,CinepolisCityCentreMall,Kannada,13:30,Platinum,150₹,50,0
Karnataka,Bangalore,CinepolisForumShantiniketan,Kannada,14:30,Vip,400₹,10,0
Karnataka,Bangalore,CinepolisForumShantiniketan,Kannada,14:30,Premium,230₹,32,0
Karnataka,Bangalore,CinepolisForumShantiniketan,Kannada,14:30,Executive,210₹,56,0
Karnataka,Bangalore,CinepolisForumShantiniketan,Kannada,14:30,Normal,190₹,24,0
Karnataka,Bangalore,PvrMsrElementsMallTanisandhraMainRoad,Kannada,15:00,Recliner,350₹,11,0
Karnataka,Bangalore,PvrMsrElementsMallTanisandhraMainRoad,Kannada,15:00,Prime,190₹,19,0
Karnataka,Bangalore,PvrMsrElementsMallTanisandhraMainRoad,Kannada,15:00,Classic,170₹,96,0
Karnataka,Bangalore,CinepolisEtaNammaMall,Kannada,16:05,Premium,150₹,29,0
Karnataka,Bangalore,CinepolisEtaNammaMall,Kannada,16:05,Executive,150₹,69,0
Karnataka,Mysore,InoxMallOfMysoreMgRoad,Kannada,19:00,Club,180₹,200,0
Karnataka,Bangalore,PvrVegaBannerghattaRoad,Kannada,19:05,Classic,220₹,118,0
Karnataka,Bangalore,InoxMantriSquareMalleshwaram,Kannada,19:10,Royal,360₹,9,5
Karnataka,Bangalore,InoxMantriSquareMalleshwaram,Kannada,19:10,Club,220₹,297,3
Karnataka,Bangalore,InoxShreeGarudaSwagathMallJayanagar,Kannada,19:10,Club,210₹,82,0
Karnataka,Bangalore,InoxShreeGarudaSwagathMallJayanagar,Kannada,19:10,Executive,200₹,209,1
Karnataka,Belagavi,InoxCampRoadBelgaum,Kannada,19:10,Royal,150₹,5,0
Karnataka,Belagavi,InoxCampRoadBelgaum,Kannada,19:10,Club,130₹,56,0
Karnataka,Belagavi,InoxCampRoadBelgaum,Kannada,19:10,Executive,130₹,14,0
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Kannada,19:15,Premium,236₹,17,0
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Kannada,19:15,Executive,220₹,67,0
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Kannada,19:15,Normal,200₹,26,0
Karnataka,Bangalore,InoxForumNeighbourhoodMallWhiteField,Kannada,19:20,Silver,220₹,67,0
Karnataka,Bangalore,InoxForumNeighbourhoodMallWhiteField,Kannada,19:20,Premiere,210₹,78,0
Karnataka,Bangalore,InoxGarudaYelahankaBangalore,Kannada,19:20,Club,230₹,111,1
Karnataka,Bangalore,InoxGarudaYelahankaBangalore,Kannada,19:20,Executive,220₹,60,0
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,22:15,Recliner,450₹,10,0
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,22:15,Prime,236₹,80,2
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,22:15,Classic,236₹,128,0
