State,City,Name,Language,Time,Type,Price,Capacity,Booked
Maharashtra,Pune,CinepolisSeasonsMall,Marathi,09:30,Premium,170₹,40,0
Maharashtra,Pune,CinepolisSeasonsMall,Marathi,09:30,Normal,150₹,23,0
Maharashtra,Pune,CinepolisSeasonsMall,Marathi,09:30,Executive,150₹,52,0
Maharashtra,Miraj,AmarTalkiesMiraj,Marathi,12:15,Stall,100₹,226,14
Maharashtra,Rahuri,DnyaneshwarChitraMandirRahuri,Marathi,12:15,Balcony,90₹,155,0
Maharashtra,Rahuri,DnyaneshwarChitraMandirRahuri,Marathi,12:15,DressCircule,60₹,364,0
Maharashtra,Mumbai,CinepolisVivianaMall,Marathi,12:25,Normal,190₹,25,0
Maharashtra,Mumbai,CinepolisVivianaMall,Marathi,12:25,Premium,190₹,43,16
Maharashtra,Mumbai,CinepolisVivianaMall,Marathi,12:25,Executive,190₹,97,0
Maharashtra,Pune,GunjanCinemaNhavare,Marathi,12:30,Gold,100₹,54,0
Maharashtra,Pune,GunjanCinemaNhavare,Marathi,12:30,Silver,100₹,18,0
Maharashtra,Pune,VaibhavChitramandirHadapsar,Marathi,13:00,Gold,120₹,100,0
Maharashtra,Mumbai,MovietimeHubMallGoregaonE,Marathi,14:30,Mhraja,120₹,44,6
Maharashtra,Mumbai,MovietimeChembur,Marathi,15:15,Silver,150₹,75,0
Maharashtra,Latur,RegalCinemaLatur,Marathi,18:00,Balcony,80₹,150,0
Maharashtra,Latur,RegalCinemaLatur,Marathi,18:00,FirstClass,70₹,322,0
Maharashtra,Parli,ShreeNathTalkiesParliVaijnath,Marathi,18:10,Shree,100₹,240,0
