State,City,Name,Language,Time,Type,Price,Capacity,Booked
Rajasthan,Hindauncity,GeetaTalkiesHindauncity,Hindi,12:00,FamilyBox,230₹,10,0
Rajasthan,Hindauncity,GeetaTalkiesHindauncity,Hindi,12:00,Balcony,120₹,30,0
Rajasthan,Hindauncity,GeetaTalkiesHindauncity,Hindi,12:00,Gold,100₹,35,0
Rajasthan,Hindauncity,GeetaTalkiesHindauncity,Hindi,12:00,Classsic,80₹,10,0
Rajasthan,Hindauncity,GeetaTalkiesHindauncity,Hindi,15:00,FamilyBox,230₹,10,0
Rajasthan,Hindauncity,GeetaTalkiesHindauncity,Hindi,15:00,Balcony,120₹,30,0
Rajasthan,Hindauncity,GeetaTalkiesHindauncity,Hindi,15:00,Gold,100₹,35,0
Rajasthan,Hindauncity,GeetaTalkiesHindauncity,Hindi,15:00,Classsic,80₹,10,0
Rajasthan,Hindauncity,GeetaTalkiesHindauncity,Hindi,18:00,FamilyBox,230₹,10,0
Rajasthan,Hindauncity,GeetaTalkiesHindauncity,Hindi,18:00,Balcony,120₹,30,0
Rajasthan,Hindauncity,GeetaTalkiesHindauncity,Hindi,18:00,Gold,100₹,35,0
Rajasthan,Hindauncity,GeetaTalkiesHindauncity,Hindi,18:00,Classsic,80₹,10,0
Rajasthan,Hindauncity,GeetaTalkiesHindauncity,Hindi,21:00,FamilyBox,230₹,10,4
Rajasthan,Hindauncity,GeetaTalkiesHindauncity,Hindi,21:00,Balcony,120₹,30,0
Rajasthan,Hindauncity,GeetaTalkiesHindauncity,Hindi,21:00,Gold,100₹,35,0
Rajasthan,Hindauncity,GeetaTalkiesHindauncity,Hindi,21:00,Classsic,80₹,10,0
