State,City,Name,Language,Time,Type,Price,Capacity,Booked
TamilNadu,Chennai,InoxTheMarinaMallOmr,Tamil,09:00,Club,190₹,195,41
TamilNadu,Chennai,InoxTheMarinaMallOmr,Tamil,09:00,Executive,60₹,24,24
TamilNadu,Chidambaram,VaduganathanCinemas4KDolbyAtmos,Tamil,09:00,Elite,130₹,498,63
TamilNadu,Chennai,InoxChennaiCitiCentre,Tamil,09:15,Club,152₹,226,22
TamilNadu,Chennai,InoxChennaiCitiCentre,Tamil,09:15,Executive,60₹,38,35
TamilNadu,Chennai,PvrAmpaSkywalkMallAminjikarai,Tamil,09:30,Prime,190₹,219,4
TamilNadu,Chennai,PvrAmpaSkywalkMallAminjikarai,Tamil,09:30,Classic,60₹,32,32
Maharashtra,Pune,PvrMarketCityVimanNagar,Tamil,09:45,Recliner,250₹,12,0
Maharashtra,Pune,PvrMarketCityVimanNagar,Tamil,09:45,PrimePlus,200₹,15,6
Maharashtra,Pune,PvrMarketCityVimanNagar,Tamil,09:45,Classic,150₹,80,0
Maharashtra,Pune,PvrMarketCityVimanNagar,Tamil,09:45,Prime,150₹,129,32
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,Tamil,09:45,Recliner,300₹,37,0
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,Tamil,09:45,Classic,140₹,49,0
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,Tamil,09:45,Prime,140₹,198,26
TamilNadu,Chennai,CinepolisBsrMall,Tamil,09:50,Executive,152₹,158,73
TamilNadu,Chennai,CinepolisBsrMall,Tamil,09:50,Normal,60₹,17,17
TamilNadu,Arakkonam,SindhuCinemasAC2KArakkonam,Tamil,10:00,Box1,150₹,12,12
TamilNadu,Arakkonam,SindhuCinemasAC2KArakkonam,Tamil,10:00,Box2,150₹,12,12
TamilNadu,Arakkonam,SindhuCinemasAC2KArakkonam,Tamil,10:00,Executive,100₹,166,16
TamilNadu,Coimbatore,FunCinemaRepublicMall,Tamil,10:00,Executive,152₹,190,25
TamilNadu,Coimbatore,FunCinemaRepublicMall,Tamil,10:00,Normal,60₹,22,22
TamilNadu,Chidambaram,VaduganathanCinemas4KDolbyAtmos,Tamil,10:00,Elite,130₹,498,68
Karnataka,Bangalore,PvrVegaBannerghattaRoad,Tamil,10:05,Recliner,350₹,9,9
Karnataka,Bangalore,PvrVegaBannerghattaRoad,Tamil,10:05,Classic,190₹,73,59
Karnataka,Bangalore,CinepolisOrionEastMall,Tamil,10:05,Premium,200₹,58,3
Karnataka,Bangalore,CinepolisOrionEastMall,Tamil,10:05,Executive,180₹,113,9
Karnataka,Bangalore,CinepolisOrionEastMall,Tamil,10:05,Normal,160₹,34,0
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,10:10,Club,190₹,234,72
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,10:10,Executive,60₹,32,32
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Tamil,10:30,Recliner,350₹,33,5
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Tamil,10:30,Prime,190₹,120,47
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Tamil,10:30,Classic,150₹,140,35
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Tamil,10:35,Recliner,350₹,14,7
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Tamil,10:35,Prime,210₹,10,8
