State,City,Name,Language,Time,Type,Price,Capacity,Booked
WestBengal,Kolkata,CarnivalArtiSuncityMallBarasat,Bengali,12:00,Silver,79₹,40,0
WestBengal,Kolkata,CarnivalArtiSuncityMallBarasat,Bengali,12:00,Gold,79₹,60,0
WestBengal,Kolkata,CarnivalArtiSuncityMallBarasat,Bengali,12:00,Diamond,79₹,115,12
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,12:05,Royal,300₹,14,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,12:05,Premier,150₹,36,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,12:05,Silver,150₹,147,72
WestBengal,Durgapur,CarnivalCityCenterDreamplexBuilding,Bengali,12:05,Executive,99₹,168,2
WestBengal,Durgapur,CarnivalCityCenterDreamplexBuilding,Bengali,12:05,Economy,99₹,34,0
WestBengal,Durgapur,CarnivalCityCenterDreamplexBuilding,Bengali,12:05,Regular,99₹,65,0
WestBengal,Krishnanagar,SangeetaTalkiesKrishnanagar,Bengali,13:00,Balcony,50₹,264,33
WestBengal,Krishnanagar,SangeetaTalkiesKrishnanagar,Bengali,13:00,FirstClass,30₹,513,30
WestBengal,Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,13:00,Royal,170₹,73,0
WestBengal,Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,13:00,Club,150₹,126,0
WestBengal,Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,13:00,Executive,140₹,42,0
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,13:05,Normal,170₹,22,0
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,13:05,Premium,170₹,20,0
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,13:05,Executive,170₹,64,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,13:55,Recliner,420₹,12,1
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,13:55,Prime,220₹,11,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,13:55,Classic,160₹,80,1
WestBengal,Kolkata,InoxSouthCityMall,Bengali,14:40,Silver,200₹,157,4
WestBengal,Kolkata,InoxSouthCityMall,Bengali,14:40,Premier,180₹,34,0
