City,Name,Language,Time,Type,Price,Capacity,Booked
Visakhapatnam,DurgaTheatreACDolbySoundMadhurawada,Telugu,10:30,Premium,145₹,199,43
Visakhapatnam,DurgaTheatreACDolbySoundMadhurawada,Telugu,10:30,NonPremium,100₹,183,43
Madanapalle,MiniSiddarthaTheatreACKrishnaNagar,Telugu,11:00,Reserved,112₹,210,0
Madanapalle,MiniSiddarthaTheatreACKrishnaNagar,Telugu,11:00,First,112₹,103,0
Madanapalle,MiniSiddarthaTheatreACKrishnaNagar,Telugu,11:00,Second,89₹,95,1
Vissannapeta,SriRamACDtsVissannapeta,Telugu,11:00,FirstClass,78₹,314,42
Vissannapeta,SriRamACDtsVissannapeta,Telugu,11:00,SecondClass,56₹,110,110
Guntur,SreeGaneshMahalKothapet,Telugu,11:15,FristClass,40₹,202,142
Guntur,SreeGaneshMahalKothapet,Telugu,11:15,SecondClass,25₹,209,209
Visakhapatnam,MohiniCinemasDolbyAtmosVisakhapatnam,Telugu,11:30,Premium,145₹,293,2
Visakhapatnam,MohiniCinemasDolbyAtmosVisakhapatnam,Telugu,11:30,NonPremium,100₹,132,7
Kakinada,ChanakyaChandraGuptaComplex,Telugu,11:30,FirstClass,112₹,416,42
Kakinada,ChanakyaChandraGuptaComplex,Telugu,11:30,ThirdLass,75₹,133,4
Madanapalle,MiniSiddarthaTheatreACKrishnaNagar,Telugu,14:00,Reserved,112₹,210,0
Madanapalle,MiniSiddarthaTheatreACKrishnaNagar,Telugu,14:00,First,112₹,103,0
Madanapalle,MiniSiddarthaTheatreACKrishnaNagar,Telugu,14:00,Second,89₹,95,0
Vissannapeta,SriRamACDtsVissannapeta,Telugu,14:15,FirstClass,78₹,314,42
Vissannapeta,SriRamACDtsVissannapeta,Telugu,14:15,SecondClass,56₹,110,110
Visakhapatnam,DurgaTheatreACDolbySoundMadhurawada,Telugu,14:30,Premium,145₹,199,43
Visakhapatnam,DurgaTheatreACDolbySoundMadhurawada,Telugu,14:30,NonPremium,100₹,183,43
Visakhapatnam,MohiniCinemasDolbyAtmosVisakhapatnam,Telugu,14:30,Premium,145₹,293,3
Visakhapatnam,MohiniCinemasDolbyAtmosVisakhapatnam,Telugu,14:30,NonPremium,100₹,132,2
Guntur,SreeGaneshMahalKothapet,Telugu,14:30,FristClass,40₹,202,142
Guntur,SreeGaneshMahalKothapet,Telugu,14:30,SecondClass,25₹,209,209
Kakinada,ChanakyaChandraGuptaComplex,Telugu,14:30,FirstClass,112₹,416,35
Kakinada,ChanakyaChandraGuptaComplex,Telugu,14:30,ThirdLass,75₹,133,3
Visakhapatnam,DurgaTheatreACDolbySoundMadhurawada,Telugu,18:00,Premium,145₹,199,43
Visakhapatnam,DurgaTheatreACDolbySoundMadhurawada,Telugu,18:00,NonPremium,100₹,183,43
Madanapalle,MiniSiddarthaTheatreACKrishnaNagar,Telugu,18:00,Reserved,112₹,210,0
Madanapalle,MiniSiddarthaTheatreACKrishnaNagar,Telugu,18:00,First,112₹,103,0
Madanapalle,MiniSiddarthaTheatreACKrishnaNagar,Telugu,18:00,Second,89₹,95,0
Guntur,SreeGaneshMahalKothapet,Telugu,18:15,FristClass,40₹,202,142
Guntur,SreeGaneshMahalKothapet,Telugu,18:15,SecondClass,25₹,209,209
Vissannapeta,SriRamACDtsVissannapeta,Telugu,18:15,FirstClass,78₹,314,42
Vissannapeta,SriRamACDtsVissannapeta,Telugu,18:15,SecondClass,56₹,110,110
Visakhapatnam,MohiniCinemasDolbyAtmosVisakhapatnam,Telugu,18:30,Premium,145₹,293,1
Visakhapatnam,MohiniCinemasDolbyAtmosVisakhapatnam,Telugu,18:30,NonPremium,100₹,132,3
Kakinada,ChanakyaChandraGuptaComplex,Telugu,18:30,FirstClass,112₹,416,63
Kakinada,ChanakyaChandraGuptaComplex,Telugu,18:30,ThirdLass,75₹,133,2
Madanapalle,MiniSiddarthaTheatreACKrishnaNagar,Telugu,21:00,Reserved,112₹,210,0
Madanapalle,MiniSiddarthaTheatreACKrishnaNagar,Telugu,21:00,First,112₹,103,0
Madanapalle,MiniSiddarthaTheatreACKrishnaNagar,Telugu,21:00,Second,89₹,95,2
Vissannapeta,SriRamACDtsVissannapeta,Telugu,21:15,FirstClass,78₹,314,42
Vissannapeta,SriRamACDtsVissannapeta,Telugu,21:15,SecondClass,56₹,110,110
Kakinada,ChanakyaChandraGuptaComplex,Telugu,21:30,FirstClass,112₹,416,291
Kakinada,ChanakyaChandraGuptaComplex,Telugu,21:30,ThirdLass,75₹,133,0
Visakhapatnam,MohiniCinemasDolbyAtmosVisakhapatnam,Telugu,21:30,Premium,145₹,293,0
Visakhapatnam,MohiniCinemasDolbyAtmosVisakhapatnam,Telugu,21:30,NonPremium,100₹,132,3
Guntur,SreeGaneshMahalKothapet,Telugu,21:30,FristClass,40₹,202,142
Guntur,SreeGaneshMahalKothapet,Telugu,21:30,SecondClass,25₹,209,209
