City,Name,Language,Time,Type,Price,Capacity,Booked
Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,09:00,Recliner,220₹,24,0
Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,09:00,Prime,150₹,96,5
Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,09:00,Classic,112₹,140,1
Bangalore,CinepolisSjrSpectrum,Kannada,09:40,Vip,200₹,12,0
Bangalore,CinepolisSjrSpectrum,Kannada,09:40,Normal,120₹,28,0
Bangalore,CinepolisSjrSpectrum,Kannada,09:40,Premium,120₹,41,0
Bangalore,CinepolisSjrSpectrum,Kannada,09:40,Executive,120₹,59,2
Bangalore,InoxGarudaYelahankaBangalore,Kannada,09:40,Club,160₹,111,0
Bangalore,InoxGarudaYelahankaBangalore,Kannada,09:40,Executive,150₹,60,2
Bangalore,PvrArenaMallDoddanakundi,Kannada,09:50,Classic,112₹,90,0
Bangalore,PvrArenaMallDoddanakundi,Kannada,09:50,Prime,112₹,28,7
Bangalore,CinepolisRoyalMeenakshiMall,Kannada,10:00,Normal,120₹,24,0
Bangalore,CinepolisRoyalMeenakshiMall,Kannada,10:00,Premium,120₹,28,3
Bangalore,CinepolisRoyalMeenakshiMall,Kannada,10:00,Executive,120₹,42,0
Krishnarajanagara,SriVenkateshwaraChitramandiraKrishnarajanagara,Kannada,10:30,Balcony,100₹,109,0
Krishnarajanagara,SriVenkateshwaraChitramandiraKrishnarajanagara,Kannada,10:30,First,80₹,600,392
Ranebennur,ShriShankarTalkiesRanebennur,Kannada,10:30,Balcony,100₹,40,0
Bangalore,InoxRmzGalleriaMallYelahanka,Kannada,10:30,Royale,500₹,12,0
Bangalore,InoxRmzGalleriaMallYelahanka,Kannada,10:30,Club,236₹,84,0
Bangalore,InoxRmzGalleriaMallYelahanka,Kannada,10:30,Executive,236₹,160,0
Shivamogga,HpcChitramandirBalarajUrsRoad,Kannada,11:00,Balcony,150₹,150,64
Shivamogga,HpcChitramandirBalarajUrsRoad,Kannada,11:00,First,100₹,460,132
Gadag,SriVenkateshCinema,Kannada,11:45,Gold,100₹,244,2
Gadag,SriVenkateshCinema,Kannada,11:45,Platinum,100₹,46,4
Gadag,SriVenkateshCinema,Kannada,11:45,Silver,80₹,305,0
Mysore,PvrGarudaMallAlbertVictorRoad,Kannada,11:45,Prime,160₹,23,3
Mysore,PvrGarudaMallAlbertVictorRoad,Kannada,11:45,Classic,130₹,240,12
Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,12:00,Recliner,230₹,14,7
Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,12:00,Prime,140₹,40,5
Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,12:00,Classic,112₹,125,1
Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,12:10,Recliner,250₹,33,4
Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,12:10,Prime,170₹,120,16
Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,12:10,Classic,150₹,140,8
Bangalore,InoxGarudaMallMagrathRoad,Kannada,12:20,RoyaleRecliners,220₹,9,0
Bangalore,InoxGarudaMallMagrathRoad,Kannada,12:20,Club,160₹,60,3
Bangalore,InoxGarudaMallMagrathRoad,Kannada,12:20,Executive,150₹,90,2
Sirsi,NatarajMovieHallSirsi,Kannada,13:00,Balcony,150₹,160,116
Kalaburagi,MirajCinemasShraddhaMallMadoopura,Kannada,13:00,Gold,350₹,10,0
Kalaburagi,MirajCinemasShraddhaMallMadoopura,Kannada,13:00,Executive,180₹,192,10
Kalaburagi,MirajCinemasShraddhaMallMadoopura,Kannada,13:00,Special,160₹,80,0
Manipal,InoxCentralCinemasLaxmindraNagar,Kannada,13:10,Royal,250₹,7,4
Manipal,InoxCentralCinemasLaxmindraNagar,Kannada,13:10,Club,130₹,43,0
Manipal,InoxCentralCinemasLaxmindraNagar,Kannada,13:10,Executive,130₹,40,0
Bangalore,Vaibhav4KAC71DolbySanjayNagar,Kannada,13:15,Diamond,200₹,384,199
Bangalore,Vaibhav4KAC71DolbySanjayNagar,Kannada,13:15,Gold,150₹,513,278
Hospet,BalaPictureHouse2KHospet,Kannada,13:30,Maharaja,150₹,126,6
Ranebennur,ShriShankarTalkiesRanebennur,Kannada,13:30,Balcony,100₹,40,0
Krishnarajanagara,SriVenkateshwaraChitramandiraKrishnarajanagara,Kannada,13:30,Balcony,100₹,109,0
Krishnarajanagara,SriVenkateshwaraChitramandiraKrishnarajanagara,Kannada,13:30,First,80₹,600,392
Bangalore,InoxBrookefieldMallKundalahalli,Kannada,14:00,Club,140₹,12,0
Bangalore,InoxBrookefieldMallKundalahalli,Kannada,14:00,Executive,130₹,89,0
Bangalore,PvrVegaBannerghattaRoad,Kannada,14:00,Recliner,250₹,12,2
Bangalore,PvrVegaBannerghattaRoad,Kannada,14:00,Classic,150₹,135,15
Shivamogga,HpcChitramandirBalarajUrsRoad,Kannada,14:15,Balcony,150₹,150,64
Shivamogga,HpcChitramandirBalarajUrsRoad,Kannada,14:15,First,100₹,460,132
Hubli,PvrLaxmiMallCoenRoad,Kannada,14:40,Prime,270₹,9,0
Hubli,PvrLaxmiMallCoenRoad,Kannada,14:40,ClassicPlus,170₹,129,6
Hubli,PvrLaxmiMallCoenRoad,Kannada,14:40,Classic,150₹,64,0
Bangalore,InnovativeMultiplexMarathahalli,Kannada,14:45,Premium,150₹,89,13
Gadag,SriVenkateshCinema,Kannada,14:45,Gold,100₹,244,2
Gadag,SriVenkateshCinema,Kannada,14:45,Platinum,100₹,46,4
Gadag,SriVenkateshCinema,Kannada,14:45,Silver,80₹,305,0
Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,14:45,Recliner,250₹,27,14
Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,14:45,Prime,170₹,96,23
Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,14:45,Classic,150₹,180,2
Bangalore,PvrArenaMallDoddanakundi,Kannada,14:55,Prime,140₹,33,2
Bangalore,PvrArenaMallDoddanakundi,Kannada,14:55,Classic,112₹,98,0
Mysore,InoxMallOfMysoreMgRoad,Kannada,15:00,Club,140₹,223,57
Bangalore,PvrMsrElementsMallTanisandhraMainRoad,Kannada,15:05,Classic,150₹,95,3
Belagavi,InoxCampRoadBelgaum,Kannada,15:10,Club,130₹,56,2
Belagavi,InoxCampRoadBelgaum,Kannada,15:10,Executive,130₹,14,0
Belagavi,InoxCampRoadBelgaum,Kannada,15:10,Royal,130₹,5,0
Bangalore,PvrForumMallKoramangala,Kannada,15:25,Recliner,330₹,12,2
Bangalore,PvrForumMallKoramangala,Kannada,15:25,Classic,160₹,147,18
Mangalore,PvrForumFizaMallPandeshwar,Kannada,15:30,Recliner,230₹,13,0
Mangalore,PvrForumFizaMallPandeshwar,Kannada,15:30,Classic,112₹,133,0
Mangalore,PvrForumFizaMallPandeshwar,Kannada,15:30,Prime,112₹,69,0
Bangalore,InoxLidoMallUlsoor,Kannada,15:40,Premiere,150₹,157,0
Bangalore,InoxCentralMantriJunctionJpNagar,Kannada,15:45,Royal,250₹,4,2
Bangalore,InoxCentralMantriJunctionJpNagar,Kannada,15:45,Club,180₹,234,15
Bangalore,InoxGarudaYelahankaBangalore,Kannada,15:50,Club,160₹,111,36
Bangalore,InoxGarudaYelahankaBangalore,Kannada,15:50,Executive,150₹,60,7
Bangalore,InoxMantriSquareMalleshwaram,Kannada,15:55,Club,140₹,209,39
Sirsi,NatarajMovieHallSirsi,Kannada,16:00,Balcony,150₹,160,116
Bangalore,CinepolisEtaNammaMall,Kannada,16:00,Normal,150₹,10,0
Bangalore,CinepolisEtaNammaMall,Kannada,16:00,Premium,150₹,46,10
Bangalore,CinepolisEtaNammaMall,Kannada,16:00,Executive,150₹,82,2
Bangalore,FunCinemaSigmaMall,Kannada,16:00,Normal,150₹,66,0
Bangalore,FunCinemaSigmaMall,Kannada,16:00,Executive,150₹,253,0
Bangalore,InoxForumNeighbourhoodMallWhiteField,Kannada,16:05,Silver,180₹,69,0
Bangalore,InoxForumNeighbourhoodMallWhiteField,Kannada,16:05,Premiere,170₹,78,0
Mangalore,CinepolisCityCentreMall,Kannada,16:10,Vip,200₹,17,0
Mangalore,CinepolisCityCentreMall,Kannada,16:10,Platinum,150₹,50,0
Manipal,InoxCentralCinemasLaxmindraNagar,Kannada,16:15,Royal,250₹,7,1
Manipal,InoxCentralCinemasLaxmindraNagar,Kannada,16:15,Club,130₹,43,0
Manipal,InoxCentralCinemasLaxmindraNagar,Kannada,16:15,Executive,130₹,40,0
Bangalore,VaibhavCinema4KAC71DolbyDoddaballapur,Kannada,16:30,Diamond,150₹,143,123
Bangalore,VaibhavCinema4KAC71DolbyDoddaballapur,Kannada,16:30,Gold,120₹,361,281
Krishnarajanagara,SriVenkateshwaraChitramandiraKrishnarajanagara,Kannada,16:30,Balcony,100₹,109,0
Krishnarajanagara,SriVenkateshwaraChitramandiraKrishnarajanagara,Kannada,16:30,First,80₹,600,392
Bangalore,CinepolisForumShantiniketan,Kannada,17:15,Vip,350₹,10,3
Bangalore,CinepolisForumShantiniketan,Kannada,17:15,Premium,180₹,64,2
Bangalore,CinepolisForumShantiniketan,Kannada,17:15,Executive,160₹,24,0
Bangalore,CinepolisForumShantiniketan,Kannada,17:15,Normal,140₹,24,0
Ranebennur,ShriShankarTalkiesRanebennur,Kannada,17:30,Balcony,100₹,40,0
Bangalore,InoxRmzGalleriaMallYelahanka,Kannada,17:55,Royale,600₹,9,7
Bangalore,InoxRmzGalleriaMallYelahanka,Kannada,17:55,Club,236₹,70,26
Bangalore,InoxRmzGalleriaMallYelahanka,Kannada,17:55,Executive,236₹,128,7
Shivamogga,HpcChitramandirBalarajUrsRoad,Kannada,18:00,Balcony,150₹,150,64
Shivamogga,HpcChitramandirBalarajUrsRoad,Kannada,18:00,First,100₹,460,132
Gadag,SriVenkateshCinema,Kannada,18:00,Gold,100₹,244,53
Gadag,SriVenkateshCinema,Kannada,18:00,Platinum,100₹,46,4
Gadag,SriVenkateshCinema,Kannada,18:00,Silver,80₹,305,0
Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,18:20,Recliner,280₹,14,0
Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,18:20,Prime,190₹,40,7
