State,City,Name,Language,Time,Type,Price,Capacity,Booked
Gujarat,Gandhinagar,InoxR16Gandhinagar,Gujarathi,09:00,Platinum,140₹,6,0
Gujarat,Gandhinagar,InoxR16Gandhinagar,Gujarathi,09:00,Gold,90₹,95,0
Gujarat,Gandhinagar,InoxR16Gandhinagar,Gujarathi,09:00,Silver,90₹,16,0
Gujarat,Ahmedabad,TimeCinemaAhmedabadCgSquareMall,Gujarathi,09:00,Standard,170₹,108,8
Gujarat,Surat,CinepolisImperialSquareMall,Gujarathi,09:45,Premium,190₹,33,2
Gujarat,Surat,CinepolisImperialSquareMall,Gujarathi,09:45,Normal,170₹,22,0
Gujarat,Surat,CinepolisImperialSquareMall,Gujarathi,09:45,Executive,170₹,81,6
Gujarat,Junagadh,SurajCineplexJunagadh,Gujarathi,10:15,Gold,160₹,100,0
Gujarat,Junagadh,SurajCineplexJunagadh,Gujarathi,10:15,Silver,140₹,100,0
Gujarat,Gandhinagar,CityPulseCinemasVillageKudasan,Gujarathi,12:00,Premiere,110₹,10,0
Gujarat,Gandhinagar,CityPulseCinemasVillageKudasan,Gujarathi,12:00,Gold,110₹,10,0
Gujarat,Bharuch,FunCinemasShilpiMultiplex,Gujarathi,12:10,PlatinumRecliner,200₹,15,0
Gujarat,Bharuch,FunCinemasShilpiMultiplex,Gujarathi,12:10,Gold,100₹,90,0
Gujarat,Bharuch,FunCinemasShilpiMultiplex,Gujarathi,12:10,Silver,100₹,33,0
Gujarat,Bhavnagar,Top3MultiplexBhavnagar,Gujarathi,12:15,Gold,120₹,70,0
Gujarat,Bhavnagar,Top3MultiplexBhavnagar,Gujarathi,12:15,Silver,100₹,54,0
Gujarat,Ahmedabad,CinemaxShivAshramRoad,Gujarathi,12:15,Prime,110₹,64,6
Gujarat,Veraval,FunCinemaPhoenixCinemas,Gujarathi,12:15,Executive,150₹,15,0
Gujarat,Veraval,FunCinemaPhoenixCinemas,Gujarathi,12:15,Gold,150₹,88,0
Gujarat,Veraval,FunCinemaPhoenixCinemas,Gujarathi,12:15,Silver,120₹,22,0
Gujarat,Jetpur,FunCinemaBalajiCineplex,Gujarathi,12:20,Box,250₹,6,5
Gujarat,Jetpur,FunCinemaBalajiCineplex,Gujarathi,12:20,Executive,180₹,27,20
Gujarat,Jetpur,FunCinemaBalajiCineplex,Gujarathi,12:20,Upper,150₹,70,0
Gujarat,Gandhinagar,InoxR16Gandhinagar,Gujarathi,12:25,Platinum,160₹,6,0
Gujarat,Gandhinagar,InoxR16Gandhinagar,Gujarathi,12:25,Gold,112₹,118,0
Gujarat,Gandhinagar,InoxR16Gandhinagar,Gujarathi,12:25,Silver,100₹,20,0
Gujarat,Gandhinagar,InoxR16Gandhinagar,Gujarathi,12:25,Platinum,160₹,6,0
Gujarat,Gandhinagar,InoxR16Gandhinagar,Gujarathi,12:25,Gold,112₹,118,0
Gujarat,Gandhinagar,InoxR16Gandhinagar,Gujarathi,12:25,Silver,100₹,20,0
Gujarat,Surat,PvrRahulRajMallDumasRoad,Gujarathi,12:30,Recliner,300₹,24,8
Gujarat,Surat,PvrRahulRajMallDumasRoad,Gujarathi,12:30,Prime,140₹,87,13
Gujarat,Surat,PvrRahulRajMallDumasRoad,Gujarathi,12:30,ClassicPlus,130₹,30,0
Gujarat,Surat,PvrRahulRajMallDumasRoad,Gujarathi,12:30,Classic,120₹,30,0
Gujarat,Nadiad,VaishaliMultiplexNadiad,Gujarathi,12:30,Executive,120₹,148,0
Gujarat,Nadiad,VaishaliMultiplexNadiad,Gujarathi,12:30,Marvel,100₹,42,0
Gujarat,Nadiad,VaishaliMultiplexNadiad,Gujarathi,12:30,Royal,80₹,36,0
Gujarat,Anand,GoldCinemaAnand,Gujarathi,12:30,Platinum,130₹,23,0
Gujarat,Anand,GoldCinemaAnand,Gujarathi,12:30,Diamond,100₹,99,0
Gujarat,Ahmedabad,PvrArvedTranscube,Gujarathi,12:30,Prime,140₹,107,12
Gujarat,Ahmedabad,PvrArvedTranscube,Gujarathi,12:30,Classic,120₹,30,0
Gujarat,Vadodara,CinemarcVip,Gujarathi,12:35,Royal,100₹,19,0
Gujarat,Vadodara,CinemarcVip,Gujarathi,12:35,Gold,100₹,20,0
Gujarat,Vadodara,CinemarcVip,Gujarathi,12:35,Silver,90₹,87,0
Gujarat,Vadodara,CinemarcVip,Gujarathi,12:35,Premium,90₹,13,0
Maharashtra,Mumbai,PvrXperiaPalavaDombivaliE,Gujarathi,12:35,Recliner,240₹,12,1
Maharashtra,Mumbai,PvrXperiaPalavaDombivaliE,Gujarathi,12:35,Prime,150₹,114,0
Maharashtra,Mumbai,PvrXperiaPalavaDombivaliE,Gujarathi,12:35,Classic,130₹,38,0
Maharashtra,Mumbai,PvrCitiMallAndheriW,Gujarathi,12:40,Recliner,300₹,24,0
Maharashtra,Mumbai,PvrCitiMallAndheriW,Gujarathi,12:40,Prime,140₹,146,18
Maharashtra,Mumbai,PvrCitiMallAndheriW,Gujarathi,12:40,Classic,110₹,46,0
Gujarat,Vadodara,PvrDeepVadodara,Gujarathi,12:45,Prime,100₹,78,2
Gujarat,Vadodara,PvrDeepVadodara,Gujarathi,12:45,PrimePlus,100₹,118,20
Gujarat,Vadodara,PvrDeepVadodara,Gujarathi,12:45,Classic,100₹,76,2
Gujarat,Surat,InoxVrSuratDumasRoad,Gujarathi,13:05,RoyalRecliner,280₹,12,0
Gujarat,Surat,InoxVrSuratDumasRoad,Gujarathi,13:05,Royal,160₹,54,2
Gujarat,Surat,InoxVrSuratDumasRoad,Gujarathi,13:05,Club,140₹,122,0
