State,City,Name,Language,Time,Type,Price,Capacity,Booked
Maharashtra,Pune,InoxAmanoraMallHadapsar,Hindi,09:30,Royale,240₹,6,0
Maharashtra,Pune,InoxAmanoraMallHadapsar,Hindi,09:30,Club,150₹,231,43
Maharashtra,Pune,InoxAmanoraMallHadapsar,Hindi,09:30,Executive,150₹,32,0
Maharashtra,Mumbai,InoxThakurMallDahisarE,Hindi,09:45,Gold,200₹,29,4
Maharashtra,Mumbai,InoxThakurMallDahisarE,Hindi,09:45,Executive,112₹,69,0
Maharashtra,Mumbai,InoxThakurMallDahisarE,Hindi,09:45,Premier,112₹,272,10
Haryana,Gurgaon,CinepolisAiriaMall,Hindi,09:45,Vip,450₹,8,0
Haryana,Gurgaon,CinepolisAiriaMall,Hindi,09:45,Premium,220₹,17,5
Haryana,Gurgaon,CinepolisAiriaMall,Hindi,09:45,Executive,200₹,50,0
Haryana,Gurgaon,CinepolisAiriaMall,Hindi,09:45,Normal,180₹,21,2
Maharashtra,Mumbai,InoxRaghuleelaMegaMallKandivaliW,Hindi,09:50,Gold,130₹,148,27
Maharashtra,Mumbai,InoxRaghuleelaMegaMallKandivaliW,Hindi,09:50,Premiere,130₹,51,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,Hindi,10:00,Vip,420₹,14,2
Maharashtra,Mumbai,CinepolisSeawoodsLT,Hindi,10:00,Premium,220₹,80,13
Maharashtra,Mumbai,CinepolisSeawoodsLT,Hindi,10:00,Executive,200₹,94,4
Maharashtra,Pune,InoxElproCitySquarePune,Hindi,10:05,Royale,140₹,45,42
Maharashtra,Pune,InoxElproCitySquarePune,Hindi,10:05,Club,112₹,78,26
Maharashtra,Pune,InoxElproCitySquarePune,Hindi,10:05,Executive,100₹,26,0
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,Hindi,10:15,Recliner,450₹,7,5
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,Hindi,10:15,PrimePlus,200₹,70,30
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,Hindi,10:15,Prime,175₹,42,4
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,Hindi,10:15,Classic,150₹,42,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,Hindi,10:30,RoyalRecliner,280₹,13,10
Maharashtra,Mumbai,InoxRCityGhatkoparW,Hindi,10:30,Club,140₹,63,27
Maharashtra,Mumbai,InoxRCityGhatkoparW,Hindi,10:30,Royal,140₹,37,32
Maharashtra,Mumbai,InoxRCityGhatkoparW,Hindi,10:30,Executive,112₹,36,0
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,Hindi,10:30,RoyalRecliner,280₹,13,10
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,Hindi,10:30,Club,140₹,63,27
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,Hindi,10:30,Royal,140₹,37,32
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,Hindi,10:30,Executive,112₹,36,0
Maharashtra,Mumbai,CinepolisVivianaMall,Hindi,10:35,Premium,200₹,12,12
Maharashtra,Mumbai,CinepolisVivianaMall,Hindi,10:35,Executive,180₹,72,29
