State,City,Name,Language,Time,Type,Price,Capacity,Booked
Maharashtra,Aurangabad,MohanNovaCinemazSarafaRoad,Marathi,11:45,Platinum,120₹,58,0
Maharashtra,Aurangabad,MohanNovaCinemazSarafaRoad,Marathi,11:45,Gold,120₹,57,0
Maharashtra,Aurangabad,MohanNovaCinemazSarafaRoad,Marathi,11:45,Silver,120₹,57,1
Maharashtra,Mumbai,FunsquareCinemaSanpadaNaviMumbai,Marathi,12:00,Gold,130₹,58,0
Maharashtra,Mumbai,PvrCityOneMallPimpri,Marathi,12:00,Recliner,250₹,12,0
Maharashtra,Mumbai,PvrCityOneMallPimpri,Marathi,12:00,Prime,170₹,125,15
Maharashtra,Mumbai,PvrCityOneMallPimpri,Marathi,12:00,Classic,150₹,40,0
Maharashtra,Pune,InoxElproCitySquarePune,Marathi,12:20,Royale,210₹,45,0
Maharashtra,Pune,InoxElproCitySquarePune,Marathi,12:20,Club,190₹,78,7
Maharashtra,Pune,InoxElproCitySquarePune,Marathi,12:20,Executive,170₹,26,0
Maharashtra,Pune,InoxJaiGaneshVisionMallAkurdi,Marathi,17:15,Silver,220₹,48,0
Maharashtra,Pune,InoxJaiGaneshVisionMallAkurdi,Marathi,17:15,Premiere,200₹,90,0
Maharashtra,Pune,VikasCinemaManchar,Marathi,18:00,1stClass,100₹,156,0
Maharashtra,Pune,VikasCinemaManchar,Marathi,18:00,2ndClass,80₹,196,0
Maharashtra,Rahuri,VitthaMadhavPicturePalace,Marathi,18:30,FirstClass,60₹,100,0
Maharashtra,Rahuri,VitthaMadhavPicturePalace,Marathi,18:30,SecondClass,50₹,100,0
