State,City,Name,Language,Time,Type,Price,Capacity,Booked
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Malayalam,09:10,Club,202₹,135,9
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Malayalam,09:10,Executive,63₹,19,6
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,09:45,ClassicPlus,140₹,141,61
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,09:45,Classic,120₹,36,0
Kerala,Perinthalmanna,VismayaCinemasPerinthalmanna,Malayalam,10:00,Platinum,100₹,230,59
Karnataka,Mangalore,CinepolisCityCentreMall,Malayalam,10:00,Vip,200₹,17,7
Karnataka,Mangalore,CinepolisCityCentreMall,Malayalam,10:00,Platinum,150₹,50,15
Karnataka,Bangalore,BalajiDigital2KCinemaTavarekere,Malayalam,10:05,Diamond,150₹,296,189
Karnataka,Bangalore,BalajiDigital2KCinemaTavarekere,Malayalam,10:05,Gold,120₹,442,314
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,10:20,RoyalRecliner,270₹,14,2
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,10:20,Royal,170₹,32,15
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,10:20,Club,140₹,256,29
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,10:20,Executive,110₹,36,0
Kerala,Kochi,PvrLuluKochi,Malayalam,10:30,Recliner,290₹,10,10
Kerala,Kochi,PvrLuluKochi,Malayalam,10:30,Prime,160₹,108,103
Kerala,Kochi,PvrLuluKochi,Malayalam,10:30,ClassicPlus,140₹,138,92
Kerala,Kochi,PvrLuluKochi,Malayalam,10:30,Classic,110₹,69,0
Kerala,Cherpulassery,CheloorGrandCinemasCherpulassery,Malayalam,11:00,Diamond,140₹,26,0
Kerala,Cherpulassery,CheloorGrandCinemasCherpulassery,Malayalam,11:00,GoldCircle,125₹,220,2
Kerala,Pandikkad,IllamCinemasPandikkad,Malayalam,11:00,DiamondCircle,129₹,253,1
Kerala,Trivandrum,SriKalidasMPlex4KRgbLaserDolbyAtmos,Malayalam,11:00,PlatinumRecliner,300₹,17,0
Kerala,Trivandrum,SriKalidasMPlex4KRgbLaserDolbyAtmos,Malayalam,11:00,Gold,150₹,332,4
Kerala,Ponnani,AlankarCinemasACPonnani,Malayalam,11:00,Diamond,120₹,153,0
Kerala,Pattambi,SyndicateCinemas4KRgbLaserAtmosKoppam,Malayalam,11:00,Platinum,250₹,20,0
Kerala,Pattambi,SyndicateCinemas4KRgbLaserAtmosKoppam,Malayalam,11:00,Gold,150₹,109,11
Kerala,Pattambi,SyndicateCinemas4KRgbLaserAtmosKoppam,Malayalam,11:00,Silver,130₹,76,0
Kerala,Manjeri,LadderCinemasManjeri,Malayalam,11:00,Executive,150₹,126,8
Kerala,Edappal,GovindaCinemasEdappal,Malayalam,11:00,ReclineCircle,250₹,4,0
Kerala,Edappal,GovindaCinemasEdappal,Malayalam,11:00,FamilyCircle,130₹,92,2
Kerala,Edappal,GovindaCinemasEdappal,Malayalam,11:00,Diamond,110₹,194,19
Kerala,Kattanam,GanamTheatreComplexACKattanam,Malayalam,11:00,FirstClass,140₹,202,90
Kerala,SultanBathery,AiswaryaAthulyaCineplexSulthanBathery,Malayalam,11:15,Balcony,110₹,408,1
Kerala,Wandoor,HariharFilmCity4KSony3DWandoor,Malayalam,11:30,Executive,129₹,235,7
Kerala,Cherthala,EvmGrandCinemasCherthala,Malayalam,11:30,Gold,129₹,308,82
Kerala,Valanchery,KarthikaMoviesAC4KDolbyAtmos,Malayalam,11:30,PearlCircle,110₹,215,6
Kerala,Manjeri,CinePalaceSreeDeviCinePalaceDolbyAtmosManjeri,Malayalam,11:30,Screen1,150₹,282,72
Kerala,Thalassery,LibertyParadiseComplexThalassery,Malayalam,11:30,Gold,125₹,214,115
Kerala,Chalakudy,DCinemaasChalakudy,Malayalam,11:30,Platinum,270₹,5,3
Kerala,Chalakudy,DCinemaasChalakudy,Malayalam,11:30,Gold,129₹,238,34
Kerala,Mukkam,RoseCinePalaceMukkam,Malayalam,12:00,Executive,110₹,350,62
Kerala,Kunnamkulam,ThavoosTheatreAC2KDolbyDigital71Kunnamkulam,Malayalam,12:00,Balcony,129₹,112,0
Kerala,Kunnamkulam,ThavoosTheatreAC2KDolbyDigital71Kunnamkulam,Malayalam,12:00,FirstClass,110₹,364,3
Kerala,Malappuram,MallikaPlexMalappuram,Malayalam,12:00,Sofa,200₹,11,0
Kerala,Malappuram,MallikaPlexMalappuram,Malayalam,12:00,Executive,140₹,176,5
Kerala,Thrissur,RamdasThrissur,Malayalam,12:00,DimondCircle,125₹,51,0
Kerala,Thrissur,RamdasThrissur,Malayalam,12:00,PearlCircle,100₹,288,14
Kerala,Amballur,ChandvsreeramaMoviesAmballur,Malayalam,12:00,Platinum,180₹,36,0
Kerala,Amballur,ChandvsreeramaMoviesAmballur,Malayalam,12:00,Gold,129₹,388,31
Kerala,Thriprayar,VbCinemas4KRgbLaserAtmosThriprayar,Malayalam,12:15,Recliner,300₹,12,0
Kerala,Thriprayar,VbCinemas4KRgbLaserAtmosThriprayar,Malayalam,12:15,Royal,170₹,76,0
Kerala,Thriprayar,VbCinemas4KRgbLaserAtmosThriprayar,Malayalam,12:15,Club,130₹,155,2
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,12:45,ClassicPlus,150₹,141,108
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,12:45,Classic,120₹,36,9
Karnataka,Bangalore,BalajiDigital2KCinemaTavarekere,Malayalam,13:00,Diamond,150₹,296,193
Karnataka,Bangalore,BalajiDigital2KCinemaTavarekere,Malayalam,13:00,Gold,120₹,442,315
Kerala,Perinthalmanna,VismayaCinemasPerinthalmanna,Malayalam,13:00,Platinum,100₹,198,142
Maharashtra,Mumbai,CarnivalAnnexMallBorivali,Malayalam,13:10,Sofa,180₹,133,34
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,13:10,RoyalRecliner,350₹,14,6
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,13:10,Club,190₹,256,38
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,13:10,Royal,190₹,32,17
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,13:10,Executive,130₹,36,6
Kerala,Payyanur,AradhanaArchanaMovieHousePayyanur,Malayalam,13:30,Royal,100₹,532,15
Kerala,Kakkattil,AjanthaCinemasKakkattil,Malayalam,13:30,Executive,110₹,199,4
Kerala,Kochi,PvrLuluGoldKochi,Malayalam,13:30,Gold,400₹,56,47
Kerala,Pattambi,SyndicateCinemas4KRgbLaserAtmosKoppam,Malayalam,13:45,Platinum,250₹,20,7
Kerala,Pattambi,SyndicateCinemas4KRgbLaserAtmosKoppam,Malayalam,13:45,Gold,150₹,109,19
Kerala,Pattambi,SyndicateCinemas4KRgbLaserAtmosKoppam,Malayalam,13:45,Silver,130₹,76,0
Kerala,SultanBathery,AiswaryaAthulyaCineplexSulthanBathery,Malayalam,14:15,Balcony,110₹,408,11
Kerala,Calicut,MallikaPlexDolbyAtmosCalicut,Malayalam,14:15,Executive,140₹,244,77
Kerala,Kondotty,KalpakaTheatreKondotty,Malayalam,14:30,Executive,110₹,405,0
Kerala,Cherpulassery,CheloorGrandCinemasCherpulassery,Malayalam,14:30,Diamond,140₹,26,4
Kerala,Cherpulassery,CheloorGrandCinemasCherpulassery,Malayalam,14:30,GoldCircle,125₹,220,9
Kerala,Pandikkad,IllamCinemasPandikkad,Malayalam,14:30,DiamondCircle,129₹,253,19
Kerala,Cherthala,EvmGrandCinemasCherthala,Malayalam,14:30,Gold,129₹,308,80
Kerala,Ponnani,AlankarCinemasACPonnani,Malayalam,14:30,Diamond,120₹,153,1
Kerala,Malappuram,MallikaPlexMalappuram,Malayalam,14:30,Sofa,200₹,11,0
Kerala,Malappuram,MallikaPlexMalappuram,Malayalam,14:30,Executive,140₹,176,33
Kerala,Wandoor,HariharFilmCity4KSony3DWandoor,Malayalam,14:30,Executive,129₹,235,51
Kerala,Valanchery,KarthikaMoviesAC4KDolbyAtmos,Malayalam,14:30,PearlCircle,110₹,215,42
Kerala,Trivandrum,SriKalidasMPlex4KRgbLaserDolbyAtmos,Malayalam,14:30,PlatinumRecliner,300₹,17,0
Kerala,Trivandrum,SriKalidasMPlex4KRgbLaserDolbyAtmos,Malayalam,14:30,Gold,150₹,332,8
Kerala,Manjeri,CinePalaceSreeDeviCinePalaceDolbyAtmosManjeri,Malayalam,14:30,Screen1,150₹,282,82
Kerala,Edappal,GovindaCinemasEdappal,Malayalam,14:30,ReclineCircle,250₹,4,2
Kerala,Edappal,GovindaCinemasEdappal,Malayalam,14:30,FamilyCircle,130₹,92,23
Kerala,Edappal,GovindaCinemasEdappal,Malayalam,14:30,Diamond,110₹,194,8
Kerala,Kattanam,GanamTheatreComplexACKattanam,Malayalam,14:30,FirstClass,140₹,202,104
Kerala,Thalassery,LibertyParadiseComplexThalassery,Malayalam,14:45,Gold,125₹,214,128
Kerala,Kunnamkulam,ThavoosTheatreAC2KDolbyDigital71Kunnamkulam,Malayalam,15:00,Balcony,129₹,112,22
Kerala,Kunnamkulam,ThavoosTheatreAC2KDolbyDigital71Kunnamkulam,Malayalam,15:00,FirstClass,110₹,364,2
Kerala,Thriprayar,VbCinemas4KRgbLaserAtmosThriprayar,Malayalam,15:00,Recliner,300₹,12,0
Kerala,Thriprayar,VbCinemas4KRgbLaserAtmosThriprayar,Malayalam,15:00,Royal,170₹,76,6
Kerala,Thriprayar,VbCinemas4KRgbLaserAtmosThriprayar,Malayalam,15:00,Club,130₹,155,5
Kerala,Mukkam,RoseCinePalaceMukkam,Malayalam,15:00,Executive,110₹,350,93
Kerala,Amballur,ChandvsreeramaMoviesAmballur,Malayalam,15:00,Platinum,180₹,36,7
Kerala,Amballur,ChandvsreeramaMoviesAmballur,Malayalam,15:00,Gold,129₹,388,64
Kerala,Koothattukulam,VCinemasKoothattukulam,Malayalam,15:00,Gold,170₹,46,6
Kerala,Koothattukulam,VCinemasKoothattukulam,Malayalam,15:00,Silver,140₹,104,12
Gujarat,Vadodara,PvrTransCubeVadodara,Malayalam,15:30,Recliner,300₹,8,7
Gujarat,Vadodara,PvrTransCubeVadodara,Malayalam,15:30,Classic,150₹,42,0
Gujarat,Vadodara,PvrTransCubeVadodara,Malayalam,15:30,Prime,150₹,99,37
