State,City,Name,Language,Time,Type,Price,Capacity,Booked
TamilNadu,NeyveliTownship,SriNidhiRathinaCineplex4K3DDolbyAtmosNeyveliTownship,Tamil,10:50,FirstClass,150₹,479,60
TamilNadu,NeyveliTownship,SriNidhiRathinaCineplex4K3DDolbyAtmosNeyveliTownship,Tamil,10:50,SecondClass,150₹,50,50
TamilNadu,Chennai,MuruganCinemas4KDolbyAtmosAmbattur,Tamil,11:40,Diamond,110₹,80,8
Karnataka,Doddaballapur,UdhayamComplex,Tamil,11:45,FirstClass,112₹,70,0
Karnataka,Doddaballapur,UdhayamComplex,Tamil,11:45,SecondClass,105₹,394,6
Karnataka,Doddaballapur,UdhayamComplex,Tamil,11:45,ThirdClass,50₹,51,13
Karnataka,Doddaballapur,C3LaurelMallRgbLaser,Tamil,11:45,Platinum,150₹,169,25
Karnataka,Doddaballapur,C3LaurelMallRgbLaser,Tamil,11:45,Silver,150₹,54,0
TamilNadu,PunjaiPuliampatti,SriDeviCinemasPunjaiPuliampatti,Tamil,11:45,FirstClass,100₹,67,0
Karnataka,Doddaballapur,AlbertComplex,Tamil,12:00,FirstClass,99₹,158,46
Karnataka,Doddaballapur,AlbertComplex,Tamil,12:00,SecondClass,79₹,84,3
Karnataka,Doddaballapur,AlbertComplex,Tamil,12:00,ThirdClass,50₹,28,0
TamilNadu,Madurai,InoxVishaalDeMalMadurai,Tamil,12:10,Club,178₹,124,3
TamilNadu,Madurai,InoxVishaalDeMalMadurai,Tamil,12:10,Executive,60₹,12,11
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,12:40,Club,190₹,159,0
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,12:40,Executive,60₹,21,1
Karnataka,Doddaballapur,InoxChennaiCitiCentre,Tamil,12:50,Club,152₹,135,13
Karnataka,Doddaballapur,InoxChennaiCitiCentre,Tamil,12:50,Executive,60₹,23,1
Karnataka,Doddaballapur,InoxTheMarinaMallOmr,Tamil,12:50,Club,190₹,180,0
Karnataka,Doddaballapur,InoxTheMarinaMallOmr,Tamil,12:50,Executive,60₹,24,21
Karnataka,Doddaballapur,InoxChandraMetroMallVirugambakkam,Tamil,13:05,Silver,152₹,120,14
Karnataka,Doddaballapur,InoxChandraMetroMallVirugambakkam,Tamil,13:05,Premiere,60₹,15,15
Karnataka,Doddaballapur,PvrAmpaSkywalkMallAminjikarai,Tamil,13:10,Prime,190₹,118,6
Karnataka,Doddaballapur,PvrAmpaSkywalkMallAminjikarai,Tamil,13:10,Classic,60₹,17,17
Karnataka,Doddaballapur,CinepolisBsrMall,Tamil,13:10,Executive,152₹,117,1
Karnataka,Doddaballapur,CinepolisBsrMall,Tamil,13:10,Normal,60₹,17,17
Karnataka,Doddaballapur,PvrHeritageRslEcrChennai,Tamil,13:30,Prime,179₹,128,23
Karnataka,Doddaballapur,PvrHeritageRslEcrChennai,Tamil,13:30,Classic,60₹,15,15
