State,City,Name,Language,Time,Type,Price,Capacity,Booked
WestBengal,Kolkata,CinepolisLakeMall,Hindi,09:05,Vip,350₹,10,0
WestBengal,Kolkata,CinepolisLakeMall,Hindi,09:05,Premium,180₹,19,0
WestBengal,Kolkata,CinepolisLakeMall,Hindi,09:05,Executive,160₹,163,2
WestBengal,Kolkata,CinepolisLakeMall,Hindi,09:05,Normal,140₹,40,0
MadhyaPradesh,Indore,InoxC21MallSheetalNagar,Hindi,09:05,In,300₹,38,2
MadhyaPradesh,Indore,PvrTreasureIslandMallSouthTukoganj,Hindi,09:05,Classic,110₹,38,0
MadhyaPradesh,Indore,PvrTreasureIslandMallSouthTukoganj,Hindi,09:05,Prime,110₹,110,28
Maharashtra,Pune,InoxAmanoraMallHadapsar,Hindi,09:15,Royale,260₹,44,2
MadhyaPradesh,Bhopal,DdxCinemaBhopal,Hindi,09:15,Balcony,150₹,8,0
MadhyaPradesh,Bhopal,DdxCinemaBhopal,Hindi,09:15,Gold,100₹,98,0
Rajasthan,Jaipur,CarnivalGalaxyRiicoMansarovar,Hindi,09:15,LoungeOffline,110₹,130,0
Rajasthan,Jaipur,CarnivalGalaxyRiicoMansarovar,Hindi,09:15,ClubOffline,110₹,168,0
Rajasthan,Jaipur,CarnivalGalaxyRiicoMansarovar,Hindi,09:15,GalaxyClubOffline,110₹,70,0
Rajasthan,Jaipur,CarnivalGalaxyRiicoMansarovar,Hindi,09:15,PremierOffline,110₹,168,0
Rajasthan,Jaipur,InoxCityPlazaMallBaniPark,Hindi,09:20,Comfort,112₹,30,0
Rajasthan,Jaipur,InoxCityPlazaMallBaniPark,Hindi,09:20,Luxury,112₹,120,0
Rajasthan,Jaipur,InoxCityPlazaMallBaniPark,Hindi,09:20,PassPass,112₹,45,0
Rajasthan,Jaipur,InoxElementsMallAjmerRoad,Hindi,09:20,Royale,140₹,21,0
Rajasthan,Jaipur,InoxElementsMallAjmerRoad,Hindi,09:20,Club,112₹,93,0
Rajasthan,Jaipur,InoxElementsMallAjmerRoad,Hindi,09:20,Executive,112₹,18,0
Chhattisgarh,Raipur,CinemaxCityCenterPandri,Hindi,09:30,Classic,99₹,34,0
Chhattisgarh,Raipur,CinemaxCityCenterPandri,Hindi,09:30,Prime,99₹,233,25
Rajasthan,Jaipur,InoxAmrapaliCircleVaishaliNagar,Hindi,09:30,RoyalBox,130₹,71,17
Rajasthan,Jaipur,InoxAmrapaliCircleVaishaliNagar,Hindi,09:30,Balcony,112₹,156,24
Rajasthan,Jaipur,InoxAmrapaliCircleVaishaliNagar,Hindi,09:30,DressCircle,112₹,44,0
Punjab,Jalandhar,InoxJalandharRelianceMallJalandhar,Hindi,09:30,RoyaleRecliners,420₹,30,0
Punjab,Jalandhar,InoxJalandharRelianceMallJalandhar,Hindi,09:30,Royale,270₹,38,0
Punjab,Jalandhar,InoxJalandharRelianceMallJalandhar,Hindi,09:30,Club,200₹,134,0
Punjab,Jalandhar,InoxJalandharRelianceMallJalandhar,Hindi,09:30,Executive,170₹,72,0
MadhyaPradesh,Bhopal,InoxCapitalMallHoshangabadRoad,Hindi,09:30,Club,90₹,185,0
MadhyaPradesh,Bhopal,InoxCapitalMallHoshangabadRoad,Hindi,09:30,Executive,90₹,30,0
MadhyaPradesh,Bhopal,InoxCapitalMallHoshangabadRoad,Hindi,09:30,Royal,90₹,55,0
Maharashtra,Mumbai,CarnivalMoviestarGoregaonW,Hindi,09:30,SilverOffline,90₹,20,0
Maharashtra,Mumbai,CarnivalMoviestarGoregaonW,Hindi,09:30,GoldOffline,90₹,55,2
Rajasthan,Jodhpur,CarnivalBlueCityMallAjitBhawan,Hindi,09:30,ClubOffline,140₹,123,16
Rajasthan,Jodhpur,CarnivalBlueCityMallAjitBhawan,Hindi,09:30,PremiumOffline,110₹,42,0
Jharkhand,Dhanbad,InoxOzoneGalleriaMallDhanbad,Hindi,09:35,Executive,130₹,143,10
Jharkhand,Dhanbad,InoxOzoneGalleriaMallDhanbad,Hindi,09:35,Silver,130₹,65,2
Jharkhand,Dhanbad,InoxOzoneGalleriaMallDhanbad,Hindi,09:35,Premier,112₹,39,0
Delhi,DelhiNcr,CinepolisSmartBharatMall,Hindi,09:35,Normal,250₹,14,2
Haryana,Faridabad,PvrCrownPlazaFaridabad,Hindi,09:40,PrimePlus,149₹,24,4
Haryana,Faridabad,PvrCrownPlazaFaridabad,Hindi,09:40,Classic,99₹,30,0
Haryana,Faridabad,PvrCrownPlazaFaridabad,Hindi,09:40,Prime,99₹,228,0
Karnataka,Bangalore,InoxGarudaMallMagrathRoad,Hindi,09:40,Insignia,450₹,57,0
UttarPradesh,Lucknow,PvrSaharaGanjMallHazratganj,Hindi,09:40,Classic,99₹,191,0
MadhyaPradesh,Gwalior,InoxDbMallRaceCourseRoad,Hindi,09:40,RoyaleRecliners,230₹,5,0
MadhyaPradesh,Gwalior,InoxDbMallRaceCourseRoad,Hindi,09:40,Royale,160₹,49,2
MadhyaPradesh,Gwalior,InoxDbMallRaceCourseRoad,Hindi,09:40,Club,150₹,48,0
MadhyaPradesh,Gwalior,InoxDbMallRaceCourseRoad,Hindi,09:40,Executive,130₹,24,0
Gujarat,Ahmedabad,MirajCityPulseManiNagar,Hindi,09:40,Gold,140₹,24,0
Maharashtra,Mumbai,PvrMarketCityGoldKurlaW,Hindi,09:45,GoldPremium,320₹,24,13
Maharashtra,Mumbai,PvrMarketCityGoldKurlaW,Hindi,09:45,GoldStar,280₹,36,0
Gujarat,Vadodara,InoxSevenSeasMallFatehgunj,Hindi,09:45,Gold,250₹,10,0
Gujarat,Vadodara,InoxSevenSeasMallFatehgunj,Hindi,09:45,Executive,112₹,40,0
Gujarat,Vadodara,InoxSevenSeasMallFatehgunj,Hindi,09:45,Premiere,112₹,100,0
Gujarat,Vadodara,InoxSevenSeasMallFatehgunj,Hindi,09:45,Silver,112₹,74,6
Delhi,DelhiNcr,PvrPacificSubhashNagar,Hindi,09:45,Recliner,299₹,38,4
Delhi,DelhiNcr,PvrPacificSubhashNagar,Hindi,09:45,Prime,199₹,100,0
Delhi,DelhiNcr,PvrPacificSubhashNagar,Hindi,09:45,PrimePlus,199₹,44,8
Delhi,DelhiNcr,PvrPacificSubhashNagar,Hindi,09:45,Classic,149₹,40,0
Maharashtra,Nagpur,PvrEmpressCityMallNagpur,Hindi,09:45,Recliner,300₹,20,0
Maharashtra,Nagpur,PvrEmpressCityMallNagpur,Hindi,09:45,Prime,170₹,218,25
Maharashtra,Nagpur,PvrEmpressCityMallNagpur,Hindi,09:45,Classic,140₹,84,0
