City,Name,Language,Time,Type,Price,Capacity,Booked
Chandigarh,PvrDlfCityCenterMallItPark,Hindi,12:45,Recliner,400₹,12,0
Chandigarh,PvrDlfCityCenterMallItPark,Hindi,12:45,Prime,175₹,108,16
Chandigarh,PvrDlfCityCenterMallItPark,Hindi,12:45,Classic,129₹,90,0
Amritsar,PvrSctAmritsar,Hindi,13:20,Recliner,400₹,11,0
Amritsar,PvrSctAmritsar,Hindi,13:20,Prime,200₹,60,9
Amritsar,PvrSctAmritsar,Hindi,13:20,Classic,190₹,103,0
Panipat,PvrFunCityPanipat,Hindi,16:05,PrimePlus,310₹,12,0
Panipat,PvrFunCityPanipat,Hindi,16:05,Prime,270₹,82,0
Panipat,PvrFunCityPanipat,Hindi,16:05,Classic,240₹,68,0
Lucknow,PvrPhoenixUnitedMallAlambagh,Hindi,16:15,Prime,310₹,7,0
Lucknow,PvrPhoenixUnitedMallAlambagh,Hindi,16:15,Classic,260₹,104,2
Ludhiana,PvrFlamezMallGurudevNagar,Hindi,17:10,Prime,220₹,25,0
Ludhiana,PvrFlamezMallGurudevNagar,Hindi,17:10,Classic,180₹,115,12
Jalandhar,PvrMbdNeopolisMallJalandhar,Hindi,17:40,Recliner,525₹,12,0
Jalandhar,PvrMbdNeopolisMallJalandhar,Hindi,17:40,Prime,355₹,12,0
Jalandhar,PvrMbdNeopolisMallJalandhar,Hindi,17:40,ClassicPlus,285₹,37,0
Jalandhar,PvrMbdNeopolisMallJalandhar,Hindi,17:40,Classic,220₹,112,0
Chandigarh,PvrElanteMallChandigarh,Hindi,18:10,Recliner,650₹,13,0
Chandigarh,PvrElanteMallChandigarh,Hindi,18:10,Classic,230₹,138,7
Mohali,PvrVrPunjabMallMohali,Hindi,18:30,Prime,330₹,42,2
Mohali,PvrVrPunjabMallMohali,Hindi,18:30,Classic,300₹,105,15
