State,City,Name,Language,Time,Type,Price,Capacity,Booked
WestBengal,Asansol,CarnivalSentrumMallAsansol,Hindi,08:50,Silver,150₹,192,0
WestBengal,Asansol,CarnivalSentrumMallAsansol,Hindi,08:50,Gold,150₹,43,0
WestBengal,Asansol,CarnivalSentrumMallAsansol,Hindi,08:50,Premium,150₹,84,0
Maharashtra,Pune,CinepolisSeasonsMall,English,09:00,Normal,170₹,29,0
Maharashtra,Pune,CinepolisSeasonsMall,English,09:00,Premium,170₹,35,0
Maharashtra,Pune,CinepolisSeasonsMall,English,09:00,Executive,170₹,98,0
Gujarat,Rajkot,InoxRelianceMegaMallRajkot,Hindi,09:05,RoyalRecliners,290₹,6,0
Gujarat,Rajkot,InoxRelianceMegaMallRajkot,Hindi,09:05,Royal,210₹,29,0
Gujarat,Rajkot,InoxRelianceMegaMallRajkot,Hindi,09:05,Club,200₹,55,0
Gujarat,Rajkot,InoxRelianceMegaMallRajkot,Hindi,09:05,Executive,180₹,22,0
Maharashtra,Mumbai,CinepolisVivianaMall,English,09:05,Normal,160₹,27,0
Maharashtra,Mumbai,CinepolisVivianaMall,English,09:05,Premium,160₹,46,2
Maharashtra,Mumbai,CinepolisVivianaMall,English,09:05,Executive,160₹,104,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,English,09:10,Vip,300₹,14,2
Maharashtra,Mumbai,CinepolisSeawoodsLT,English,09:10,Premium,200₹,57,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,English,09:10,Executive,180₹,70,2
Maharashtra,Mumbai,CinepolisSeawoodsLT,English,09:10,Normal,160₹,32,2
Maharashtra,Pune,CinepolisWestendMall,English,09:10,Normal,200₹,25,0
Maharashtra,Pune,CinepolisWestendMall,English,09:10,Premium,200₹,47,2
Maharashtra,Pune,CinepolisWestendMall,English,09:10,Executive,200₹,55,0
Gujarat,Vadodara,CinemarcVip,Hindi,09:15,3DRoyal,90₹,35,0
Gujarat,Vadodara,CinemarcVip,Hindi,09:15,3DGold,90₹,37,0
Gujarat,Vadodara,CinemarcVip,Hindi,09:15,3DSilver,90₹,158,0
Gujarat,Vadodara,CinemarcVip,Hindi,09:15,3DPremium,90₹,46,0
Gujarat,Vadodara,CinepolisInorbitMall,English,09:15,Normal,190₹,24,0
Gujarat,Vadodara,CinepolisInorbitMall,English,09:15,Premium,190₹,32,0
Gujarat,Vadodara,CinepolisInorbitMall,English,09:15,Executive,190₹,112,0
MadhyaPradesh,Ujjain,PvrTreasureBazaarMallUjjain,Hindi,09:20,Classic,160₹,51,0
MadhyaPradesh,Ujjain,PvrTreasureBazaarMallUjjain,Hindi,09:20,Prime,160₹,177,44
MadhyaPradesh,Ujjain,PvrTreasureBazaarMallUjjain,Hindi,09:20,ClassicPlus,160₹,83,0
Assam,Guwahati,CinepolisCentralMall,English,09:25,Vip,450₹,4,0
